city,cluster_type,role,section_header,policy_statement,parent_statement,parent_row_type,verbatim_text,extraction_rationale,canonical_mechanism,mechanism_description,secondary_categories,is_financial_instrument,primary_category,climate_relevance
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Expand use of commuter benefits by 2024.,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,structural header,B. Expand use of commuter benefits by 2024,Time-bound expansion commitment; listed as Action B.,commuter_benefits_program → modal_shift_and_vmt_reduction,"Providing commuter benefits incentivizes lower-carbon commute modes and/or reduced driving, which lowers transportation greenhouse gas emissions.",,yes,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Require transportation demand management plans for new development by 2025.,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,structural header,C. Require transportation demandmanagementplans for newdevelopment by 2025,Regulatory requirement with deadline; listed as Action C.,transportation_demand_management_requirement → transport_emissions_reduction,"Requiring TDM plans for new development reduces car travel demand and shifts trips to lower-carbon modes, lowering transportation greenhouse gas emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Update citywide car and bike parking requirements by 2025.,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,structural header,D. Update citywide car and bike parking requirements by 2025,Time-bound change to parking requirements; listed as Action D.,parking_policy_reform → modal_shift_and_vmt_reduction,"Reforming car and bike parking requirements reduces incentives for car use and supports biking, which shifts trips away from driving and lowers transport emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Increase CTA ridership 20% by 2030.,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,structural header,## Increase CTA ridership 20% by 2030,Quantified ridership target with deadline presented as an action (shown as 3.2.E in implementation table).,modal_shift_to_sustainable_transport → transport_emissions_reduction,"Increasing public transit ridership shifts trips from private vehicles to lower-emitting transit, reducing overall transportation greenhouse gas emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,parent,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,,structural header,3. Enable zero- emission transit and fleets,Named strategy with multiple actions beneath it.,fleet_electrification → transport_emissions_reduction,"Enablement of zero-emission transit vehicles and fleets increases electrified/zero-emission vehicle use, which reduces transportation greenhouse gas emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,"Enable electric freight loading docks at commercial and industrial buildings, addressing new buildings by 2025 and existing buildings by 2030.",Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,structural header,"## Enable electric freight loading docks at commercial and industrial buildings, addressing new buildings by 2025 and existing buildings by 2030",Specific infrastructure enablement with clear deadlines for new vs. existing buildings.,electric_freight_loading_infrastructure → freight_transport_emissions_reduction,"Deploying electric-capable freight loading docks enables electrified freight operations, reducing fossil fuel use and associated freight transport emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Support equitable electrification of ride-hail and taxi fleets by 2030.,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,structural header,## Support equitable electrification of ride-hail and taxi fleets by 2030,Time-bound fleet electrification support action; listed as Action B in the strategy table.,fleet_electrification → transport_emissions_reduction,"Electrifying ride-hail and taxi fleets replaces gasoline/diesel vehicle miles with electricity-powered travel, lowering transportation greenhouse gas emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Enable 100% electrification of delivery fleets by 2035.,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,structural header,## Enable 100% electrification of delivery fleets by 2035,Quantified target (100%) with deadline; listed as Action C.,fleet_electrification → transport_emissions_reduction,"Electrifying delivery fleets replaces fossil-fueled vehicles with electric ones, reducing transportation greenhouse gas emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Electrify 100% of the City's fleet by 2035.,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,structural header,## Electrify 100% of the City's fleet by 2035,City operations fleet electrification target with deadline; listed as Action D.,fleet_electrification → transport_emissions_reduction,"Electrifying the municipal vehicle fleet replaces fossil-fueled driving with electricity, reducing transportation-sector greenhouse gas emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Achieve zero-emission transit fleets across Chicagoland by 2040.,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,structural header,## Achieve zero-emission transit fleets across Chicagoland by 2040,Regional transit fleet target with deadline; listed as Action E.,fleet_electrification → transport_emissions_reduction,"Electrifying transit fleets replaces fossil-fueled vehicles with zero-emission vehicles, reducing transportation greenhouse gas emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,parent,Pillar 4 | Strategy 1. 100% clean renewable energy,Strategy 1 (Pillar 4): 100% clean renewable energy.,,structural header,1. 100%clean renewable energy,Named strategy with multiple quantified actions (A–C) beneath it.,renewable_energy_target → grid_decarbonization,"Setting a 100% clean renewable energy target drives replacement of fossil electricity generation with renewables, reducing grid emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 4 | Strategy 1. 100% clean renewable energy,"Aggregate 5,000 megawatts of clean renewable energy within a 250-mile radius of Chicago by 2030.",Strategy 1 (Pillar 4): 100% clean renewable energy.,structural header,"A. Aggregate 5,000 megawatts of clean renewable energy within a 250-mile radius of Chicago by 2030",Quantified procurement/aggregation target with location boundary and deadline.,renewable_energy_target → grid_decarbonization,"Set and pursue a renewable energy aggregation target to increase renewable electricity supply and displace fossil-based generation, lowering grid emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 4 | Strategy 1. 100% clean renewable energy,Install 30 megawatts of clean renewable energy projects on City property by 2030.,Strategy 1 (Pillar 4): 100% clean renewable energy.,structural header,B. Install 30 megawatts of clean renewable energy projects on City property by 2030,Quantified deployment target on City property with deadline.,solar_pv_deployment → fossil_generation_displacement,"Installing renewable energy projects on city property increases clean electricity supply that displaces fossil generation, lowering power-sector emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 4 | Strategy 1. 100% clean renewable energy,Achieve 100% clean renewable energy community-wide by 2035.,Strategy 1 (Pillar 4): 100% clean renewable energy.,structural header,C. Achieve 100%clean renewable energy community-wide by 2035,Citywide clean energy target with deadline; explicitly framed as an action.,renewable_energy_target → grid_decarbonization,"Setting a community-wide renewable energy target increases renewable electricity supply and displaces fossil-based generation, reducing power-sector emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,parent,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,,structural header,2. Enable buildingand personal vehicle electrification,Named strategy with multiple actions (A–F) beneath it.,building_and_vehicle_electrification → fossil_fuel_combustion_emissions_reduction,"Enable electrification of building end uses and personal vehicles to replace direct fossil fuel combustion with electricity, reducing greenhouse gas emissions (especially as the grid decarbonizes).",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Enact policies that support electrified renovations and new construction by 2023.,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,structural header,## Enact policies that support electrified renovations and new construction by 2023,Explicit commitment to enact policies by a deadline.,building_electrification → building_emissions_reduction,"Supportive policies drive electrified building renovations and new construction, replacing fossil fuel end-uses with electricity to reduce building-related greenhouse gas emissions.",Resource Efficiency,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Electrify 30% of total existing residential buildings by 2035.,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,structural header,## Electrify 30% of total existing residential buildings by 2035,Quantified electrification target with deadline.,residential_building_electrification → direct_fossil_fuel_use_reduction,"Electrifying existing homes replaces on-site fossil fuel equipment with electric alternatives, reducing direct building fossil fuel combustion and associated greenhouse gas emissions.",Resource Efficiency,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Electrify 90% of total existing City-owned buildings by 2035.,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,structural header,## Electrify 90% of total existing City-owned buildings by 2035,Quantified electrification target for City-owned buildings with deadline.,building_electrification → building_emissions_reduction,"Electrifying existing buildings replaces fossil fuel end uses with electric equipment, reducing direct building combustion emissions (and overall emissions as the grid decarbonizes).",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,"Enable 2,500 new public passenger electric vehicle charging stations by 2035, prioritizing low- and middle-income communities.",Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,structural header,"the City will enable the installation of 2,500 new commercial-grade, Level 2 public passenger electric vehicle charging stations by 2035, with priority given to low- and middle-income communities.",Quantified charging infrastructure target with deadline and prioritization criteria.,ev_charging_infrastructure → ev_adoption_enabling,"Deploying public EV chargers increases charging access and convenience, enabling greater electric vehicle adoption and associated transportation emissions reductions.",,yes,Mitigation,direct
Chicago,parent_with_subs,parent,Pillar 4 | Strategy 5. Enable interconnection and storage,Strategy 5 (Pillar 4): Enable interconnection and storage.,,structural header,"5. Enable interconnection

and storage",Named strategy with quantified actions beneath it.,energy_storage_deployment → grid_flexibility_and_renewable_integration,"Enable interconnection and deploy energy storage to improve grid flexibility and allow higher renewable energy penetration, reducing reliance on fossil generation.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 4 | Strategy 5. Enable interconnection and storage,Ensure 150 megawatts of energy storage by 2025.,Strategy 5 (Pillar 4): Enable interconnection and storage.,structural header,## Ensure 150 megawatts of energy storage by 2025,Quantified capacity target with deadline; listed as an action.,energy_storage_deployment → grid_flexibility_and_renewable_integration,"Deploying energy storage increases grid flexibility and helps integrate more renewable generation, reducing reliance on fossil-based electricity.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 4 | Strategy 5. Enable interconnection and storage,"Achieve 1,000 megawatts of new energy demand reduction capacity by 2030 and 3,000 megawatts by 2040.",Strategy 5 (Pillar 4): Enable interconnection and storage.,structural header,"Encourage 1,000 megawattsofnewenergydemand reduction by 2030, and 3,000 megawatts by 2040",Quantified demand reduction targets with deadlines; listed as an action.,energy_demand_reduction_target → energy_use_reduction,"Setting and pursuing energy demand reduction targets leads to lower electricity demand, which reduces the need for fossil-based generation and associated greenhouse gas emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,parent,Pillar 5 | Strategy 1. Collect relevant data,Strategy 1 (Pillar 5): Collect relevant data.,,structural header,5 | 1. Collect relevant data,Named strategy with actions A–C beneath it.,environmental_monitoring_system → adaptation_planning_support,"Collecting relevant climate-related data improves monitoring and analysis, enabling better planning, prioritization, and implementation of adaptation and mitigation actions.",,no,Adaptation,direct
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 1. Collect relevant data,Report energy burden by community area by 2023.,Strategy 1 (Pillar 5): Collect relevant data.,structural header,A. Report energy burden by community area by 2023,Time-bound public reporting commitment; listed as Action A.,energy_burden_reporting → market_signal_for_efficiency,"Publishing community-level energy burden data creates transparency that can motivate and better target building energy efficiency actions, indirectly reducing energy use and associated emissions.",,no,Resource Efficiency,indirect
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 1. Collect relevant data,Develop a water and soil quality measurement and mitigation strategy by 2023.,Strategy 1 (Pillar 5): Collect relevant data.,structural header,B. Develop a water and soil quality measurement and miti- gation strategy by 2023,Time-bound commitment to develop a strategy; listed as Action B.,environmental_monitoring_system → adaptation_planning_support,"Establishing a water and soil quality monitoring and mitigation strategy improves data and oversight, enabling better planning and targeted actions to reduce climate-related environmental risks.",,no,Adaptation,indirect
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 1. Collect relevant data,Establish a robust outdoor air quality monitoring network by 2025.,Strategy 1 (Pillar 5): Collect relevant data.,structural header,C. Establish a robust outdoor air quality monitoring network by 2025,Specific intervention (monitoring network) with deadline; listed as Action C.,environmental_monitoring_system → adaptation_planning_support,"Deploying an outdoor air quality monitoring network improves environmental data availability, which supports evidence-based planning and management for climate and public-health resilience.",Nature-Based Solutions,no,Adaptation,indirect
Chicago,parent_with_subs,parent,Pillar 5 | Strategy 2. Enable data-driven decision-making,Strategy 2 (Pillar 5): Enable data-driven decision-making.,,structural header,2. Enable data-driven decision-making,Named strategy with multiple actions (A–E) beneath it.,environmental_monitoring_system → adaptation_planning_support,Implement data and monitoring systems to inform and improve climate-related planning and policy decisions.,,no,Adaptation,indirect
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,Publish clean energy just transition metrics by 2022.,Strategy 2 (Pillar 5): Enable data-driven decision-making.,structural header,## Publish clean energy just transition metrics by 2022,Time-bound publication commitment; listed as Action A.,just_transition_metrics_reporting → accountability_and_equity_in_clean_energy_transition,"Publishing just transition metrics increases transparency and accountability, helping guide equitable implementation of clean energy policies and investments.",,no,Mitigation,indirect
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,Integrate community resilience and climate justice criteria into department-level strategic planning and annual budget setting by 2023.,Strategy 2 (Pillar 5): Enable data-driven decision-making.,structural header,## Integrate community resilience and climate justice criteria into department-level strategic planning and annual budget setting by 2023,Specific integration requirement with deadline; listed as Action B.,climate_justice_budgeting_and_planning → equitable_resilience_investment,Requiring resilience and climate justice criteria in strategic plans and budgets shifts departmental priorities and spending toward equitable adaptation and resilience actions.,Nature-Based Solutions,yes,Adaptation,direct
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,"Develop a Heat Vulnerability Index and integrate it into planning and development, community safety, and public health planning processes beginning in 2023.",Strategy 2 (Pillar 5): Enable data-driven decision-making.,structural header,"## Develop a Heat Vulnerability Index and integrate into planning and development, community safety, and public health planning processes beginning in 2023",Concrete deliverable (index) with start date and integration requirement.,heat_vulnerability_index → adaptation_planning_support,"Developing and using a heat vulnerability index improves risk-informed planning and prioritization, strengthening institutional capacity to reduce heat exposure impacts.",Nature-Based Solutions,no,Adaptation,direct
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,"Publish citywide and community-level quality-of-life metrics on equity and sustainability by 2023, and report them every year.",Strategy 2 (Pillar 5): Enable data-driven decision-making.,structural header,"## Publish citywide and community-level qualityof-life metrics on equity and sustainability by 2023

The City will work with community groups and frontline leaders to identify metrics that meaningfully reflect community needs, aspirations, and well-being. These metrics will be measured and publicly reported every year.",Time-bound publication commitment plus explicit annual reporting frequency.,environmental_monitoring_system → adaptation_planning_support,"Create and publicly report community equity and sustainability metrics to improve transparency and data availability, supporting better planning and policy adjustments over time.",Nature-Based Solutions,no,Adaptation,indirect
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,Assess and optimize community-level emergency management strategies related to climate preparedness by 2024.,Strategy 2 (Pillar 5): Enable data-driven decision-making.,structural header,## Assess and optimize community-level emergency management strategies related to climate preparedness by 2024,Time-bound assessment/optimization commitment; listed as Action E.,emergency_management_optimization → institutional_adaptive_capacity,Improving and optimizing emergency management planning and operations increases community preparedness and adaptive capacity for climate-related emergencies.,Nature-Based Solutions,no,Adaptation,direct
Chicago,parent_with_subs,parent,Pillar 5 | Strategy 3. Enable community resiliency,Strategy 3 (Pillar 5): Enable community resiliency.,,structural header,3. Enable community resiliency,Named strategy with actions beneath it.,community_resilience_enablement → institutional_adaptive_capacity,Implement broad community resilience efforts to increase overall adaptive capacity to climate impacts.,,no,Adaptation,direct
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 3. Enable community resiliency,Resource community-led climate infrastructure projects by 2022.,Strategy 3 (Pillar 5): Enable community resiliency.,structural header,## Resource community-led climate infrastructure projects by 2022,Explicit commitment with a deadline; listed as Action A.,community_climate_infrastructure_funding_program → emissions_reduction_enabling,"Provide funding/resources for community-led climate infrastructure projects, enabling deployment of projects that reduce greenhouse gas emissions and improve climate outcomes.",Adaptation,yes,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 5 | Strategy 3. Enable community resiliency,Integrate community resiliency strategies with the City's hazard mitigation planning by 2023.,Strategy 3 (Pillar 5): Enable community resiliency.,structural header,## Integrate community resiliency strategies with the City's hazard mitigation planning by 2023,Specific integration action with deadline; listed as Action B.,adaptation_planning_framework → institutional_adaptive_capacity,Integrating community resilience strategies into hazard mitigation planning strengthens institutional planning and coordination to reduce climate-related risks and improve adaptive capacity.,Nature-Based Solutions,no,Adaptation,direct
