city,cluster_type,role,section_header,policy_statement,parent_statement,parent_row_type,verbatim_text,extraction_rationale,canonical_mechanism,mechanism_description,secondary_categories,is_financial_instrument,primary_category,climate_relevance
Utah_United_States,parent_with_subs,sub,Renewable Energy Development,"Install renewable energy generation on at least 16 separate government properties by end of 2017, obtain the equivalent of three megawatts of solar via Rocky Mountain Power Subscriber Solar, and achieve 50% renewable electricity for government operations by 2020.","Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",structural header,"By the end of 2017, Salt Lake City will have at least 16 separate government properties that include renewable energy generation. The City has also enrolled in the Rocky Mountain Power 'Subscriber Solar' program and will receive the equivalent of three megawatts of solar power through this initiative. Salt Lake City is committed to achieving 50% renewable electricity for its government operations by 2020.",Multiple quantified targets with deadlines and a specified procurement mechanism (Subscriber Solar 3 MW equivalent).,solar_pv_deployment → fossil_generation_displacement,"Deploying and procuring solar electricity for government facilities increases renewable power use and displaces fossil-fueled electricity generation, reducing emissions.",,no,Mitigation,direct
Utah_United_States,parent_with_subs,sub,Clean Vehicle Fleet,"Develop and implement Tailpipe Emissions Reduction Plans to guide fleet investments and operations, and expand/maintain a city fleet that included over 130 hybrid-electric or all-electric vehicles (as of end of 2016).","Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",structural header,Numerous departments and divisions at the City have developed Tailpipe Emissions Reduction Plans to inform their investments and operations. Over 130 hybrid-electric or all-electric vehicles were included in the City fleet at the end of 2016.,Concrete operational policy approach (formal plans guiding investments) with evidence of implementation scale (over 130 hybrid/all-electric vehicles).,fleet_electrification → transport_emissions_reduction,Electrifying (and hybridizing) the city fleet through guided investments and operations reduces gasoline/diesel use and lowers transportation greenhouse gas emissions.,,yes,Mitigation,direct
Utah_United_States,individual,individual,RENEWABLE ENERGY,Ensure renewable energy provides 100% of Salt Lake City community electricity needs by 2032.,,,Salt Lake City is working to ensure that renewable energy provides 100% of community electricity needs by 2032.,Quantified target with deadline (100% renewable electricity by 2032).,renewable_energy_target → grid_decarbonization,"Setting a renewable electricity target drives higher renewable generation on the grid, displacing fossil generation and reducing power-sector emissions.",Resource Efficiency,no,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,parent,## Action Area 1: Improve Energy Efficiency of Buildings And Key Infrastructure,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",,structural header,"## Action Area 1: Improve Energy Efficiency of Buildings And Key Infrastructure

- ... Priority Action E.1 Implement Green Building Standards and Incentivize Innovative Green Building Design
- ... Priority Action E.2 Improve Low-Income Housing Energy Efficiency
- ... Priority Action E.3 Enhance and Expand Energy Outreach and Education Programs
- ... Priority Action E.4 Retrofit Outdoor Streetlights to LED
- ... Priority Action E.5 Expand Financing Options for Residential Energy Efficiency Retrofits",Named action area with multiple specified priority actions listed beneath it; functions as an umbrella program.,building_energy_efficiency_programs → energy_use_reduction,"Implementing building standards, retrofit support, and efficiency upgrades (including LED streetlighting) reduces energy demand, which in turn lowers associated greenhouse gas emissions from energy supply.",Adaptation,yes,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Action Area 1: Improve Energy Efficiency of Buildings And Key Infrastructure,"Implement green building standards by 2022 with 100% compliance by 2025, including requiring new municipal buildings and major renovations to meet LEED Silver or Net Zero Energy standards and adopting improved green building/energy codes.","Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",structural header,"E.1 Implement Green Building Standards and Incentivize Innovative Green Building Design | Codify and implement green building standards by 2022, with 100% compliance by 2025

Require that all new municipal buildings and major renovations for the City and County meet LEED Silver or Net Zero Energy standards.",Contains clear deadlines and compliance target plus specific regulatory/standards actions; listed as Priority Action E.1 under the action area.,building_energy_code → energy_use_reduction,Adopting and enforcing higher-performance green building and energy code standards for new construction and major renovations reduces building energy consumption and thus lowers operational greenhouse gas emissions.,Resource Efficiency,no,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Action Area 1: Improve Energy Efficiency of Buildings And Key Infrastructure,Expand weatherization/retrofit programs for low-income housing to increase the number of low-income residences served annually by 500% over 10 years and target a 30% reduction in household energy use.,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",structural header,"E.2 Improve Low-Income Housing Energy Efficiency | Increase the number of low- income residences served by weatherization and retrofit programs annually by 500% over 10 years, with a 30% reduction in energy usage target per household",Quantified scale-up and performance target; listed as Priority Action E.2.,residential_building_retrofit → energy_use_reduction,"Expanding residential weatherization and retrofit upgrades reduces household energy demand, lowering associated emissions from building energy use.",Mitigation,yes,Resource Efficiency,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Action Area 1: Improve Energy Efficiency of Buildings And Key Infrastructure,Enhance and expand energy outreach and education programs to achieve a 10% or greater reduction in average electricity consumption in the residential and commercial sectors.,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",structural header,"## Priority Action E.3: Enhance and Expand Energy Outreach and Education Programs

Objective: Attain a 10% or greater reduction in average electricity consumption for residential and commercial sectors",Quantified reduction target; explicitly framed as a priority action under the action area.,energy_outreach_education_programs → energy_use_reduction,"Expand energy outreach and education to influence user behavior and operational practices, lowering residential and commercial electricity consumption and thereby reducing associated emissions.",,no,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Action Area 1: Improve Energy Efficiency of Buildings And Key Infrastructure,"Replace all existing non-LED streetlights and leased outdoor lighting with LED bulbs by 2030 or sooner, beginning in 2025.","Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",structural header,"## Priority Action E.4: Retrofit Outdoor Streetlights to LED

Objective: Replace all existing non-LED streetlights and leased outdoor lighting with LED bulbs by 2030 or sooner, starting in 2025",Clear infrastructure retrofit commitment with timeline; listed as Priority Action E.4.,led_streetlighting_retrofit → electricity_use_reduction,"Replacing non-LED outdoor/street lighting with LEDs reduces electricity demand for lighting, cutting emissions from electricity generation.",Mitigation,no,Resource Efficiency,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Priority Action E.5: Expand Financing Options for Residential Energy Efficiency Retrofits,"Expand financing options for residential energy efficiency retrofits so that by 2025, 15% of all residences have energy-efficient space heating/cooling equipment and major appliances (including tariffed on-bill financing and advocacy for residential PACE and rebates).","Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",structural header,"## Priority Action E.5: Expand Financing Options for Residential Energy Efficiency Retrofits

## OBJECTIVE

By 2025, 15% of all residences will have energy-efficient space heating and cooling equipment and major appliances

- Work with MLGW and other partners to develop a tariffed on-bill financing program for residential energy retrofits.
- Advocate for state legislation that allows the implementation of a local Residential Property Assessed Clean Energy (PACE) program.",Quantified adoption target with specific policy/program mechanisms; explicitly a priority action.,residential_building_retrofit → energy_use_reduction,"Expanding financing options increases adoption of residential efficiency retrofits and equipment upgrades, which lowers building energy use and related greenhouse gas emissions.",Mitigation,yes,Resource Efficiency,direct
Memphis_Tenesse_United_States,parent_with_subs,parent,## Action Area 2: Transform Our Energy Supply,"Transform the community energy supply through priority actions, including decarbonizing the electric grid with renewable energy.",,structural header,"## Action Area 2: Transform Our Energy Supply

- ... Priority Action E.6 Decarbonize the Electric Grid with Renewable Energy",Named action area introducing a priority action; serves as an umbrella heading in the plan’s structure.,renewable_energy_target → grid_decarbonization,Increase renewable electricity supply on the grid to reduce grid emissions intensity and cut power-sector greenhouse gas emissions.,,no,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Priority Action E.6: Decarbonize the Electric Grid with Renewable Energy,"Increase the percentage of carbon-free energy in the electricity supply to 80% by 2035 and 100% by 2050, focusing on renewable sources such as solar and wind, including implementing at least one community shared solar project with low-income subsidies by 2022.","Transform the community energy supply through priority actions, including decarbonizing the electric grid with renewable energy.",structural header,"## Priority Action E.6: Decarbonize the Electric Grid with Renewable Energy

Objective: Increase the percentage of carbon-free energy in our electricity supply to 80% by 2035 and 100% by 2050, focusing on renewable sources such as solar and wind

Implement at least one local community shared solar project that includes subsidies for low-income household participation in the Memphis area by 2022",Contains explicit quantified targets and a dated implementation commitment; listed as Priority Action E.6.,renewable_energy_target → grid_decarbonization,Set and pursue higher renewable/carbon-free electricity supply targets (including shared solar) to increase renewable generation on the grid and thereby reduce fossil-based electricity generation and associated emissions.,Resource Efficiency,yes,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,parent,## Action  Area  3:  Increase  Green  Infrastructure  and Community Resilience,"Increase green infrastructure and community resilience through priority actions, including expanding the urban tree canopy and aligning mitigation and adaptation efforts.",,structural header,"## Action  Area  3:  Increase  Green  Infrastructure  and Community Resilience

- ... Priority Action E.7 Nurture and Expand the Urban Tree Canopy
- ... Priority Action E.8 Ensure Alignment of Climate Change Mitigation and Adaptation Efforts",Named action area with multiple priority actions beneath it; umbrella program.,urban_tree_canopy_expansion → heat_mitigation_and_carbon_sequestration,"Expand urban tree canopy to increase shade and cooling while storing carbon in biomass, improving heat resilience and contributing to emissions mitigation.",,no,Adaptation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Priority Action E.7: Nurture and Expand the Urban Tree Canopy,Increase urban tree canopy coverage countywide to 60% by 2050 through tree planting/replanting and related program and code measures.,"Increase green infrastructure and community resilience through priority actions, including expanding the urban tree canopy and aligning mitigation and adaptation efforts.",structural header,"## Priority Action E.7: Nurture and Expand the Urban Tree Canopy

Objective: Plant or replant trees with the intention of increasing urban tree canopy to 60% coverage countywide by 2050",Quantified canopy target with deadline; explicitly a priority action under the action area.,urban_tree_canopy_expansion → heat_mitigation_and_carbon_sequestration,Expand urban tree canopy through planting and related measures to increase carbon sequestration and reduce urban heat impacts.,,no,Adaptation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Priority Action E.8: Align Climate Mitigation and Climate Adaptation Efforts,"Identify and prioritize cross-cutting strategies that address climate change mitigation and adaptation, including implementing Mid-South Regional Resilience Plan projects upon completion and adoption and developing neighborhood-scale demonstration projects.","Increase green infrastructure and community resilience through priority actions, including expanding the urban tree canopy and aligning mitigation and adaptation efforts.",structural header,"## Priority Action E.8: Align Climate Mitigation and Climate Adaptation Efforts

Objective: Identify and prioritize cross-cutting strategies for climate change mitigation and adaptation

Implement projects and practices recommended in the Mid-South Regional Resilience Plan upon completion and adoption.",Priority action with concrete implementation commitments (implement resilience plan; develop demonstration projects).,adaptation_planning_framework → institutional_adaptive_capacity,"Developing and implementing an integrated resilience planning framework improves coordination and decision-making, increasing institutional capacity to mitigate emissions while adapting to climate risks.",Nature-Based Solutions,no,Adaptation,direct
Memphis_Tenesse_United_States,parent_with_subs,parent,## Action  Area  1:  Shift  to  Low-Carbon  Transportation Modes and Reduce Reliance on Motor Vehicles,"Shift to low-carbon transportation modes and reduce reliance on motor vehicles through a package of priority actions (land use, complete streets, public transit, and demand management).",,standalone parent policy,"## Action  Area  1:  Shift  to  Low-Carbon  Transportation Modes and Reduce Reliance on Motor Vehicles

- ... Priority Action T.1 Implement Land Use Patterns that Support Active Transportation and Transit
- ... Priority Action T.2 Create Complete Streets that Prioritize Walking and Bicycling
- ... Priority Action T.3 Enhance Public Transit
- ... Priority Action T.4 Reduce Commute Trips through Transportation Demand Management Strategies",Named action area with multiple priority actions listed; umbrella program.,modal_shift_to_sustainable_transport → transport_emissions_reduction,"Implementing land use, street design, transit service, and demand-management measures shifts travel away from private car use toward low-carbon modes, reducing transportation emissions.",Adaptation,no,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Priority Action T.1: Implement Land Use Patterns that Support Active Transportation and Transit,"Implement land use patterns that support active transportation and transit by implementing the Memphis 3.0 growth strategy and updating zoning/development codes to support walkable infill, mixed-use development and transit-oriented development.","Shift to low-carbon transportation modes and reduce reliance on motor vehicles through a package of priority actions (land use, complete streets, public transit, and demand management).",standalone parent policy,"T.1 Implement Land Use Patterns that Support Active Transportation and Transit

Implement the Memphis 3.0 vision and growth strategy focused on building density and mixed uses around community and citywide anchor areas.

Update zoning and development codes to reflect the Memphis 3.0 vision and growth strategy, particularly focusing on regulations that support walkable, infill, mixed-use development and the implementation of Transit Oriented Development (TOD).",Specific intervention (code updates and implementation of a named comprehensive plan); presented as Priority Action T.1.,transit_oriented_development → transport_emissions_and_land_use_reduction,"Implementing zoning and land-use reforms that enable walkable mixed-use infill and transit-oriented development reduces car dependence and vehicle miles traveled, lowering transportation emissions and supporting more efficient land use patterns.",,no,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Priority Action T.2: Create Complete Streets that Prioritize Walking and Bicycling,"Create Complete Streets to convert 10% of vehicle trips to walking/bicycling by 2030 (starting in 2020) and increase to 40% of vehicle trips by 2050, including establishing a dedicated annual funding source of $20 million for pedestrian and bicycle safety improvements.","Shift to low-carbon transportation modes and reduce reliance on motor vehicles through a package of priority actions (land use, complete streets, public transit, and demand management).",standalone parent policy,"T.2 Create Complete Streets that Prioritize Walking and Bicycling | Starting in 2020, convert 10% of vehicle trips to bicycle and pedestrian modes by 2030 and then increase this percentage linearly to 40% of vehicle trips by 2050.

Establish a dedicated annual funding source of $20 million for pedestrian and bicycle safety improvements",Contains quantified mode-shift targets with dates and a specific funding commitment; listed as Priority Action T.2.,modal_shift_to_sustainable_transport → transport_emissions_reduction,"Investing in Complete Streets and active-transport safety infrastructure shifts trips from car travel to walking and bicycling, reducing vehicle use and transportation greenhouse gas emissions.",Resource Efficiency,yes,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Priority Action T.3: Enhance Public Transit,"Enhance public transit by fully implementing the Memphis 3.0 Transit Vision by 2022, increasing ridership/frequency to meet long-range objectives, and converting MATA’s entire fleet to electric by 2050, supported by increasing immediate annual funding by $30 million.","Shift to low-carbon transportation modes and reduce reliance on motor vehicles through a package of priority actions (land use, complete streets, public transit, and demand management).",standalone parent policy,"## Priority Action T.3: Enhance Public Transit

Objective: Fully implement the Memphis 3.0 Transit Vision by 2022. Increase ridership and improve frequency to meet long- range (2040/2050) ridership objectives. Convert MATA's entire fleet to electric by 2050.

Provide dedicated annual funding to MATA and increase immediate annual funding by $30 million to implement the Memphis 3.0 Transit Vision.",Multiple explicit deadlines/targets plus funding amount; presented as Priority Action T.3.,fleet_electrification → transport_emissions_reduction,Increase and improve public transit service and convert the transit fleet to electric vehicles to reduce transportation fuel combustion and associated greenhouse gas emissions.,,yes,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## Priority Action T.4: Reduce Commute Trips through Transportation Demand Management,Reduce drive-alone commute trips by 10% by 2022 and 40% by 2050 by expanding Transportation Demand Management programs at major employers and implementing smart parking and related measures.,"Shift to low-carbon transportation modes and reduce reliance on motor vehicles through a package of priority actions (land use, complete streets, public transit, and demand management).",standalone parent policy,"## Priority Action T.4: Reduce Commute Trips through Transportation Demand Management

## Objective: Reduce drive-alone commute trips 10% by 2022 and 40% by 2050.",Quantified reduction targets with dates; clearly a priority action.,modal_shift_to_sustainable_transport → transport_emissions_reduction,"Expand employer-based TDM and parking management to reduce single-occupancy vehicle commuting, lowering driving activity and transportation greenhouse gas emissions.",,no,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,parent,## Action Area 2: Set the Stage for Vehicle Electrification,Set the stage for vehicle electrification through a priority action to encourage electric vehicle adoption and develop charging infrastructure.,,structural header,"## Action Area 2: Set the Stage for Vehicle Electrification

- ... Priority Action T.5 Encourage Electric Vehicle Adoption and the Development of Charging Infrastructure",Named action area introducing a priority action; used as parent for hierarchy.,ev_charging_infrastructure → ev_adoption_enabling,"Deploying EV charging infrastructure enables greater electric vehicle adoption, supporting a shift away from internal combustion vehicles and reducing transportation-related emissions.",Nature-Based Solutions,no,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,sub,## PRIORITY ACTION  T.5 Encourage Electric Vehicle Adoption and the Development of Charging Infrastructure,"Increase passenger EV travel to 5% by 2025, 30% by 2035, and 50% by 2050; and increase freight EV travel to 3% by 2025, 20% by 2035, and 50% by 2050, including developing a comprehensive community-wide EV strategy and committing to transition local government fleets to electric with charging infrastructure.",Set the stage for vehicle electrification through a priority action to encourage electric vehicle adoption and develop charging infrastructure.,structural header,"## PRIORITY ACTION

T.5 Encourage Electric Vehicle Adoption and the Development of Charging Infrastructure

## OBJECTIVE

Increase passenger vehicle travel using electric vehicles to 5% by 2025; 30% by 2035; and 50% by 2050.

Increase freight vehicle travel using electric vehicles to 3% by 2025; 20% by 2035; and 50% by 2050.

To lead by example, Memphis and Shelby County government should commit to transitioning their fleets to electric and begin building necessary charging infrastructure.",Contains explicit quantified adoption targets with timelines and specific implementation actions; presented as Priority Action T.5.,fleet_electrification → transport_emissions_reduction,Increase adoption and use of electric passenger and freight vehicles (including electrifying public fleets and enabling charging) to displace gasoline/diesel vehicle travel and reduce transportation greenhouse gas emissions.,Nature-Based Solutions,no,Mitigation,direct
Memphis_Tenesse_United_States,parent_with_subs,parent,## Action Area 1: Reduce Waste and Move Toward a ZeroWaste Future,"Reduce waste and move toward a zero-waste future through priority actions focused on organic waste diversion, overall waste reduction, and inorganic materials diversion.",,structural header,"## Action Area 1: Reduce Waste and Move Toward a ZeroWaste Future

- ... Priority Action W.1 Divert Greater Amounts of Organic Waste from Landfills
- ... Priority Action W.2 Reduce the Overall Amount of Waste Generated
- ... Priority Action W.3 Divert Greater Amounts of Inorganic Materials from Landfills",Named action area with multiple priority actions listed; umbrella program.,waste_diversion → landfill_methane_avoidance,Reduce total waste and divert organic and inorganic materials from landfill to avoid landfill methane emissions and associated climate impacts.,,no,Mitigation,direct
