iteration,location,policy_statement,source_quote,section_header,extraction_rationale,role,parent_statement,primary_category,financial_instrument,climate_relevance,secondary_category
1,Seattle_US,"Require commercial buildings ≥50,000 sq ft to conduct building tune-ups to identify and implement low/no-cost O&M improvements for energy and water efficiency (SMC 22.930), with phased compliance beginning in early 2019.","Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019. A Qualified Tune-Ups Specialist is required to complete the assessment, report to the City, and monitor implementation of operational and maintenance improvements.",## Tune Ups,A binding ordinance with specified building-size threshold and compliance timing; named intervention (tune-ups) with defined purpose.,individual,,Resource Efficiency,no,indirect,
1,Seattle_US,Commit the City to meeting the Building Tune-Ups deadline one year earlier than required for private owners (Resolution 31652).,"Across the entire commercial building sector, the tune-up mandate is expected to reduce energy use 5-8 percent and GHG emissions by 6-9 percent. To demonstrate leadership, build capacity in the industry, and help reduce compliance costs, the city has committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.",## Tune Ups,A formal City commitment via resolution that accelerates compliance for City-owned buildings; concrete operational commitment.,individual,,Resource Efficiency,no,indirect,
1,Seattle_US,"Implement the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance for 50,000–100,000 sq ft buildings (DOE grant-funded).","With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance. The Accelerator is a voluntary program for owners of mid-size buildings, those 50,000-100,000 square feet, to conduct a tune-up that meets the Seattle Building Tune-Up requirements in advance of when their building is required to comply (2020 & 2021).",## Tune-Up Accelerator,A specific incentives program backed by external funding (grant) with defined eligibility and timing; qualifies as both named intervention and financial instrument.,individual,,Resource Efficiency,yes,indirect,
1,Seattle_US,Convert 200 oil-heated homes per year to electric heat pumps via the Oil Heated Home Conversion incentive program.,"The Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating systems with clean, efficient, electric heat pumps. By partnering with a heat pump distributor, who provides matching incentives, the program is converting 200 homes per year, while also influencing the home heating market so that electric heat pumps become a preferred heating system.",## Oil Heated Home Conversion,Named incentive program with quantified annual conversions (200 homes per year) and specific technology intervention (electric heat pumps).,individual,,Mitigation,yes,direct,
1,Seattle_US,"Implement Seattle’s commercial energy code, including 2015 SEC criteria addressing emissions by requiring either non-fossil-fuel-based heating or more efficient windows.","An analysis of the 2012 Seattle Energy Code (SEC) found that commercial buildings meeting our code are, on average, 11 percent more efficient than those designed to the national standard, and the current code is approximately 20 percent more efficient. The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows.",## Energy Code,A regulatory code with explicit emissions-related compliance pathways; qualifies as a binding mechanism. The quote is partly descriptive but references enforceable code criteria.,individual,,Mitigation,no,direct,Resource Efficiency
1,Seattle_US,Provide expedited permitting (Priority Green) for projects meeting green building certification and performance criteria including 15% better-than-code energy efficiency and water conservation.,"Seattle Department of Construction and Inspections provides expedited permitting for projects achieving green building certification and meeting minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.",## Priority Green,A specific administrative incentive (expedited permitting) conditioned on measurable performance thresholds; concrete intervention.,individual,,Resource Efficiency,no,indirect,
1,Seattle_US,"Provide zoning incentives for projects meeting the City’s Green Building Standard, including demonstrating 15% better-than-code energy efficiency (Director’s Rule 20-2017).","Multiple zoning incentives are available to catalyze development that is more efficient than code: - Currently, developers can access additional height, floor area, or density In certain zones by meeting the City's Green Building Standard. Director's Rule 20-2017 identifies the requirements, which include - adhering to one of the building industry's green building certification programs and demonstrating that the project is 15 percent more energy efficient than code.",## Zoning Incentives,"A defined zoning-based incentive mechanism with measurable eligibility criteria and a referenced Director’s Rule, qualifying as a concrete policy tool.",individual,,Resource Efficiency,no,indirect,
1,Seattle_US,Provide additional height and floor area for up to 20 projects via the Living Building Pilot Program if projects meet Living Building Petal Certification and other criteria including no on-site fossil-fuel combustion and 25% better-than-code energy efficiency.,"The Living Building Pilot Program provides additional height and floor area for up to 20 projects that meet more extensive green building criteria, which includes achieving Living Building Petal Certification (with no on-site combustion of fossil-fuels), plus energy efficiency 25 percent better than code, and greywater and/or rainwater used for all non-potable water needs (e.g. toilet flushing, irrigation).",## Zoning Incentives,A named pilot program with a numeric cap (up to 20 projects) and explicit fossil fuel and efficiency requirements; a clear zoning incentive policy.,individual,,Mitigation,no,direct,Resource Efficiency
1,Seattle_US,Require City-owned new construction and major renovations to achieve LEED Gold and be 15% more energy efficient than current code (Sustainable Building Policy).,"In 2011, the City updated its Sustainable Building Policy for City-owned buildings covering new construction and major renovations. In addition to the requirement to achieve LEED Gold certification, projects are expected to be 15 percent more energy efficient than the current code.",## Municipal Buildings,"A municipal policy that sets explicit standards (LEED Gold and 15% better than code) for City-owned projects, constituting a binding requirement for City operations.",individual,,Resource Efficiency,no,indirect,
1,Seattle_US,"Achieve a 20% reduction in energy use across City-owned buildings by 2020 relative to a 2008 baseline (Resource Conservation Management Plan, Resolution 31491).","In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline). The Office of Sustainability & Environment manages the dedicated funding and works with individual capital departments to prioritize, develop and implement energy efficiency projects.",## Municipal Buildings,"Quantified, time-bound municipal target adopted by resolution; includes dedicated funding management, indicating resource allocation and implementation structure.",individual,,Resource Efficiency,yes,indirect,
1,Seattle_US,"Develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.","Announce that the City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities. Research suggests that the most effective strategy for reducing GHG emissions and generating the revenue needed to support transportation alternatives is to put a price on the use of city streets through congestion pricing or some other method of pricing transportation externalities.",## Improving mobility through pricing,"A concrete commitment to develop and release a pricing strategy (a financial instrument) explicitly tied to reducing transportation emissions and paired with investments; although partly process-oriented, it is anchored to a specific intervention (pricing).",individual,,Mitigation,yes,direct,
1,Seattle_US,Pass an electric vehicle readiness ordinance in 2018 to ensure new construction or renovation of parking structures is built with EV infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure. The most cost-effective time to build charging stations and provide the electrical infrastructure for future charging stations is during initial site development.",## Electric vehicle readiness ordinance for new construction,Explicit time-bound regulatory commitment (pass an ordinance in 2018) requiring EV readiness in parking structures.,individual,,Mitigation,no,direct,
1,Seattle_US,Release a map of optimal distribution of EV charging infrastructure in 2018.,"Release map of optimal distribution of charging infrastructure in 2018. While Seattle is one of the top US markets for electric vehicles, charging availability and convenience is a significant barrier to widespread adoption.",## Charging station network map &amp; strategy,A time-bound deliverable (2018 map) that functions as a concrete planning instrument to guide deployment and investment in charging infrastructure.,individual,,Mitigation,no,direct,
1,Seattle_US,"Develop recommendations to electrify for-hire fleets, determine a year after which all such vehicles must be electric, and prepare to permit only electric vehicles for for-hire use.","The city will work with these stakeholders to create recommendations on how to electrify shared vehicle fleets, determine a year after which all such vehicles must be electric, and prepare for the City to begin permitting only electric vehicles for for-hire use. Work with community and business stakeholders to develop recommendations for making all new forhire vehicles in Seattle electric.",## Ride share and taxi fleet electrification,"A commitment to develop a future regulatory approach (permitting only EVs for for-hire use) and set a compliance year, meeting the specific intervention criterion; some details remain to be determined.",individual,,Mitigation,no,direct,
1,Seattle_US,Create a new Green Fleet Action Plan by the end of 2018 to accelerate municipal fleet electrification and phase out fossil fuel use in municipal vehicles.,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles. Continued fleet electrification requires a shift in the acquisition and fueling of vehicles and vehicle infrastructure.",## Green Fleet Action Plan update,"A time-bound commitment (by end of 2018) to create an updated plan with explicit outcomes (accelerate electrification, phase out fossil fuels).",individual,,Mitigation,no,direct,
1,Seattle_US,"Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments, with OSE to define scope/method by October 2018.","Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments. The Mayor will direct the Office of Sustainability & Environment to work with departments to define the types of projects to assess, the assessment method, and how to account for the broader costs of carbon, by October 2018.",## Assess GHG Emissions Impact of City decisions,A binding mechanism (Executive Order) plus a specific implementation deadline (October 2018) for methodology definition; establishes a required climate impact assessment process.,individual,,Mitigation,no,direct,
1,Seattle_US,Prioritize 2019 state legislation to enable a tiered residential energy code that cities can adopt.,Adopt a tiered state residential energy code that can be adopted by cities. Legislation to allow for tiered energy codes will be a priority for the City of Seattle in the 2019 legislative session.,## Washington State tiered residential energy code,A concrete legislative agenda commitment with a specified timeframe (2019 session) and defined regulatory change (tiered residential energy code).,individual,,Resource Efficiency,no,indirect,
1,Seattle_US,Create a 2030 Challenge pilot offering additional height and floor area incentives for up to 20 major renovations by 2025 in exchange for deep energy and water cuts and no fossil fuels for heating.,"Create pilot program offering additional height and floor area incentives for significant upgrades in energy and water use, and transportation efficiency. A new pilot will offer additional height and floor area incentives for up to 20 major renovations in urban centers outside the International District. Projects would receive the incentives in exchange for cutting energy and water use well below code, including no use of fossil fuels for heating.","## Establish new 2030 Challenge pilot for 20 upgraded, high performing projects by 2025",A named pilot program with quantified scale (up to 20 renovations) and explicit performance requirements including no fossil fuels for heating; uses zoning incentives as the mechanism.,individual,,Mitigation,no,direct,Resource Efficiency
1,Seattle_US,"Implement incentive-driven performance standards for commercial and multifamily buildings, backed by a minimum performance standard beginning in 2030.","Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030. Leading up to 2030, the city will work with building owners through incentives, technical assistance and other programs to help them become voluntary early adopters of the standards, and would then phase in performance requirements beginning in 2030.",## Incentive-driven 2030 performance standards for commercial and multifamily buildings,Contains an explicit future regulatory backstop (minimum performance standard beginning in 2030) and committed use of incentives/programs; qualifies as a policy package even though some design details are to be developed.,individual,,Resource Efficiency,yes,direct,Mitigation
1,Seattle_US,Scale Pay for Performance and pilot Energy Efficiency as a Service in up to 30 buildings.,"Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale. To address the 'hard to reach' energy savings, Seattle City Light is developing programs specifically aimed at enabling greater levels of energy efficiency depth in buildings.",## City Light Whole Building Pay for Performance (P4P) Programs,"A specific utility program commitment with quantified scope (up to 30 buildings) and an incentive-based mechanism, meeting the named intervention/financial instrument criteria.",individual,,Resource Efficiency,yes,indirect,
1,Seattle_US,Double budget allocation for municipal building energy reduction and target a 40% reduction in energy use and carbon emissions in municipal buildings by 2025.,"Double existing budget allocation for reducing energy in municipal buildings from 2012-2015, with a goal of reducing energy use by 40 percent. Building on existing efforts to reduce energy use 20 percent by 2020, the City will double its budget allocation from 2021 to 2025, and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025.",## Improve municipal building energy efficiency and reduce carbon emissions by 2025,"Includes explicit resource allocation (double budget) and quantified, time-bound target (40% by 2025) for municipal buildings; clearly qualifies as a policy commitment.",individual,,Resource Efficiency,yes,direct,Mitigation
1,Seattle_US,"Develop recommendations and a financing/incentive plan to convert 18,000 oil-heated homes to electric heat pumps, including support for low-income residents.","OSE will propose recommendations to the mayor aimed at accelerating the transition of 18,000 homes from heating with oil to an electric heat pump, and adequately serving those unable to finance the switch alone. Recommendations will include a financing plan to support low-income residents, as well as a combination of public and private incentives to spur action.",## Oil to heat pump conversion,"Quantified scale (18,000 homes) and commitment to develop financing and incentives; while framed as recommendations, it assigns a specific deliverable to OSE with defined scope.",individual,,Mitigation,yes,direct,
2,Seattle_US,"In 2011, the Mayor and Seattle City Council adopted a community climate protection goal for Seattle to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312).","In 2011, the Mayor and City Council adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312).",## | Background,Formal adoption via a cited City resolution with a quantified target and deadline.,individual,,Mitigation,no,direct,
2,Seattle_US,Seattle City Council adopted Resolution 31757 affirming Seattle's commitment to the Paris Agreement goals and directing the Office of Sustainability & Environment (OSE) to identify actions necessary to do Seattle’s part to limit warming to 1.5°C.,"In response to the Trump administration's withdrawal of support for the international Paris Climate Agreement last year, the City Council adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the Office of Sustainability &amp; Environment (OSE) to identify the actions necessary to do our part to limit warming to 1.5 degrees Celsius.",## | Background,City Council resolution with a directive to a named office tied to an explicit climate objective.,individual,,Mitigation,no,direct,
2,Seattle_US,"In 2017, Seattle amended the Seattle Electrical Code to require adequate electrical capacity to serve one electric vehicle charging station per parking space and to require construction documents to show the location of equipment and conduit for future installation of EV charging stations.","In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",## Electrical Code,Enforceable code amendment specifying EV-readiness requirements for new parking.,individual,,Mitigation,no,direct,
2,Seattle_US,"Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings 20,000 square feet or larger to track energy performance and annually report to the City; in 2016 the policy was updated to make reported data publicly available.","Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",## Benchmarking,Municipal code reporting requirement with defined applicability threshold; includes a transparency update.,individual,,Resource Efficiency,no,indirect,
2,Seattle_US,"Seattle's Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identify low- or no-cost building operations and maintenance improvements to improve energy and water efficiency, with compliance deadlines phased in by building size beginning in early 2019.","Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019.",## Tune Ups,Enforceable ordinance with defined size threshold and stated compliance schedule start.,individual,,Resource Efficiency,no,indirect,
2,Seattle_US,The City of Seattle committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.,"To demonstrate leadership, build capacity in the industry, and help reduce compliance costs, the city has committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.",## Tune Ups,Formal municipal commitment anchored in a cited resolution; exact deadline date is not provided in the excerpt.,individual,,Resource Efficiency,no,indirect,
2,Seattle_US,"With funding from a Department of Energy grant, the City of Seattle is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance.","With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance.",## Tune-Up Accelerator,Program implementation backed by an explicit external funding source and incentive mechanism.,individual,,Resource Efficiency,yes,indirect,
2,Seattle_US,"Seattle Department of Construction and Inspections provides expedited permitting for projects achieving green building certification and meeting minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.","Seattle Department of Construction and Inspections provides expedited permitting for projects achieving green building certification and meeting minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.",## Priority Green,"An implemented municipal permitting program conditioned on meeting specified performance criteria, including explicit energy efficiency thresholds.",individual,,Resource Efficiency,no,indirect,
2,Seattle_US,"Director's Rule 20-2017 identifies requirements for developers to access additional height, floor area, or density in certain zones by meeting the City's Green Building Standard, including demonstrating that the project is 15 percent more energy efficient than code.","Director's Rule 20-2017 identifies the requirements, which include - adhering to one of the building industry's green building certification programs and demonstrating that the project is 15 percent more energy efficient than code.",## Zoning Incentives,"A formal Director's Rule is an adopted instrument specifying requirements for accessing zoning incentives, including an explicit efficiency threshold.",individual,,Resource Efficiency,no,indirect,
2,Seattle_US,The Living Building Pilot Program provides additional height and floor area for up to 20 projects that meet criteria including Living Building Petal Certification (with no on-site combustion of fossil-fuels) and energy efficiency 25 percent better than code.,"The Living Building Pilot Program provides additional height and floor area for up to 20 projects that meet more extensive green building criteria, which includes achieving Living Building Petal Certification (with no on-site combustion of fossil-fuels), plus energy efficiency 25 percent better than code, and greywater and/or rainwater used for all non-potable water needs (e.g. toilet flushing, irrigation).",## Zoning Incentives,"This is a defined zoning incentive pilot with a quantified cap (up to 20 projects) and explicit requirements, including a fossil-fuel combustion prohibition and an efficiency threshold.",individual,,Mitigation,no,direct,Resource Efficiency
2,Seattle_US,"In 2011, Seattle updated its Sustainable Building Policy for City-owned buildings covering new construction and major renovations to require LEED Gold certification and to expect projects to be 15 percent more energy efficient than the current code.","In 2011, the City updated its Sustainable Building Policy for City-owned buildings covering new construction and major renovations. In addition to the requirement to achieve LEED Gold certification, projects are expected to be 15 percent more energy efficient than the current code.",## Municipal Buildings,Municipal policy update for City-owned buildings with explicit certification and performance expectations.,individual,,Resource Efficiency,no,indirect,
2,Seattle_US,"In 2013, Seattle adopted the Resource Conservation Management Plan (Resolution 31491) with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline).","In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline).",## Municipal Buildings,"Adopted plan via a cited resolution with quantified target, deadline, baseline, and defined municipal scope (City-owned buildings).",individual,,Resource Efficiency,no,indirect,
2,Seattle_US,The 2015 Seattle Energy Code includes criteria that address emissions by requiring either non-fossil fuel-based heating or more efficient windows.,"The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows.",## Energy Code,Explicit building code requirement describing compliance options; the section defines this as part of Seattle’s commercial energy code.,individual,,Mitigation,no,direct,Resource Efficiency
2,Seattle_US,Seattle City Light provides an annual grant to Seattle Department of Construction and Inspections to help make possible the work to develop and implement Seattle's advanced energy code.,Seattle City Light provides an annual grant to Seattle Department of Construction and Inspections to help make possible the work to develop and implement Seattle's advanced code.,## Energy Code,Budget/resource commitment (annual grant) by a named City utility to support code development/implementation; no dollar amount specified.,individual,,Resource Efficiency,yes,indirect,
2,Seattle_US,Seattle City Light is installing 20 public fast charging stations through the right-of-way charging pilot and expects to launch a residential in-home charging program in the fall of 2018.,"Through the right of way charging pilot program described above, City Light is installing 20 public fast charging stations to increase access, while also ensuring that charging is distributed more equitably around the city. The residential program will offer customers access to inhome charging at a manageable monthly cost and is expected to launch in the fall of 2018.",## Seattle City Light Charging Program,Concrete utility implementation actions with a quantified deployment (20 stations) and an expected launch timeframe (fall 2018).,individual,,Mitigation,no,direct,
2,Seattle_US,The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025.,"The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement.",## Municipal Fleet,Quantified municipal operations target with deadline and an identified guiding plan.,individual,,Mitigation,no,direct,
2,Seattle_US,Seattle will pass a new electric vehicle readiness ordinance in 2018 to ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.",## Electric vehicle readiness ordinance for new construction,Commitment to adopt an ordinance with a stated year (2018) and defined scope (parking structures).,individual,,Mitigation,no,direct,
2,Seattle_US,Seattle will release a map of optimal distribution of charging infrastructure in 2018.,Release map of optimal distribution of charging infrastructure in 2018.,## Charging station network map &amp; strategy,Time-bound City commitment to produce a planning instrument for EV charging infrastructure deployment.,individual,,Mitigation,no,direct,
2,Seattle_US,Seattle will create a new Green Fleet Action Plan by the end of 2018 to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.",## Green Fleet Action Plan update,Time-bound municipal planning commitment (by end of 2018) with a clear mitigation intent for municipal vehicles.,individual,,Mitigation,no,direct,
2,Seattle_US,"The Mayor will issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments, and will direct OSE to define the types of projects to assess, the assessment method, and how to account for broader carbon costs by October 2018.","Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments. The Mayor will direct the Office of Sustainability &amp; Environment to work with departments to define the types of projects to assess, the assessment method, and how to account for the broader costs of carbon, by October 2018.",## Assess GHG Emissions Impact of City decisions,Formal executive action (Executive Order) with an interdepartmental requirement and an implementation milestone (October 2018).,individual,,Mitigation,no,direct,
2,Seattle_US,The City of Seattle will make legislation to allow tiered energy codes a priority in the 2019 legislative session.,Legislation to allow for tiered energy codes will be a priority for the City of Seattle in the 2019 legislative session.,## Washington State tiered residential energy code,Explicit City commitment to pursue state legislative change with a specified timeframe (2019 legislative session).,individual,,Resource Efficiency,no,indirect,
2,Seattle_US,"Seattle will provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030.","Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030.",## Incentive-driven 2030 performance standards for commercial and multifamily buildings,"Contains a future regulatory anchor (minimum performance standard beginning in 2030), paired with a program/incentive approach; details are not specified in the quote.",individual,,Resource Efficiency,yes,direct,
