location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale
Austin_US,sub,Overarching Strategy 3: Regional collaboration (Texas Climate Collaborative),Work with neighboring cities and five-county governments to coordinate climate plan implementation and address issues like aggregating demand for new technology and statewide policy changes.,"Work with cities across the state and neighboring cities, such as Round Rock, Cedar Park, Buda, Pflugerville, San Marcos, and Kyle, and the five-county governments: Travis, Williamson, Hays, Bastrop, and Caldwell. The group should focus on lessons learned from specific implementation and big picture issues like aggregating demand for new technology and statewide policy changes.",III. OVERARCHING STRATEGIES,"This specifies the scope and focus areas of the collaborative, making it an actionable intergovernmental coordination policy."
Austin_US,parent,,"Overarching Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets.","## Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets

Purchasing lower-cost carbon offsets - sometimes called 'carbon credits' - may be an option to cancel out direct emissions to achieve the net-zero greenhouse gas emissions target by 2040.",III. OVERARCHING STRATEGIES,"This is a named overarching strategy establishing a framework for local reductions, CDR, and offsets to meet net-zero; it has explicit guidance and limits."
Austin_US,sub,"Overarching Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets","Prioritize emissions actions in order: (1) reduce local emissions via local carbon reduction projects, (2) support regional carbon dioxide removal, (3) use offsets only to close annual gaps and limit offsets to no more than 10% per year.","The following criteria were developed to help guide decisions related to carbon reductions, local projects, removal, and carbon offsets and should be pursued in order.

1. Reduce local emissions following the goals set in this plan by investing in local carbon reduction projects in Austin that avoid direct emissions, focusing on creating local equity benefits and a vibrant collaboration between the community and the City.",III. OVERARCHING STRATEGIES,This sets an explicit decision hierarchy for mitigation instruments; it is a policy rule governing implementation sequencing.
Austin_US,sub,"Overarching Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets","Limit carbon offsets to no more than 10% of the baseline in any given year and prioritize nearby projects and negative-emissions offsets, phasing out avoided-emissions offsets by 2040.","If annual community-wide emissions minus carbon dioxide removal is greater than the stated goal, carbon offsets can be applied to reach a goal. For any given year, carbon offsets should constitute no more than 10% of the baseline.

When carbon offsets are used:
- a. They should be purchased from projects as close to the Austin area as possible.
- b. They should be purchased from projects that create additional environmental and equity benefits.
- c. Carbon offsets from negative emissions should be prioritized over avoided emissions, and the use of avoided emissions should be phased out by 2040.",III. OVERARCHING STRATEGIES,"This is a quantified constraint and procurement rule for offsets (a financial instrument), meeting the criteria for a policy."
Austin_US,individual,,Achieve net-zero carbon for all new buildings by 2030; reduce emissions by 25% for existing buildings; and lower natural gas-related emissions by 30%.,"By 2030, achieve net-zero carbon* for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.

* For this goal, net-zero carbon implies operational carbon, which refers to the CO 2 emitted from operations, such as lighting and heating, during the in-use phase of a building.",SUSTAINABLE BUILDINGS,"This is a quantified, time-bound buildings-sector mitigation target with multiple numeric components."
Austin_US,parent,,"Sustainable Buildings Goal 1 strategies (ensure equitable benefits, improve energy understanding, achieve net-zero buildings, and workforce development).","## Strategy 1: Ensure benefits flow to low-income communities and communities of color

## Strategy 2: Enhance understanding of energy consumption

## Strategy 3: Achieve energy-efficient, net-zero carbon buildings

## Strategy 4: Ensure equitable workforce development for emerging technologies",SUSTAINABLE BUILDINGS,"These are named strategies under a goal, functioning as an umbrella set of sub-actions; extracted as a parent to preserve hierarchy."
Austin_US,sub,"Sustainable Buildings Goal 1 strategies (ensure equitable benefits, improve energy understanding, achieve net-zero buildings, and workforce development).",Support and expand low-income weatherization programs and partner with community organizations for equitable outreach and energy poverty mitigation.,"Create partnerships and work with any future Community Climate Ambassador cohorts to gain feedback and insights on improving program accessibility. Support and expand upon existing low-income weatherization programs.

Support and collaborate on initiatives to advance neighborhood preparedness efforts and share resources on repair and recovery programs.",SUSTAINABLE BUILDINGS,This is a specific programmatic commitment (expand weatherization; partnerships) aimed at equity and resilience outcomes.
Austin_US,sub,"Sustainable Buildings Goal 1 strategies (ensure equitable benefits, improve energy understanding, achieve net-zero buildings, and workforce development).",Expand benchmarking requirements for all existing buildings and improve access to energy and water data via billing systems and reporting requirements.,"Enhance resident and building owner understanding of energy savings opportunities, benefits, and climate impacts of energy consumption. This will be done through direct outreach, culturally relevant communications, expanding benchmarking requirements for all existing buildings, and better access to energy and water data.

Expand information access for utility consumption through billing systems, mobile and web applications, and reporting requirements.",SUSTAINABLE BUILDINGS,This is a concrete regulatory/administrative action (benchmarking expansion and data access changes) to drive efficiency and emissions reductions.
Austin_US,sub,"Sustainable Buildings Goal 1 strategies (ensure equitable benefits, improve energy understanding, achieve net-zero buildings, and workforce development).","Use new building energy codes, amendments, incentives, and electrification measures (including microgrids and distributed generation) to achieve net-zero carbon buildings milestones.","Achieve goal milestones for net-zero carbon buildings through new building energy codes, amendments, and other methods. Engage owners and operators of existing buildings to decarbonize through incentives and education for contractors and occupants.

For new construction and major building renovations, incentives, education, or code amendments will enable a high level of energy efficiency, building systems and appliance electrification, peak-load shifting, microgrids, and distributed generation.",SUSTAINABLE BUILDINGS,"This commits to code amendments and specific technical interventions (electrification, microgrids), qualifying as policy mechanisms."
Austin_US,sub,"Sustainable Buildings Goal 1 strategies (ensure equitable benefits, improve energy understanding, achieve net-zero buildings, and workforce development).",Create or participate in bulk purchasing programs for lower-carbon technologies for affordable housing and City-owned/operated/funded properties.,"For affordable housing and other City-owned, operated, or funded properties, create or participate in a local or state bulk purchasing program. This will help secure volume price discounts on lower-carbon technologies, such as heat pumps, heat pump water heaters, solar photovoltaic and solar thermal systems, battery storage systems, etc.",SUSTAINABLE BUILDINGS,This is a specific procurement/market-shaping intervention (bulk purchasing) to accelerate adoption of low-carbon technologies.
Austin_US,individual,,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",SUSTAINABLE BUILDINGS,"This is a quantified, time-bound mitigation target focused on refrigerant emissions."
Austin_US,parent,,"Refrigerant leakage reduction strategies (destruction program, code changes, incentives, training, and volume reduction).","## Strategy 1: Capture and destroy old refrigerants

## Strategy 2: Improve building codes to encourage cleaner refrigerants

## Strategy 3: Create incentives for leak detection and repair

## Strategy 4: Awareness and training for HVAC service providers

## Strategy 5: Reduce the volume of refrigerants",SUSTAINABLE BUILDINGS,These are named strategies under the refrigerants goal; extracted as a parent to preserve the plan’s hierarchy.
Austin_US,sub,"Refrigerant leakage reduction strategies (destruction program, code changes, incentives, training, and volume reduction).",Develop a refrigerant destruction program that prices older high-GWP refrigerants to increase capture and safe destruction.,"Develop a refrigerant destruction program that places a price on older high ozone-depleting substances and global warming potential (GWP) refrigerants. The program could be run by the City or a contractor, increasing the capture of old refrigerants and safely destroying harmful gases.",SUSTAINABLE BUILDINGS,This is a specific program proposal with a defined mechanism (pricing older refrigerants) to reduce emissions.
Austin_US,sub,"Refrigerant leakage reduction strategies (destruction program, code changes, incentives, training, and volume reduction).",Move forward with local code amendments to allow low/no-GWP refrigerants as soon as feasible.,"Closely follow developments in revised building codes that allow the use of low and no GWP refrigerants, such as California's state building code changes and U.S. Green Building Council ® policies, and move forward with code amendments and other local action as soon as feasible.",SUSTAINABLE BUILDINGS,This is a regulatory commitment (code amendments) tied to refrigerant emissions reductions.
Austin_US,sub,"Refrigerant leakage reduction strategies (destruction program, code changes, incentives, training, and volume reduction).","Create incentives for refrigerant leak detection, prevention, and repair across relevant commercial sectors.","Partner with grocery stores, convenience stores, restaurants, restaurant supply companies, refrigerated warehouses, and HVAC tune-up and repair companies to create an incentive for

designing and tracking refrigerant leak detection, prevention, and repair.",SUSTAINABLE BUILDINGS,This is a specific incentive-based intervention to reduce refrigerant leakage.
Austin_US,sub,"Refrigerant leakage reduction strategies (destruction program, code changes, incentives, training, and volume reduction).","Implement refrigerant leak detection, prevention, and repair at City-owned facilities to lead by example.","Create an awareness, education, and training campaign for local HVAC service providers, building owners, operators, inspectors, and maintenance leads on the importance of refrigerant management and strategies for leak detection, prevention, and repair.

Lead by example by implementing a refrigerant leak detection, prevention, and repair program at City-owned facilities.",SUSTAINABLE BUILDINGS,This is an operational commitment for City facilities plus a broader training campaign.
Austin_US,individual,,Reduce the embodied carbon footprint of building materials used in local construction by 40% by 2030 (with a project cap of 500 kg CO2e/m2).,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline*.

*The embodied carbon associated with the construction and materials must not exceed 500 kg CO2e/m 2 (~100 lbs. CO2e/sf) per project.",SUSTAINABLE BUILDINGS,"This is a quantified, time-bound mitigation target with a defined intensity threshold."
Austin_US,parent,,"Embodied carbon reduction strategies (City standards, incentives, education, and local producer decarbonization).","## Strategy 1: Lead by example through design and construction standards

## Strategy 2: Incentivize lower-carbon materials

## Strategy 3: Educate stakeholders on materials best practices

## Strategy 4: Stimulate decarbonization with local producers installation",SUSTAINABLE BUILDINGS,These are named strategies under the embodied carbon goal; extracted as a parent for hierarchy.
Austin_US,sub,"Embodied carbon reduction strategies (City standards, incentives, education, and local producer decarbonization).","Develop City of Austin design/construction specifications and purchasing agreements to deliver healthy, low-carbon buildings, prioritizing community facilities serving low-income communities and communities of color.","In partnership with other cities and states, develop City of Austin design and construction specifications and purchasing agreements to result in healthy, low-carbon buildings.

Ensure healthy building strategies and certifications are prioritized in community centers, libraries, and other community facilities serving low-income communities and communities of color first.",SUSTAINABLE BUILDINGS,This is a procurement/standards policy with explicit prioritization criteria.
Austin_US,sub,"Embodied carbon reduction strategies (City standards, incentives, education, and local producer decarbonization).","Integrate lower-carbon materials and deconstruction practices into City incentive programs (e.g., expedited permitting and Austin Energy Green Building) and transition voluntary guidance into agreements over time.","Enhance and integrate lower-carbon building materials and deconstruction practices into City incentive programs, like the expedited permitting process and Austin Energy's Green Building program, to transition voluntary design guidance into planning and development agreements over time.",SUSTAINABLE BUILDINGS,This is a concrete policy mechanism using incentives and development agreements to change construction practices.
Austin_US,individual,,"Equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by 2030 by implementing Water Forward strategies.","By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing strategies in the Water Forward Plan.",SUSTAINABLE BUILDINGS,"This is a quantified, time-bound resource efficiency target (water demand) explicitly tied to an implementation plan."
Austin_US,parent,,"Water demand strategies (engagement, program criteria/equity, and water-energy nexus emissions reduction).","## Strategy 1: Engage residents in water efficiency technological transitions, and conservation programs

## Strategy 2: Evaluate water conservation, customer assistance, and workforce development program participation criteria

## Strategy 3: Reduce emissions at the water-energy nexus",SUSTAINABLE BUILDINGS,These are named strategies under the water demand goal; extracted as a parent for hierarchy.
Austin_US,sub,"Water demand strategies (engagement, program criteria/equity, and water-energy nexus emissions reduction).","Develop and implement targeted outreach to increase equitable participation in water conservation programs (including My ATX Water/AMI, incentives, and ordinances) and collect demographic participation data.","Enhance community engagement strategies and create partnerships with community organizations to advance equity through Water Forward strategies, including My ATX Water (Advanced Metering Infrastructure), incentives, and ordinances.

Collect, analyze, and respond to demographic data on incentive program participation.",SUSTAINABLE BUILDINGS,This is a specific implementation commitment (targeted outreach + demographic tracking) to operationalize equitable water conservation.
Austin_US,sub,"Water demand strategies (engagement, program criteria/equity, and water-energy nexus emissions reduction).",Undertake equity assessments and modify program eligibility and processes to expand enrollment in the Customer Assistance Program and other low-income-serving programs (including multi-family eligibility and streamlined applications).,"Evaluate program criteria to identify opportunities to address structural barriers that prevent program participation. Collaborate with City departments and community organizations to explore strategies to expand enrollment in the Customer Assistance Program and increase participation in other programs serving low-income customers.

Undertake equity assessments of program design to identify and recommend strategies to extend eligibility to multi-family properties, modify existing leak repair programs, streamline application processes, and increase outreach to qualified customers not currently enrolled in these programs.",SUSTAINABLE BUILDINGS,This is a concrete administrative policy change commitment focused on eligibility/process reforms.
Austin_US,sub,"Water demand strategies (engagement, program criteria/equity, and water-energy nexus emissions reduction).",Evaluate energy use across Austin Water facilities and develop a plan to reduce usage spikes and quantify emissions reductions from water demand reduction.,"Complete an evaluation of energy usage across Austin Water facilities and develop a plan to reduce usage spikes and decrease demand.

Develop methodologies to quantify how customer reduction in water demand also reduces the City's energy usage and related emissions.",SUSTAINABLE BUILDINGS,This is a specific operational planning commitment linking water conservation to energy/emissions outcomes.
Austin_US,individual,,"By 2030, locate 80% of new non-residential development within Imagine Austin activity centers and corridors.","By 2030, 80% of new non-residential development is located within the city's Imagine Austin activity centers and corridors.",TRANSPORTATION AND LAND USE,"This is a quantified land-use target with a deadline, intended to reduce emissions through compact development."
Austin_US,parent,,"Transportation & Land Use Goal 1 strategies (complete communities, employer siting, mobility hubs, and parking reform).","## Strategy 1: Plan for complete communities

## Strategy 2: Work with employers on location and amenities

## Strategy 3 : Create mobility hubs

## Strategy 4: Phase out free parking",TRANSPORTATION AND LAND USE,These are named strategies under the non-residential development location goal; extracted as a parent for hierarchy.
Austin_US,sub,"Transportation & Land Use Goal 1 strategies (complete communities, employer siting, mobility hubs, and parking reform).","Adopt Complete Communities plans (e.g., neighborhood/corridor/station area plans) to reverse racist impacts, preserve communities of color, and address displacement.","Adopt Complete Communities plans that reverse historical and racist impacts on areas experiencing displacement and preserve neighborhoods in communities of color. Some examples include neighborhood, village, corridor, and station area plans.",TRANSPORTATION AND LAND USE,This is a specific planning adoption commitment (Complete Communities plans) with explicit equity objectives.
Austin_US,sub,"Transportation & Land Use Goal 1 strategies (complete communities, employer siting, mobility hubs, and parking reform).",Create community mobility hubs (including park-and-ride) adjacent to transit stops with first/last-mile options and accessible design.,"Create community mobility hubs, including park-and-ride facilities, adjacent to transit stops to offer a complete trip experience. These hubs should offer various first- and last-mile mobility options.

Improve the physical access to and through the transit stop/station area to be accessible to all.",TRANSPORTATION AND LAND USE,This is a specific infrastructure/program intervention to enable multimodal trips.
Austin_US,sub,"Transportation & Land Use Goal 1 strategies (complete communities, employer siting, mobility hubs, and parking reform).","Phase out free parking for employees at City facilities and large employers near the transit priority network and replace with commuter benefits (cash-out, transit passes, telework support, etc.).","Phase out the practice of providing free parking spaces to employees at City of Austin facilities and other large employers located within 1/2 mile of the Austin Strategic Mobility Plan's transit priority network. Instead, offer a parking cash-out, carpool and vanpool options, flex schedules, transit passes, support for teleworking, or other commuter benefits programs.",TRANSPORTATION AND LAND USE,This is a concrete policy change (parking benefit reform) intended to reduce single-occupancy vehicle trips.
Austin_US,individual,,"By 2027, preserve and produce 135,000 housing units including 60,000 affordable units, with 75% of new housing within 1/2 mile of activity centers and corridors.","By 2027, preserve and produce 135,000 housing units, including 60,000 affordable housing units*, with 75% of new housing located within ½ mile of Imagine Austin activity centers and corridors.

*This goal is based on the Council-adopted Austin Strategic Housing Blueprint.",TRANSPORTATION AND LAND USE,"This is a quantified, time-bound housing/land-use target that affects transportation emissions via location efficiency; it is a policy goal with numbers and deadline."
Austin_US,parent,,"Transportation & Land Use Goal 2 strategies (housing assistance, housing trust fund, and engagement/anti-displacement).","## Strategy 1: Offer immediate affordable housing assistance

## Strategy 2: Fund affordable housing

## Strategy 3: Enhance community engagement for affordable housing and antidisplacement programs",TRANSPORTATION AND LAND USE,These are named strategies under the housing goal; extracted as a parent for hierarchy.
Austin_US,sub,"Transportation & Land Use Goal 2 strategies (housing assistance, housing trust fund, and engagement/anti-displacement).",Increase funding for the City's Housing Trust Fund and build capacity for community development corporations.,"Increase funding for the City's current Housing Trust Fund and support capacity building for community development corporations.

The City may purchase properties in gentrifying areas to preserve or develop new affordable housing units with a range of housing types, such as single-family, duplex, townhomes, etc.",TRANSPORTATION AND LAND USE,This is a resource allocation commitment (increase funding) and a specific tool (property acquisition) to preserve/produce affordable housing.
Austin_US,individual,,"By 2030, achieve a 50% mode share for trips by public transit, biking, walking, carpooling, or avoided trips (work from home).","By 2030, 50% of trips in Austin are made using public transit, biking, walking, carpooling, or avoided altogether by working from home*.

*Based on City of Austin and Capital Metro data, includes all trips, and was approximately 20% in 2019.",TRANSPORTATION AND LAND USE,"This is a quantified, time-bound transportation demand/behavior target central to emissions reduction."
Austin_US,parent,,"Transportation & Land Use Goal 3 strategies (transit expansion, free options, stop improvements, bike/sidewalk networks, and telework).","## Strategy 1: Expand and improve public transportation

## Strategy 2: Promote free transportation options

## Strategy 3: Enhance transit stations and stops

## Strategy 4: Prioritize bicycle networks

## Strategy 5: Enhance bicycle education and training

## Strategy 6: Improve sidewalks, urban trails, and crossings

## Strategy 7: Promote remote and flexible work policies",TRANSPORTATION AND LAND USE,These are named strategies under the mode-shift goal; extracted as a parent for hierarchy.
Austin_US,sub,"Transportation & Land Use Goal 3 strategies (transit expansion, free options, stop improvements, bike/sidewalk networks, and telework).",Implement Project Connect and expand/improve public transportation services with a community needs assessment and anti-displacement safeguards.,"Work with the Austin Transit Partnership to implement Project Connect and expand and improve public transportation services.

Conduct a community needs assessment to identify gaps in services based on greatest mobility needs and ensure projects are integrated and coordinated across City departments and other institutions.",TRANSPORTATION AND LAND USE,This is a specific implementation commitment tied to a named transit program and includes a defined planning step (needs assessment).
Austin_US,sub,"Transportation & Land Use Goal 3 strategies (transit expansion, free options, stop improvements, bike/sidewalk networks, and telework).","Expand free transit options (including through Capital Metro) to increase access for low-income communities, communities of color, and people with disabilities.","Create comprehensive, user-friendly resources connecting community members with free transportation options.

Expand free transit options, including through Capital Metro, to provide increased transportation access for low-income communities, communities of color, and people with disabilities.",TRANSPORTATION AND LAND USE,This is a concrete service/incentive expansion commitment (free transit options) with defined beneficiary groups.
Austin_US,sub,"Transportation & Land Use Goal 3 strategies (transit expansion, free options, stop improvements, bike/sidewalk networks, and telework).","Implement Proposition B transportation bonds for sidewalks, bikeways, trails, and safety projects in low-income communities and communities of color through meaningful engagement.","Implement the 2020 Proposition B voter-approved general obligation bonds for transportation infrastructure, including sidewalks, transportation-related bikeways, urban trails, transportation safety projects, safe routes to school, and substandard streets in low-income communities and communities of color through a meaningful community engagement process.",TRANSPORTATION AND LAND USE,This is a specific public investment commitment (bond implementation) with defined infrastructure categories and equity targeting.
Austin_US,sub,"Transportation & Land Use Goal 3 strategies (transit expansion, free options, stop improvements, bike/sidewalk networks, and telework).","Promote telework/remote work policies, including a City telework policy encouraging at least 85% of eligible City employees to telework and supporting a goal of 15% of Austin residents working from home by 2039.","Ensure that all policies for telework, remote work, or mandatory commuting that impact City of Austin employees are in full alignment with the goal of reducing single-occupancy vehicle trips in the region and that any future changes to City policies contribute towards reaching the 50% mode-shift goal by 2030, and whenever appropriate, all new City of Austin telework and remote work policies contribute towards the goal of achieving 15% Austin residents working from home by 2039. This should include a strategy to implement a City of Austin telework policy encouraging no less than 85% of eligible City of Austin employees to participate in telework.",TRANSPORTATION AND LAND USE,This is a quantified policy commitment (85% eligible City employees telework; 15% residents WFH by 2039) explicitly tied to reducing vehicle trips.
Austin_US,individual,,"By 2030, electrify 40% of total vehicle miles traveled in Austin and ensure EV ownership is culturally, geographically, and economically diverse (about 460,000 EVs).","By 2030, 40% of total vehicle miles traveled in Austin are electrified, and electric vehicle ownership is culturally, geographically, and economically diverse. This translates to approximately 460,000 electric vehicles on the road.",TRANSPORTATION ELECTRIFICATION,"This is a quantified, time-bound mitigation target for transportation electrification with an explicit equity condition."
Austin_US,parent,,"Transportation Electrification Goal 1 strategies (needs assessment, incentives, tolls, sharing, and public fleets).","## Strategy 1: Conduct an EV Community Needs Assessment

## Strategy 2: Create equitable incentives for buying and leasing EVs

## Strategy 3: Reduce tolls for EVs in the Eastern Crescent

## Strategy 4: Launch an e-bike and electric car-sharing program

## Strategy 5: Electrify public sector fleet vehicles",TRANSPORTATION ELECTRIFICATION,These are named strategies under the EV VMT electrification goal; extracted as a parent for hierarchy.
Austin_US,sub,"Transportation Electrification Goal 1 strategies (needs assessment, incentives, tolls, sharing, and public fleets).",Complete an EV Community Needs Assessment to inform an EV adoption growth plan supported by communications and incentives.,"Complete an Electric Vehicle Community Needs Assessment to identify the intersections of mobility challenges, transportation electrification, and racial and economic justice. The assessment will inform an EV adoption growth plan that will be supported by enhanced communications efforts and incentives.",TRANSPORTATION ELECTRIFICATION,This is a specific planning deliverable (needs assessment) that directly informs policy design for EV adoption.
Austin_US,sub,"Transportation Electrification Goal 1 strategies (needs assessment, incentives, tolls, sharing, and public fleets).",Create inclusive incentives for buying or leasing EVs that prioritize low-income communities and communities of color and areas with limited transit access.,"Collaborate with community partners to create inclusive and easily accessible incentives for buying or leasing electric vehicles. This strategy would supplement existing state and federal programs, prioritize low-income communities and communities of color, and focus on geographic areas with limited or no access to transit.",TRANSPORTATION ELECTRIFICATION,This is an explicit incentive policy (financial instrument) with targeting criteria.
Austin_US,sub,"Transportation Electrification Goal 1 strategies (needs assessment, incentives, tolls, sharing, and public fleets).",Offer reduced or eliminated toll rates for low-income communities and communities of color who drive EVs on toll roads from the Eastern Crescent to central Austin.,Partner with highway and regional mobility authorities to offer a reduced or eliminated toll rate for low-income communities and communities of color who drive EVs on toll roads from the Eastern Crescent to central Austin.,TRANSPORTATION ELECTRIFICATION,This is a specific pricing policy (toll reduction) designed to incentivize EV use with equity targeting.
Austin_US,sub,"Transportation Electrification Goal 1 strategies (needs assessment, incentives, tolls, sharing, and public fleets).",Create an e-bike and electric car-sharing program centered on low-income communities and communities of color with income thresholds and displacement safeguards.,"Create an electric bike and car-sharing program centered on low-income communities and communities of color to support functional, low-cost, zero-emissions mobility.

Create an income threshold to ensure that low-income residents can access the program and plan specific actions to address displacement.",TRANSPORTATION ELECTRIFICATION,This is a specific mobility service program with defined equity design features.
Austin_US,sub,"Transportation Electrification Goal 1 strategies (needs assessment, incentives, tolls, sharing, and public fleets).","Encourage public sector fleets in the five-county MSA to commit to buying 100% electric vehicles when available, cost-competitive, and operationally suitable.","Encourage vehicle fleets from public sector agencies in the Austin-Round Rock-San Marcos MSA, such as cities, counties, Capital Metro, and school districts, to commit to buying 100% electric vehicles when they are available, cost-competitive, and meet operational needs.",TRANSPORTATION ELECTRIFICATION,This is a clear procurement commitment direction for fleet electrification (mitigation).
Austin_US,sub,"Transportation Electrification Goal 1 strategies (needs assessment, incentives, tolls, sharing, and public fleets).",Participate in the Climate Mayors Electric Vehicle Purchasing Collaborative to lower up-front EV fleet costs.,"Partner with Austin-area public fleets to participate in the Climate Mayors Electric Vehicle Purchasing Collaborative to lower the up-front costs of new EVs.

Consider early retirement of older fleet vehicles where new EV alternatives are economical and offer retired vehicles for sale locally.",TRANSPORTATION ELECTRIFICATION,This is a specific procurement collaboration mechanism to accelerate fleet electrification.
Austin_US,individual,,"By 2030, transition 100% of gig, rideshare, public health, and delivery vehicle fleets to electric.","By 2030, transition 100% of the gig, rideshare, public health, and delivery vehicle fleets to electric. Starting with private fleets in the Eastern Crescent, establish pilots, technical support, regulation, incentives, and education to support rapid electrification.",TRANSPORTATION ELECTRIFICATION,"This is a quantified, time-bound fleet electrification target with specified implementation levers."
Austin_US,individual,,"By 2030, deploy an equitably distributed mix of Level 1/2 and DC fast charging infrastructure sufficient for 40% electrified VMT (potentially 37,000+ charging ports).","By 2030, Austin has a compelling and equitably distributed mix of level 1, 2, and DC fast charging infrastructure to accommodate 40% of total vehicle miles traveled in the city. This translates to 226 megawatts of electrical load and could mean more than 37,000 charging ports.",TRANSPORTATION ELECTRIFICATION,This is a quantified infrastructure deployment target with a deadline and equity distribution requirement.
Austin_US,parent,,"Transportation Electrification Goal 2 strategies (charging network buildout, smart charging, codes, and outreach).","## Strategy 1: Create a network with more low-cost, accessible charging stations

## Strategy 2: Incentivize internet-connected smart charging

## Strategy 3: Adopt new energy and building codes

## Strategy 4: Expand outreach to systematically excluded groups",TRANSPORTATION ELECTRIFICATION,These are named strategies under the charging infrastructure goal; extracted as a parent for hierarchy.
