role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,secondary_category,is_financial_instrument,climate_relevance
parent,,REDUCE WASTE AND LANDFILLING,"Acknowledging that reducing overall waste provides the greatest benefits, it is also important to improve the convenience and effectiveness of waste management infrastructure, so that it is easier for individuals and businesses to divert waste from landfills. Reusing durable materials for as long as possible, improving recycling rates and addressing contamination issues, and composting organic waste are key starting points. Under current conditions, too many residents do not have access to convenient recycling and composting infrastructure. ' Supporting adaptive reuse techniques whenever possible, rather than demolition and construction. - Resident of The Loop 1",REDUCE WASTE AND LANDFILLING,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Resource Efficiency,,False,indirect
sub,REDUCE WASTE AND LANDFILLING,Introduce community-wide organic waste collection and decomposition by 2025,"GHG Impacts ◆◇◇ City Partners CDPH, CPS, DPD, DSS In households and restaurants, food waste is typically the largest portion of the waste stream. When sent to landfills, food waste causes detrimental methane emissions. When recovered for donation or composted and returned to the soil as fertilizer, food waste feeds food-insecure residents, enables growers to produce more healthy food, reduces the need for irrigation, and prevents flooding during heavy rainfall.",REDUCE WASTE AND LANDFILLING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
sub,REDUCE WASTE AND LANDFILLING,Implement equitable waste source prevention strategies by 2030,"Eliminating waste, particularly by avoiding single-use products, brings many benefits. These single-use products are the materials most likely to 'leak' out of the waste collection system, causing pollution and negative health effects, clogging stormwater management systems, and hampering quality of life. Further, manufacturing these materials causes GHG emissions and other types of pollution, which is an important consideration even if those effects are mostly felt by people on the other side of the globe.",REDUCE WASTE AND LANDFILLING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
sub,REDUCE WASTE AND LANDFILLING,"Divert 90% of commercial, industrial, and institutional waste by 2030","Commercial and industrial waste generation refers to waste generated outside of homes, including offices, stores, restaurants, large institutions like schools and hospitals, and factories. These facilities are required by ordinance to contract with private companies for waste and recycling services, though a 2020 audit by the Inspector General found many businesses lack recycling capacity. Between 2010 and 2020, Chicago's commercial and industrial waste increased from 1.2 million tons in 2010 to almost 1.5 million tons, with most of this waste ending up in landfills.",REDUCE WASTE AND LANDFILLING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,False,indirect
sub,REDUCE WASTE AND LANDFILLING,Divert 75% of construction and demolition waste by 2030,"By 2030, the city will divert 75% of construction and demolition waste from landfills and incineration. Current construction and demolition waste disposal practices contribute significantly to resource loss through material degradation, increased raw materials extraction, and increased waste transportation emissions. When building materials are sent to landfills instead of being reused, an additional carbon impact occurs because of the need to spend energy on manufacturing replacement materials.",REDUCE WASTE AND LANDFILLING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
sub,REDUCE WASTE AND LANDFILLING,Enable building design for disassembly and reuse by 2035,"When materials are reused, they are kept out of landfills and new material manufacturing is avoided. Buildings that are slated for demolition are filled with thousands of useful materials, though only highly valuable or easily recoverable materials are typically salvaged. Buildings can be designed as high performing and durable modular material assemblies that can be easily deconstructed by skilled professionals.",REDUCE WASTE AND LANDFILLING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,indirect
sub,REDUCE WASTE AND LANDFILLING,Divert 90% of residential waste by 2040,"Smaller residential buildings in Chicago are currently served by the City's Blue and Black Cart Programs for recycling and garbage. The programs rely on individuals placing materials in the correct bin. Mistakes cause contamination, add to processing costs, and ultimately lead to many recyclables ending up in the landfill.",REDUCE WASTE AND LANDFILLING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,False,indirect
parent,,"MAKE WALKING, BIKING, OR TRANSIT VIABLE OPTIONS FOR ALL TRIPS",Virtually every Chicagoan must navigate the city's roads and sidewalks as part of their transit journey. Streets that are safe to cross and sidewalks that are maneuverable and wide enough to accommodate a wheelchair or stroller are necessary preconditions for a livable and well-connected communities. Every neighborhood should have streets with the necessary infrastructure to ensure safe and comfortable travel for everyone.,"MAKE WALKING, BIKING, OR TRANSIT VIABLE OPTIONS FOR ALL TRIPS",Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Resource Efficiency,,False,indirect
sub,"MAKE WALKING, BIKING, OR TRANSIT VIABLE OPTIONS FOR ALL TRIPS",Expand high-quality and low-stress on-street bikeways and off-street trails,"GHG Impacts ◆◇◇ City Partners CDOT, DPD Chicago's bikeways network includes 345 miles of on-street facilities, in addition to 55 miles of off-street trails such as the Lakefront Trail and Major Taylor Trail. Through the Chicago Works program, the City has significantly increased its construction of low-stress bikeways, including both protected bike lanes and neighborhood greenways. These facilities provide an increased level of comfort for people biking by providing both physical and network separation from traffic speed and volume.","MAKE WALKING, BIKING, OR TRANSIT VIABLE OPTIONS FOR ALL TRIPS",Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
sub,"MAKE WALKING, BIKING, OR TRANSIT VIABLE OPTIONS FOR ALL TRIPS",Increase Divvy bikes and shared micromobility trips 30% by 2030,"Chicago's Divvy Bikes service is the largest bike-share program in the United States. Over 5.5 million Divvy bike rides were taken in 2021-a 60% increase over 2020 ridership (3.4 million rides) and a 44% increase over 2019 ridership (3.81 million rides). Over 200 new Divvy bike stations will be delivered to the South, Southwest, West, and Northwest Sides.","MAKE WALKING, BIKING, OR TRANSIT VIABLE OPTIONS FOR ALL TRIPS",Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,False,indirect
sub,"MAKE WALKING, BIKING, OR TRANSIT VIABLE OPTIONS FOR ALL TRIPS","Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45% of all trips by 2040","Decreasing the number of miles traveled by a vehicle, and in particular reducing single-occupancy vehicle trips, presents as significant opportunity to reduce Chicago's transporta -tion emissions. In 2017, on-road transportation generated 63% of all transportation GHG emissions (and 15% of total, citywide GHG emissions). Strategies and actions that focus on making roads and sidewalks safer for all users will make the city more walkable, bikeable, and transit friendly.","MAKE WALKING, BIKING, OR TRANSIT VIABLE OPTIONS FOR ALL TRIPS",Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
parent,,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,"Whether traveling within your neighborhood or crisscrossing the city for a longer adventure, reliable transit plays a vital role in keeping our city connected. Despite the dramatic decrease in ridership, the COVID-19 pandemic proved that public transit is a critical part of an equitable economy and must be preserved and expanded. By increasing access to reliable transit, Chicagoans can reduce the number or distance of vehicle trips and related emissions.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Resource Efficiency,Mitigation,False,indirect
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,"Update land use policies to encourage sustainable development, accessibility, and street safety by 2023","GHG Impacts ◆◆◇ City Partners CDOT, CTA, DOH, DPD Chicago has the country's second-largest public transportation system, with 8 train lines and 129 bus routes. Encouraging equitable development near transit nodes to make more households and businesses transit-accessible will make it easier for residents, workers, and visitors to use transit for all trips. Equitable Transit-Oriented Development (ETOD) leverages planning and development as a strategy to reduce vehicle miles traveled and GHG emissions.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Expand use of commuter benefits by 2024,"Providing incentives for workers to take transit can increase transit ridership. Several cities require or encourage some companies to provide pre-tax commuter benefits to their employees. While traditional programs also provide car-centered incentives, modernizing program offerings can encourage commuters to consider ways to drive less and utilize transit and low-carbon mobility options.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,True,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Require transportation demand management plans for new development by 2025,"Transportation Demand Management (TDM) plans encourage the use of transit, bikes, and reduce single-occupancy vehicle trips while also reducing traffic congestion and associated emissions. By requiring or incentivizing new larger development to develop TDM plans, our planning and development strategies can intentionally support sustainable transportation and local ETOD policy implementation. !!!! 1 2",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,indirect
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Update citywide car and bike parking requirements by 2025,"The current zoning code parking minimums mandate that new developments build on-site car parking spaces based on 2004 zoning policy standards. These mandates frequently lead to an oversupply of off-street parking, which unnecessarily encourages more residents to drive, increasing vehicle miles traveled and GHG emissions. Chicago will use this opportunity to modernize parking standards to establish a better balance between all transportation modes (including biking and micromobility options) and make the city safer for pedestrians.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Increase CTA ridership 20% by 2030,"When Chicagoans use more sustainable transportation modes, the number of miles traveled by vehicles will decrease and reduce GHG emissions. The ongoing COVID-19 pandemic, however, has created many challenges, including for transit. Health and safety protocols have kept many Chicagoans at home and off transit.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,ENABLE ZERO-EMISSION TRANSIT AND FLEETS,"In 1883, Chicago's elevated train became the world's first electrified elevated train and is still powered by electricity. Zero-emission transit options are necessary to curbing emissions and improving local air quality. It is equally important to determine how to maximize the use of clean renewable energy power for electrified trains and buses to eliminate the broader inventory of carbon emissions from this sector.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,"Enable electric freight loading docks at commercial and industrial buildings, addressing new buildings by 2025 and existing buildings by 2030","GHG Impacts ◆◆◇ City Partners CDOT, DOB, DPD All electric vehicles, including freight vehicles, have range limits and require periodic charging. A robust vehicle charging infrastructure is needed across the city to make freight vehicle electrification feasible. Loading docks across the city's commercial and industrial buildings are important nodes that will create an electric vehicle charging network.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Support equitable electrification of ride-hail and taxi fleets by 2030,"Both Uber and Lyft have committed to transition to zero-emission fleets by 2030. The federal Infrastructure Investment and Jobs Act includes $7.5 billion for electric vehicles. By 2030, electric vehicle sales are expected to reach 50% of total US vehicle sales.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Enable 100% electrification of delivery fleets by 2035,"The last miles that packages travel from distribution centers to homes and businesses create significant GHG emissions and street-level air pollution. As online commerce increases, so too will delivery truck traffic. Major delivery companies, including FedEx, UPS, and Amazon have all committed to delivering 100% zero-emission fleets.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Electrify 100% of the City's fleet by 2035,"With a fleet of more than 9,400 vehicles serviced at 13 maintenance facilities and 11 fuel sites citywide, the City has an opportunity to leverage an institutional process to alleviate inequitable pollution burdens. As the Department of Assets, Information and Services (AIS) continues to invest in its Green Fleet and the electrification of the city fleet, the depart -ment is practicing equity through beneficial electrification. By prioritizing the installation of chargers and conversion of vehicles in community areas experiencing higher air quality vulnerability, this standard procurement is being leveraged to create jobs, reduce emissions, and improve health and well-being.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,indirect
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Achieve zero-emission transit fleets across Chicagoland by 2040,"In 2014, CTA was the first large transit agency in the United States to pilot electric buses. In 2019, the CTA committed to electrifying its entire bus fleet by 2040. Today, the #66 Chicago route carries passengers on its electric buses, and further investment in the bus fleet charging infrastructure will enable CTA to expand the number of electric buses across their routes.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,100% CLEAN RENEWABLE ENERGY,"We can make our electric grid 'cleaner' and enhance power reliability by investing in the development of new renewable energy generation sources and storage. Installing and expanding in-city and in-state renewable energy will spur economic growth and create employment opportunities. As the renewable electricity supply grows, highly polluting fossil-fuel electricity plants can be retired and remediated.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,"Aggregate 5,000 megawatts of clean renewable energy within a 250-mile radius of Chicago by 2030","GHG Impacts ◆◆◆ City Partners AIS, DPD By 2030, Chicago will bolster its relationships with surrounding counties to promote the growth of clean renewable energy, aligned with Illinois' goal of reaching 100% clean energy statewide by 2050. To achieve Chicago's goal of 100% clean renewable energy, the City will need to enable installations outside Chicagoland. Because of economies of scale, utility-scale development that leverages state and federal funding is important for making clean energy affordable.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,True,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Install 30 megawatts of clean renewable energy projects on City property by 2030,"The City will lead by example in the transition to clean energy by taking advantage of its physical assets. Installing solar arrays on City-owned properties will ensure that previously underutilized space can reduce energy costs, increase local job opportunities, and improve citywide energy resiliency. As a first step, the City will work with technical consultants and utility partners to assess the feasibility of installing solar arrays on City-owned properties, prioritizing installations in environmental justice and low-income communities.",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Achieve 100% clean renewable energy communitywide by 2035,"By 2035, the City will work with utilities to provide 100% clean renewable energy community-wide. The City will prioritize local generation and provide communities shared leadership in determining where renewable projects are constructed. The transition to a cleaner future will help the City reduce carbon emissions, improve air quality, increase economic opportunities, and build a more resiliency energy grid. !!!!",INCREASE TRANSIT PERFORMANCE AND ENCOURAGE EQUITABLE TRANSIT-ORIENTED DEVELOPMENT,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
parent,,ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,"Many buildings use natural gas to run furnaces, boilers, hot water heaters, cooking ranges, and other equipment and appliances. Diesel is commonly used in the backup generators that help maintain power if the electric grid is down. Most personal vehicles still use gasoline.",ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Mitigation,,False,indirect
sub,ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Enact policies that support electrified renovations and new construction by 2023,"GHG Impacts ◆◆◇ City Partners BACP, CDOT, DOB, DPD By 2023, the City will enable electrified renovations for all existing building types (residen -tial, commercial, and industrial) and new construction. For existing buildings, incentivizing electrified renovations will not only help the City achieve its climate goals, but will also standardize building performance and provide clear benefits to owners and occupants. For new buildings, the transition to all-electric buildings must begin in initial design and construction stages where it is easiest and most cost-effective.",ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Electrify 30% of total existing residential buildings by 2035,"Residential building electrification is one of the most important climate actions Chicagoans can take that also provides immediate health benefits for households. To achieve this goal, the City and its private, nonprofit, and public-sector partners will support homeowners and landlords in installing new electric heat pumps for heating, cooling, and hot water. Electric resistance heat can complement heat pumps in cold weather, but most new heat pumps operate efficiently at extreme temperatures.",ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Electrify 20% of total existing industrial buildings by 2035,"In industrial buildings, fuel-intense processes are often related to heat generation for drying, melting, or cracking materials. For industrial activities with very high heat requirements that go beyond 1,000 degrees Celsius, current electrification technologies are limited, but this level of heat is needed only for certain processes like the production of virgin steel, cement, and ceramics. For other process with lower temperature requirements and moderate heating, ventilation, and air conditioning needs, using electric boilers, electric furnaces, heat pumps, and electric evaporation equipment are feasible.",ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Electrify 10% of total existing commercial buildings by 2035,"The ease of electrifying commercial buildings depends on many factors, including building size. Smaller commercial buildings can often follow a similar electrification strategy as residential buildings, where swapping appliance-sized equipment is straightforward. Medium- and large-sized commercial buildings with central heating systems face more complexity, including a potential need to upgrade electrical service to handle the added load, improve structural support for heavier equipment, and/or improve refrigerant management practices.",ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,indirect
sub,ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Electrify 90% of total existing City-owned buildings by 2035,"Because electrifying buildings requires new equipment and workforce techniques, the City can spur local capacity by transitioning most of its own buildings. City leadership in implementing building electrification will enable installers to invest in workforce training and technology partnerships, making it easier for private building owners to also transition to electric equipment.",ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,indirect
sub,ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,"Enable 2,500 new public passenger electric vehicle charging stations by 2035","Electric vehicles provide a clean mobility option for those in communities where a car is a necessity, provide significant cost savings to drivers due to lower operation costs and fuel savings, reduce street-level air pollution, and lead to reduced GHG emissions if the charge source is powered with clean energy. While continuing to invest in strategies that enable residents to reduce the number of vehicle miles traveled, the City will also support equitable adoption of electric vehicles by expanding and improving Chicago's charging infrastructure. In 2020, every community area has a registered electric vehicle.",ENABLE BUILDING AND PERSONAL VEHICLE ELECTRIFICATION,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
parent,,ALIGN BUILDING CODES AND STANDARDS WITH CLIMATE BEST PRACTICES,"To support Chicago's transition to a low-carbon future, the City must modernize its planning, zoning, and building codes. Retrofits can be expanded and accel -erated by codes related to electrifying buildings, and upon major renovations requiring greater energy efficiency, integrating renewable energy and elec -tric vehicle charging, and improving resiliency. Codes and standards also present an opportunity to ensure new building construction is climate-change ready, which prevents the waste associated with retrofitting recently constructed buildings.",ALIGN BUILDING CODES AND STANDARDS WITH CLIMATE BEST PRACTICES,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Resource Efficiency,,False,direct
sub,ALIGN BUILDING CODES AND STANDARDS WITH CLIMATE BEST PRACTICES,"Strengthen policies that support installation of green roofs and walls, tree planting, and other vegetative cover by 2023","GHG Impacts ◆◇◇ City Partners AIS, CDOT, Chicago Park District, CFD, DOB, DPD, DSS By 2023, the City will enable green-roof and green-wall installations, tree planting, and other vegetative cover on both existing buildings and new construction. Expanding and protecting Chicago's green spaces reduces urban heat, improves air quality, and decreases GHG emissions. Establishing a clear and sustainable strategy aimed at greening our environment will benefit all Chicagoans.",ALIGN BUILDING CODES AND STANDARDS WITH CLIMATE BEST PRACTICES,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Nature-Based Solutions,Mitigation,False,direct
