role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale
parent,,"Sustainable Buildings Goal 1, Strategy 3: Achieve energy-efficient, net-zero carbon buildings.","## Strategy 3: Achieve energy-efficient, net-zero carbon buildings

Achieve goal milestones for net-zero carbon buildings through new building energy codes, amendments, and other methods.",SUSTAINABLE BUILDINGS,Named strategy indicating code changes and incentives; umbrella for multiple actions.
sub,"Sustainable Buildings Goal 1, Strategy 3: Achieve energy-efficient, net-zero carbon buildings","For new construction and major renovations, use incentives, education, or code amendments to enable high energy efficiency and electrification, peak-load shifting, microgrids, and distributed generation.","For new construction and major building renovations, incentives, education, or code amendments will enable a high level of energy efficiency, building systems and appliance electrification, peak-load shifting, microgrids, and distributed generation.",SUSTAINABLE BUILDINGS,Specific mechanisms (code amendments/incentives) and named interventions; qualifies as policy action.
sub,"Sustainable Buildings Goal 1, Strategy 3: Achieve energy-efficient, net-zero carbon buildings",Offer incentives to make lower-carbon options like heat pumps and heat pump water heaters the cheapest options without additional paperwork burden.,Offer incentives to HVAC and water heater distributors and retailers that make lower-carbon options like heat pumps and heat pump water heaters the cheapest options without additional paperwork burden on consumers and business owners.,SUSTAINABLE BUILDINGS,Explicit incentive design (financial instrument) to shift market toward electrified equipment.
parent,,"Sustainable Buildings Goal 1, Strategy 4: Ensure equitable workforce development for emerging technologies.","## Strategy 4: Ensure equitable workforce development for emerging technologies

Prioritize investment in local emissions reduction and create equitable workforce development and training opportunities for emerging technologies by partnering with local unions, education, and advocacy organizations that serve low-income communities and communities of color.",SUSTAINABLE BUILDINGS,Named strategy with defined partnerships and actions; umbrella for multiple sub-actions.
sub,"Sustainable Buildings Goal 1, Strategy 4: Ensure equitable workforce development for emerging technologies",Create or participate in a bulk purchasing program for lower-carbon technologies for affordable housing and City-owned/operated/funded properties.,"For affordable housing and other City-owned, operated, or funded properties, create or participate in a local or state bulk purchasing program. This will help secure volume price discounts on lower-carbon technologies, such as heat pumps, heat pump water heaters, solar photovoltaic and solar thermal systems, battery storage systems, etc.",SUSTAINABLE BUILDINGS,Specific procurement intervention to reduce costs and accelerate adoption of low-carbon technologies.
individual,,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.","By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",SUSTAINABLE BUILDINGS,Quantified emissions-reduction target with deadline; direct mitigation.
parent,,Refrigerants Strategy 1: Capture and destroy old refrigerants.,"## Strategy 1: Capture and destroy old refrigerants

Develop a refrigerant destruction program that places a price on older high ozone-depleting substances and global warming potential (GWP) refrigerants.",SUSTAINABLE BUILDINGS,Named strategy with a specific program and pricing mechanism; umbrella for implementation steps.
sub,Refrigerants Strategy 1: Capture and destroy old refrigerants,Develop a refrigerant destruction program that places a price on older high ozone-depleting and high-GWP refrigerants.,"Develop a refrigerant destruction program that places a price on older high ozone-depleting substances and global warming potential (GWP) refrigerants. The program could be run by the City or a contractor, increasing the capture of old refrigerants and safely destroying harmful gases.",SUSTAINABLE BUILDINGS,Specific intervention with a fee/price signal; direct mitigation by preventing high-GWP releases.
parent,,Refrigerants Strategy 2: Improve building codes to encourage cleaner refrigerants.,"## Strategy 2: Improve building codes to encourage cleaner refrigerants

Closely follow developments in revised building codes that allow the use of low and no GWP refrigerants... and move forward with code amendments and other local action as soon as feasible.",SUSTAINABLE BUILDINGS,Named strategy centered on code amendments; umbrella for actions.
parent,,Refrigerants Strategy 3: Create incentives for leak detection and repair.,"## Strategy 3: Create incentives for leak detection and repair

Partner with grocery stores, convenience stores, restaurants, restaurant supply companies, refrigerated warehouses, and HVAC tune-up and repair companies to create an incentive for designing and tracking refrigerant leak detection, prevention, and repair.",SUSTAINABLE BUILDINGS,Named strategy with explicit incentive mechanism and target sectors.
parent,,Refrigerants Strategy 4: Awareness and training for HVAC service providers.,"## Strategy 4: Awareness and training for HVAC service providers

Create an awareness, education, and training campaign for local HVAC service providers, building owners, operators, inspectors, and maintenance leads on the importance of refrigerant management and strategies for leak detection, prevention, and repair.",SUSTAINABLE BUILDINGS,Named programmatic intervention (training campaign) with defined audience.
sub,Refrigerants Strategy 4: Awareness and training for HVAC service providers,"Implement a refrigerant leak detection, prevention, and repair program at City-owned facilities.","Lead by example by implementing a refrigerant leak detection, prevention, and repair program at City-owned facilities.",SUSTAINABLE BUILDINGS,Concrete operational commitment for City facilities; direct mitigation.
individual,,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.","By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline*.",SUSTAINABLE BUILDINGS,Quantified target with baseline and deadline; direct mitigation via materials lifecycle emissions.
parent,,Embodied Carbon Strategy 1: Lead by example through design and construction standards.,"## Strategy 1: Lead by example through design and construction standards

In partnership with other cities and states, develop City of Austin design and construction specifications and purchasing agreements to result in healthy, low-carbon buildings.",SUSTAINABLE BUILDINGS,Named strategy with procurement/specification changes; umbrella for sub-actions.
parent,,Embodied Carbon Strategy 2: Incentivize lower-carbon materials.,"## Strategy 2: Incentivize lower-carbon materials

Enhance and integrate lower-carbon building materials and deconstruction practices into City incentive programs, like the expedited permitting process and Austin Energy's Green Building program, to transition voluntary design guidance into planning and development agreements over time.",SUSTAINABLE BUILDINGS,Named strategy specifying incentive programs and permitting; concrete policy lever.
parent,,Embodied Carbon Strategy 3: Educate stakeholders on materials best practices.,"## Strategy 3: Educate stakeholders on materials best practices

Create a performance framework and educational programming for industry professionals and the general public, focusing on low-income communities and communities of color, to reduce the lifecycle and negative health impacts of building materials and construction practices.",SUSTAINABLE BUILDINGS,Named programmatic intervention with defined focus population and purpose.
parent,,Embodied Carbon Strategy 4: Stimulate decarbonization with local producers.,"## Strategy 4: Stimulate decarbonization with local producers installation

Prioritize partnerships within local materials markets to decarbonize high-impact materials, specifically glass, steel, aluminum, concrete, drywall, insulation, and carpet.",SUSTAINABLE BUILDINGS,Specific action to decarbonize named materials via partnerships; direct mitigation.
individual,,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing strategies in the Water Forward Plan.","By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing strategies in the Water Forward Plan.",SUSTAINABLE BUILDINGS,Quantified resource-demand target with deadline; concrete commitment tied to an adopted plan.
parent,,Water Strategy 1: Engage residents in water efficiency technological transitions and conservation programs.,"## Strategy 1: Engage residents in water efficiency technological transitions, and conservation programs

Enhance community engagement strategies and create partnerships with community organizations to advance equity through Water Forward strategies, including My ATX Water (Advanced Metering Infrastructure), incentives, and ordinances.",SUSTAINABLE BUILDINGS,"Named strategy with specific tools (AMI, incentives, ordinances); umbrella for actions."
parent,,"Water Strategy 2: Evaluate water conservation, customer assistance, and workforce development program participation criteria.","## Strategy 2: Evaluate water conservation, customer assistance, and workforce development program participation criteria

Evaluate program criteria to identify opportunities to address structural barriers that prevent program participation.",SUSTAINABLE BUILDINGS,Named strategy committing to program criteria evaluation and expansion of assistance enrollment.
parent,,Water Strategy 3: Reduce emissions at the water-energy nexus.,"## Strategy 3: Reduce emissions at the water-energy nexus

Assess how water demand reduction is associated with energy consumption in residential and commercial buildings and Austin Water facilities.",SUSTAINABLE BUILDINGS,Named strategy explicitly linking water conservation to energy/emissions; includes planned assessments and methodologies.
individual,,"By 2030, 80% of new non-residential development is located within the city's Imagine Austin activity centers and corridors.","By 2030, 80% of new non-residential development is located within the city's Imagine Austin activity centers and corridors.",TRANSPORTATION AND LAND USE,Quantified land-use target with deadline; affects travel demand and emissions.
parent,,"Transportation & Land Use Goal 1, Strategy 1: Plan for complete communities.","## Strategy 1: Plan for complete communities

Adopt Complete Communities plans that reverse historical and racist impacts on areas experiencing displacement and preserve neighborhoods in communities of color.",TRANSPORTATION AND LAND USE,Named strategy with a clear planning action (adopt plans) and equity intent; umbrella for sub-actions.
parent,,"Transportation & Land Use Goal 1, Strategy 3: Create mobility hubs.","## Strategy 3 : Create mobility hubs

Create community mobility hubs, including park-and-ride facilities, adjacent to transit stops to offer a complete trip experience.",TRANSPORTATION AND LAND USE,Named infrastructure intervention; supports mode shift and reduced car dependence.
parent,,"Transportation & Land Use Goal 1, Strategy 4: Phase out free parking.","## Strategy 4: Phase out free parking

Phase out the practice of providing free parking spaces to employees at City of Austin facilities and other large employers located within 1/2 mile of the Austin Strategic Mobility Plan's transit priority network.",TRANSPORTATION AND LAND USE,Specific operational policy change (parking benefit removal) with defined geography; demand-management measure.
individual,,"By 2027, preserve and produce 135,000 housing units including 60,000 affordable units, with 75% of new housing within 1/2 mile of activity centers and corridors.","By 2027, preserve and produce 135,000 housing units, including 60,000 affordable housing units*, with 75% of new housing located within ½ mile of Imagine Austin activity centers and corridors.",TRANSPORTATION AND LAND USE,Quantified housing production/preservation target with deadline; land-use pattern affects transportation emissions.
parent,,"Transportation & Land Use Goal 2, Strategy 2: Fund affordable housing.","## Strategy 2: Fund affordable housing

Increase funding for the City's current Housing Trust Fund and support capacity building for community development corporations.",TRANSPORTATION AND LAND USE,Explicit funding commitment (increase funding) tied to housing outcomes; concrete financial mechanism.
individual,,"By 2030, 50% of trips in Austin are made using public transit, biking, walking, carpooling, or avoided by working from home.","By 2030, 50% of trips in Austin are made using public transit, biking, walking, carpooling, or avoided altogether by working from home*.",TRANSPORTATION AND LAND USE,Quantified mode-shift target with deadline; direct transportation emissions reduction pathway.
parent,,"Transportation & Land Use Goal 3, Strategy 1: Expand and improve public transportation.","## Strategy 1: Expand and improve public transportation

Work with the Austin Transit Partnership to implement Project Connect and expand and improve public transportation services.",TRANSPORTATION AND LAND USE,Named strategy committing to implement Project Connect and improve transit; concrete action.
parent,,"Transportation & Land Use Goal 3, Strategy 4: Prioritize bicycle networks.","## Strategy 4: Prioritize bicycle networks

Implement the 2020 Proposition B voter-approved general obligation bonds for transportation infrastructure, including sidewalks, transportation-related bikeways, urban trails, transportation safety projects, safe routes to school, and substandard streets in low-income communities and communities of color through a meaningful community engagement process.",TRANSPORTATION AND LAND USE,Specific implementation commitment tied to approved bonds and defined infrastructure types; concrete investment action.
parent,,"Transportation & Land Use Goal 3, Strategy 7: Promote remote and flexible work policies.","## Strategy 7: Promote remote and flexible work policies

Actively promote remote work, telework, and flexible commute policies to maintain and encourage further reductions in single-occupancy vehicle trips.",TRANSPORTATION AND LAND USE,Named strategy with explicit objective (reduce SOV trips) and detailed implementation commitments.
sub,"Transportation & Land Use Goal 3, Strategy 7: Promote remote and flexible work policies",Implement a City of Austin telework policy encouraging no less than 85% of eligible City employees to participate in telework.,This should include a strategy to implement a City of Austin telework policy encouraging no less than 85% of eligible City of Austin employees to participate in telework.,TRANSPORTATION AND LAND USE,Quantified participation requirement (85%) for City telework; concrete operational policy.
individual,,"By 2030, 40% of total vehicle miles traveled in Austin are electrified and EV ownership is culturally, geographically, and economically diverse.","By 2030, 40% of total vehicle miles traveled in Austin are electrified, and electric vehicle ownership is culturally, geographically, and economically diverse.",TRANSPORTATION ELECTRIFICATION,Quantified electrification target with deadline; direct mitigation in transportation sector.
parent,,"Transportation Electrification Goal 1, Strategy 2: Create equitable incentives for buying and leasing EVs.","## Strategy 2: Create equitable incentives for buying and leasing EVs

Collaborate with community partners to create inclusive and easily accessible incentives for buying or leasing electric vehicles.",TRANSPORTATION ELECTRIFICATION,Named strategy establishing incentives (financial instrument) to accelerate EV adoption with equity targeting.
parent,,"Transportation Electrification Goal 1, Strategy 3: Reduce tolls for EVs in the Eastern Crescent.","## Strategy 3: Reduce tolls for EVs in the Eastern Crescent

Partner with highway and regional mobility authorities to offer a reduced or eliminated toll rate for low-income communities and communities of color who drive EVs on toll roads from the Eastern Crescent to central Austin.",TRANSPORTATION ELECTRIFICATION,Specific pricing policy (reduced/eliminated tolls) with defined beneficiaries and geography.
parent,,"Transportation Electrification Goal 1, Strategy 4: Launch an e-bike and electric car-sharing program.","## Strategy 4: Launch an e-bike and electric car-sharing program

Create an electric bike and car-sharing program centered on low-income communities and communities of color to support functional, low-cost, zero-emissions mobility.",TRANSPORTATION ELECTRIFICATION,Named program intervention providing zero-emissions mobility; concrete action.
parent,,"Transportation Electrification Goal 1, Strategy 5: Electrify public sector fleet vehicles.","## Strategy 5: Electrify public sector fleet vehicles

Encourage vehicle fleets from public sector agencies in the Austin-Round Rock-San Marcos MSA... to commit to buying 100% electric vehicles when they are available, cost-competitive, and meet operational needs.",TRANSPORTATION ELECTRIFICATION,Specific procurement commitment (100% electric when feasible) for public fleets; direct mitigation.
individual,,"By 2030, transition 100% of gig, rideshare, public health, and delivery vehicle fleets to electric.","By 2030, transition 100% of the gig, rideshare, public health, and delivery vehicle fleets to electric.",TRANSPORTATION ELECTRIFICATION,Quantified fleet electrification target with deadline; direct mitigation.
individual,,"By 2030, Austin will have an equitably distributed mix of EV charging infrastructure to accommodate 40% of vehicle miles traveled.","By 2030, Austin has a compelling and equitably distributed mix of level 1, 2, and DC fast charging infrastructure to accommodate 40% of total vehicle miles traveled in the city.",TRANSPORTATION ELECTRIFICATION,Quantified infrastructure goal with deadline; enabling condition for EV adoption.
parent,,"Transportation Electrification Goal 2, Strategy 3: Adopt new energy and building codes for EV charging.","## Strategy 3: Adopt new energy and building codes

Adopt new energy and building codes that address future EV charging needs and enable a more equitable approach by simplifying the charging network and lowering barriers to entry for installing EV charging.",TRANSPORTATION ELECTRIFICATION,Named regulatory action (code adoption) to require/enable charging readiness; concrete mechanism.
individual,,"Ensure all Austinites can access a community-driven food system that addresses food insecurity, prioritizes regenerative agriculture, promotes plant-based foods, and minimizes food waste by 2030.","By 2030, ensure all Austinites can access a food system that is communitydriven, addresses food insecurity, prioritizes regenerative agriculture, supports dietary and health agency, promotes plant-based foods, and minimizes food waste.",FOOD AND PRODUCT CONSUMPTION,"Time-bound goal with defined system attributes and interventions; climate-relevant via diet, agriculture, and waste."
parent,,"Food & Product Consumption Goal 1, Strategy 4: Conduct a food waste root cause analysis and implement changes to increase food waste reduction practices by 50%.","## Strategy 4: Conduct a food waste root cause analysis

Conduct a food waste root cause analysis and implement changes informed by the analysis to increase food waste reduction practices by 50%.",FOOD AND PRODUCT CONSUMPTION,Specific analysis plus quantified outcome (50% increase in reduction practices); concrete commitment.
individual,,"By 2030, reduce greenhouse gas emissions from institutional, commercial, and government purchasing by at least 50%.","By 2030, reduce greenhouse gas emissions from institutional, commercial, and government purchasing by at least 50%.",FOOD AND PRODUCT CONSUMPTION,Quantified GHG reduction target with deadline; direct mitigation via procurement.
parent,,"Food & Product Consumption Goal 2, Strategy 3: Strengthen non-City institutional purchasing programs.","## Strategy 3: Strengthen non-City institutional purchasing programs

Recruit at least 50% of local large institutional purchasers (2,500+ employees) and at least 2,500 local organizations of all sizes to collaboratively adopt a set of environmental and social sustainability procurement standards and/or guidelines.",FOOD AND PRODUCT CONSUMPTION,"Quantified recruitment targets (50% of large purchasers; 2,500 organizations) with a defined action (adopt standards)."
parent,,"Food & Product Consumption Goal 2, Strategy 4: Expand the City's Circular Economy Program.","## Strategy 4: Expand the City's Circular Economy Program

Expand the City of Austin's Circular Economy Program to:",FOOD AND PRODUCT CONSUMPTION,Named program expansion with multiple listed actions and support instruments (grants/loans/technical assistance).
sub,"Food & Product Consumption Goal 2, Strategy 4: Expand the City's Circular Economy Program","Use City-owned space and/or partnerships to create rent-subsidized incubation spaces, grants, loans, and technical assistance for qualifying circular organizations.","Use available City-owned space and/or leverage partnerships to create rent-subsidized incubation spaces, grants, loans, and technical assistance for qualifying circular organizations.",FOOD AND PRODUCT CONSUMPTION,Explicit financial and in-kind support instruments (grants/loans/subsidized space) for circular economy; concrete implementation.
individual,,"Aggressively pursue waste reduction, organics composting, and recycling to achieve the waste reduction goals in the 2023 Austin Resource Recovery Comprehensive Plan.","Aggressively pursue waste reduction, organics composting, and recycling to achieve the waste reduction goals in the 2023 Austin Resource Recovery Comprehensive Plan*.",FOOD AND PRODUCT CONSUMPTION,Clear commitment tied to an adopted plan goal; concrete waste-sector intervention.
parent,,Waste Strategy 2: Create Eco-hubs.,"## Strategy 2: Create Eco-hubs

Create 'Eco-hubs' that provide equitably distributed in-person neighborhood centers for borrowing, reuse, and repair services.",FOOD AND PRODUCT CONSUMPTION,Named infrastructure/service intervention; concrete program creation.
parent,,Waste Strategy 4: Offer incentives for products with lower negative environmental and social impact.,"## Strategy 4: Offer incentives for products that have lower negative environmental and social impact

Offer financial incentives, such as point-of-sale rebates or a sales tax holiday, to encourage consumers to choose products, repair services, and rentals with lower negative environmental and social impact, including alternatives to single-use plastics.",FOOD AND PRODUCT CONSUMPTION,Explicit financial instruments (rebates/tax holiday) to shift consumption; concrete policy lever.
individual,,"By 2030, legally protect an additional 20,000 acres of carbon pools on natural lands and manage all natural areas (~70,000 acres total) focusing on resilience.","By 2030, legally protect an additional 20,000 acres of carbon pools on natural lands and manage all new and existing natural areas (approximately 70,000 acres total), focusing on resilience.",NATURAL SYSTEMS,Quantified land protection and management target with deadline; nature-based carbon and resilience action.
parent,,"Natural Systems Goal 1, Strategy 1: Protect natural lands.","## Strategy 1: Protect natural lands

Identify additional woodland, grassland, and wetland systems for protection... Legally protect lands through mechanisms such as fee simple acquisition and conservation easements.",NATURAL SYSTEMS,Named strategy with legal mechanisms (acquisition/easements) and multiple sub-actions including financing methods.
sub,"Natural Systems Goal 1, Strategy 1: Protect natural lands","Pursue innovative financial methods to purchase or protect lands, including sales tax revenue, development fees, or bonds, and explore carbon credit/offset programs and stormwater credit trading.","Identify and pursue innovative financial methods to purchase or protect lands such as:
- Use sales tax revenue, development fees, or bonds, especially when linked to multibenefits and resilience for low-income communities and communities of color.
- Consider local carbon credit markets or offset programs that include natural lands, sustainable working lands, and the potential for stormwater credit trading.",NATURAL SYSTEMS,Explicit financing mechanisms for conservation (taxes/fees/bonds/credit markets); concrete funding policy.
parent,,"Natural Systems Goal 1, Strategy 2: Manage natural lands for resilience.","## Strategy 2: Manage natural lands for resilience

Prepare natural lands for climate change and avoid catastrophic loss of carbon pools through active, intentional, and holistic management.",NATURAL SYSTEMS,Named management strategy explicitly for climate change resilience; umbrella for actions.
parent,,"Natural Systems Goal 1, Strategy 4: Protect water sources.","## Strategy 4: Protect water sources

Protect quantity and quality of source water for municipal supply and regional environmental flows - especially in the face of climate change-driven threats like heat, drought, flood, and wildfire.",NATURAL SYSTEMS,Explicit adaptation policy addressing named hazards; concrete protection objective.
individual,,"By 2030, protect 500,000 acres of farmland from development in the five-county region through legal protections or regenerative agriculture programs.","By 2030, protect 500,000 acres of farmland from development in the fivecounty region* through legal protections or regenerative agriculture programs.",NATURAL SYSTEMS,Quantified land protection target with deadline; nature-based and agricultural climate strategy.
parent,,"Natural Systems Goal 2, Strategy 3: Support farmers through financial assistance.","## Strategy 3: Support farmers through financial assistance

Support farmers in the 5-county region who want to implement carbon-related soil programs or regenerative agricultural practices by providing direct financial assistance, specifically for farmers of color.",NATURAL SYSTEMS,Named strategy with direct financial assistance; concrete equity-targeted support mechanism.
