iteration,location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category
1,Seattle_US,sub,BUILDINGS,"Establish a 2030 Challenge pilot offering additional height and floor area incentives for up to 20 major renovation projects by 2025 to significantly improve energy, water, and transportation performance.","Create pilot program offering additional height and floor area incentives for significant upgrades in energy and water use, and transportation efficiency. A new pilot will offer additional height and floor area incentives for up to 20 major renovations in urban centers outside the International District. Projects would receive the incentives in exchange for cutting energy and water use well below code, including no use of fossil fuels for heating.",Near-Term Climate Action Priorities,Quantified pilot with incentives and a deadline; specific sectors and performance areas named.,Resource Efficiency,no,direct,
1,Seattle_US,sub,BUILDINGS,"Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030.","Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030. Energy use in existing commercial and large multifamily buildings represents approximately 55 percent of the city's building emissions, making a reduction in energy use and emissions in these buildings is critical to meeting our climate goals. Leading up to 2030, the city will work with building owners through incentives, technical assistance and other programs to help them become voluntary early adopters of the standards, and would then phase in performance requirements beginning in 2030.",Near-Term Climate Action Priorities,Names incentives (financial instrument) and a dated standard; explicitly states emissions reduction.,Resource Efficiency,yes,direct,Mitigation
1,Seattle_US,sub,BUILDINGS,Scale Whole Building Pay for Performance and pilot Energy Efficiency as a Service in up to 30 buildings to unlock deeper energy savings.,"Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale. To address the 'hard to reach' energy savings, Seattle City Light is developing programs specifically aimed at enabling greater levels of energy efficiency depth in buildings. Whole building programs, such as Pay for Performance and Energy Efficiency as a Service (EEaS) are two approaches to increase energy savings in commercial buildings.",Near-Term Climate Action Priorities,Identifies specific utility incentive mechanisms and a quantified pilot scope.,Resource Efficiency,yes,direct,
1,Seattle_US,sub,BUILDINGS,"Double the budget for municipal building energy reduction and target a 40% energy use reduction, cutting emissions by 2025.","Double existing budget allocation for reducing energy in municipal buildings from 2012-2015, with a goal of reducing energy use by 40 percent. City-owned buildings comprise four percent of commercial building area of the city. The City will lead the way toward performance standards by aiming to reduce energy and emissions from our own building portfolio.",Near-Term Climate Action Priorities,Commits budget and a quantified performance target with emissions linkage.,Resource Efficiency,yes,direct,Mitigation
1,Seattle_US,sub,BUILDINGS,"Propose recommendations to convert 18,000 homes from heating oil to electric heat pumps, including a financing plan for low-income residents and combined public/private incentives.","Propose recommendations to mayor to convert 18,000 homes from heating oil to an electric heat pump OSE will propose recommendations to the mayor aimed at accelerating the transition of 18,000 homes from heating with oil to an electric heat pump, and adequately serving those unable to finance the switch alone. Recommendations will include a financing plan to support low-income residents, as well as a combination of public and private incentives to spur action. Accomplishing this switch will reduce heating costs and minimize the threat of leaking tanks.",Near-Term Climate Action Priorities,Defines a large-scale fossil-to-electric conversion with financing/incentive components.,Mitigation,yes,direct,
1,Seattle_US,individual,,"Permit and pilot publicly-available EV charging stations in the right of way on non-residential streets in urban villages, urban centers, and commercial streets.","Visible and ready access to charging infrastructure is essential to expanding vehicle electrification. To meet that need, in 2017, a pilot program was initiated to permit the installation of publicly-available electric vehicle charging stations on non-residential streets in urban villages, urban centers, and commercial streets. To date, over 60 applications have been received from three applicants, including Seattle City Light, who installed the first station in February 2018.",Recent Climate Actions,Active pilot program with permitting authority and defined siting parameters.,Mitigation,no,direct,
1,Seattle_US,individual,,Implement two utility charging pilots: expand public fast charging (installing 20 stations) and support residential at-home charging via a lease or incentive model.,"In response to customers' increasing desire for electric vehicles and to understand how best to manage the impact of vehicle charging on the electrical grid, Seattle City Light is designing and implementing two charging infrastructure pilot programs. The programs will expand public fast charging availability and support residential charging at home. Through the right of way charging pilot program described above, City Light is installing 20 public fast charging stations to increase access, while also ensuring that charging is distributed more equitably around the city.",Recent Climate Actions,Utility-led investment pilots with quantified installations and financing model consideration.,Mitigation,yes,direct,
1,Seattle_US,individual,,Amend the Seattle Electrical Code to require EV-ready infrastructure: capacity for one EV charging station per parking space and conduit/equipment locations shown on construction documents.,"In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",Recent Climate Actions,Binding energy code change that mandates EV-ready new parking.,Mitigation,no,direct,
1,Seattle_US,individual,,"Adopt and implement the New Mobility Playbook to guide smart, shared, and electric transportation aligned with connectivity, health, and safety goals.","How we get around is undergoing a sea change, and Seattle is preparing for a transportation future that is shared, electric, and autonomous. As transportation becomes increasingly shared, active, self-driving, electric, and data-driven, Seattle is planning ahead to ensure the fast-paced changes in mobility help us create a safe, equitable, sustainable city serving our diverse needs. The 2017 New Mobility Playbook sets out a course for how Seattle will ensure that future of transportation in Seattle aligns with our city's goals and values and will position Seattle to encourage and guide innovation in transportation technology, reorganizing our streets to grow healthy communities and vibrant public spaces.",Recent Climate Actions,Adopted strategic framework; emissions outcome not explicit in quote.,Mitigation,no,indirect,
1,Seattle_US,individual,,Provide expedited permitting for projects achieving green building certification and at least 15% better-than-code energy performance with water and indoor air quality criteria.,"Seattle Department of Construction and Inspections provides expedited permitting for projects achieving green building certification and meeting minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.",Recent Climate Actions,Permitting incentive with explicit efficiency threshold.,Resource Efficiency,no,indirect,
1,Seattle_US,individual,,"Offer zoning incentives, including additional height and floor area, for developments that exceed energy code performance.","Multiple zoning incentives are available to catalyze development that is more efficient than code: - Currently, developers can access additional height, floor area, or density In certain zones by meeting the City's Green Building Standard. Director's Rule 20-2017 identifies the requirements, which include - adhering to one of the building industry's green building certification programs and demonstrating that the project is 15 percent more energy efficient than code. - The Living Building Pilot Program provides additional height and floor area for up to 20 projects that meet more extensive green building criteria, which includes achieving Living Building Petal Certification (with no on-site combustion of fossil-fuels), plus energy efficiency 25 percent better than code, and greywater and/or rainwater used for all non-potable water needs (e.g.",Recent Climate Actions,Zoning bonus structure tied to above-code efficiency.,Resource Efficiency,no,indirect,
1,Seattle_US,individual,,Require large buildings to benchmark and disclose energy performance.,"Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation. It is estimated that Seattle's benchmarked buildings represent about two-thirds of citywide commercial and industrial square footage.",Recent Climate Actions,Binding reporting mandate in municipal code.,Resource Efficiency,no,indirect,
1,Seattle_US,individual,,Mandate periodic building tune-ups for large commercial buildings to optimize energy performance.,"Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019. A Qualified Tune-Ups Specialist is required to complete the assessment, report to the City, and monitor implementation of operational and maintenance improvements.",Recent Climate Actions,Ordinance establishing operational efficiency requirements.,Resource Efficiency,no,indirect,
1,Seattle_US,individual,,Achieve community-wide carbon neutrality by 2050 (Resolution 31312).,adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312).,Background,"Formal resolution setting a quantitative, time-bound GHG target.",Mitigation,no,direct,
1,Seattle_US,individual,,Affirm Seattle's commitment to the Paris Agreement and direct OSE to identify actions to limit warming to 1.5°C (Resolution 31757).,"adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the Office of Sustainability &amp; Environment (OSE) to identify the actions necessary to do our part to limit warming to 1.5 degrees Celsius.",Background,Formal resolution committing to international climate goals and mandating action planning.,Mitigation,no,direct,
