role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
parent,,Implement adaptation measures under two pillars and three measures (understanding; regional ability to address risks; learning/evaluating climate change effects).,"Adaptation measures will have 2 pillars as the directions of measures; under those pillars, there are 3 measures that will be comprehensively developed in line with the plan. &lt;&lt;First Pillar&gt;&gt; Improvement of acknowledgement and understanding of climate change and its effect",## 2. Direction and structure of measures,Defines the adaptation program architecture with specific pillars/measures.,Adaptation,False,direct,
individual,,Set greenhouse gas emissions reduction targets for Hiroshima City: FY2050 -80% vs FY2013; FY2030 -30% vs FY2013; FY2020 -5% vs FY2013 (and -7% vs FY2005).,"To  establish  the  reduction  target  of  greenhouse  gas  emissions,  the  city  will  set  the  long-term  target  based  on  the national government's target, keeping in mind the city Hiroshima aims to become. This will follow by the mid-term and short-term targets increasing the reduction effect estimated from concrete measures, etc. | Timeframe            | Target Year   | Reduction Target (Total Target Amount)            |   Estimated Amount A |   Target Amount B |   Estimated Reduction Amount A － B |
|----------------------|---------------|---------------------------------------------------|----------------------|-------------------|-------------------------------------|
| Long-term Target     | FY2050        | Compared to FY2013 ▲ 80%                          |                  967 |               176 |                                 791 |
| Mid-term Target *1   | FY2030        | Compared to FY2013 ▲ 30%                          |                  959 |               616 |                                 343 |
| Short-term Target *2 | FY2020        | Compared to FY2013 ▲ 5% (Compared to FY2005 ▲ 7%) |                  934 |               836 |",## 2. Reduction target for greenhouse gas emissions,Quantified citywide GHG reduction targets with years and baselines.,Mitigation,False,direct,
individual,,"In FY2020, evaluate achievement status and revise measure directions and GHG reduction targets based on domestic/international and socio-economic changes; then change the plan or prepare the next plan.","In the short-term target year in this plan (FY2020), the achievement status of measures will be evaluated, and directions of  measures  and  reduction  target  of  greenhouse  effect  gases,  etc. will  be  revised  based  on  the  domestic  and international changes concerning global warming as well as social economic changes, and then the plan will be changed or the next plan will be prepared.",## 2. Revision of plan,Time-bound commitment to review and revise the plan and targets.,Mitigation,False,indirect,
individual,,Develop low-carbon communities with residents' initiative ('Develop our town by ourselves').,"Promote  the  shift  to  an  environmentally-friendly  lifestyle  developing  low-carbon  communities,  etc. with residents' initiative, under the concept of 'Develop our town by ourselves'.",## 3),Specific intervention described in measures section.,Mitigation,False,direct,
individual,,"Make transport smart and low-carbon by enhancing public transport, preparing bicycle/pedestrian networks, and improving roads to alleviate congestion.",- Promotion of large-scale introduction of innovative technology (Change of Action) Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars. - Promotion of development of low-carbon city (Change of Social System),## 3),Specific intervention described in measures section.,Resource Efficiency,False,direct,Mitigation
individual,,Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,- Promotion of large-scale introduction of innovative technology (Change of Action) Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars. - Promotion of development of low-carbon city (Change of Social System),## 3),Specific intervention described in measures section.,Mitigation,False,direct,
individual,,"Promote sustainable low-carbon city construction by promoting smart communities, supporting innovation with new energy (e.g., hydrogen), and promoting a low-environmental-impact city.","Promote  the  construction  of  a  sustainable  low-carbon  city  by  promoting  smart  community,  supporting innovation with new energies, e.g., hydrogen, etc., and promoting the building of a city with little effect on the environment.",## 3) Promotion of development of low-carbon city (Change of Social System),Specific intervention described in measures section.,Mitigation,False,direct,
individual,,"Set municipal government operations GHG reduction targets for FY2020: -5.1% for city office emissions (and -5% city area); and emission-type targets (e.g., offices -9.1%, waste processing -1.1%).","| Segment           |                         | Target Year                                                | Reduction target                                           | Reduction target   |
|-------------------|-------------------------|------------------------------------------------------------|------------------------------------------------------------|--------------------|
| Segment           | Base Year               |                                                            | City area                                                  | City office        |
| Short-term target | FY2013                  | FY2020                                                     | ▲ 5%                                                       | ▲ 5.1%             |
| Short-term target | Target by emission type | Emissions from offices concerning municipal administration | Emissions from offices concerning municipal administration | ▲ 9.1%             |
| Short-term target | Target by emission type | Emissions from waste processing                            | Emissions from waste processing                            | ▲ 1.1%             |
| Short-term target | Target by emission type | Emissions from sewage processing                           | Emissions from sewage processing                           | ▲ 4.1%             |
| Short-term target | Target by emission type | Emissions from water supply                                | Emissions from water supply                                | ▲ 2.4%             |
| Mid-term target   | FY2013                  | FY2030                                                     | ▲ 30%                                                      | ▲ 30%              |",## 3. Reduction target,Quantified reduction targets for local government operations.,Mitigation,False,direct,
individual,,"Change municipal administration systems to reduce GHGs by introducing green contract system, promoting green purchasing, and thoroughly applying energy-saving specifications for city-owned buildings.","-  In order to reduce greenhouse gas emissions, each staff member will continuously take actions. The city will also change the 'system' of administration as follows for achieving targets effectively and efficiently in the limited budget. 1.",## 4. Policy direction,Concrete administrative procurement/building specification mechanisms to reduce emissions.,Resource Efficiency,False,direct,
sub,Main measures by emission source and estimated reduction of greenhouse gas emissions,Implement carbon management promotion project (facility renewal and operation improvement).,"|                                                            | Carbon management promotion project (facility renewal and operation improvement)                                                 | 1,050                 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Operational/facility efficiency improvement program.,Resource Efficiency,False,direct,
parent,,"Implement main mitigation measures by municipal emission source (offices, waste, sewage, water) with estimated CO2 reductions.","(unit: ton-CO2) | Main measures by emission source                           | Main measures by emission source                                                                                                 | Estimated reduction   |
|------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------|-----------------------|
| Emissions from offices concerning municipal administration | Emissions from offices concerning municipal administration                                                                       | 18,700                |
|                                                            | Promotion by each staff member                                                                                                   | 1,350                 |
|                                                            | Power contract based on eco-friendly contract laws                                                                               | 8,770                 |
|                                                            | Introduction of LED lighting (Basically 50% of straight tube type fluorescents with more than 15 years of use are to be changed) | 5,970                 |
|                                                            | Carbon management promotion project (facility renewal and operation improvement)                                                 | 1,050                 |
|                                                            | Facility renewal byESCO project                                                                                                  | 380                   |
|                                                            | Introduction of the next generation vehicles (renewal of basically more than 50%ofpublic cars except special-purpose vehicles)   | 410                   |
|                                                            | Thorough conduct of eco-drive                                                                                                    | 240                   |
|                                                            | Introduction of solar power and woody biomass, etc. | 530                   |
| Emissions from waste processing                            | Emissions from waste processing                                                                                                  | 17,200                |
|                                                            | Waste reduction and recycle, efficiency improvement of waste power generation                                                    | 17,200                |
| Emissions from sewage processing                           | Emissions from sewage processing                                                                                                 | 7,330                 |
|                                                            | Efficiency improvement of facilities, expansion of sewage gas power generation                                                   | 7,330                 |
| Emissions from water supply                                | Emissions from water supply                                                                                                      | 180                   |
|                                                            | Efficiency improvement of facilities (lighting, voltage transformation facility, etc.)                                           | 180                   |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Umbrella list/table of specific measures with estimated reductions.,Mitigation,False,direct,
sub,Main measures by emission source and estimated reduction of greenhouse gas emissions,Improve sewage processing facility efficiency and expand sewage gas power generation.,"| Emissions from sewage processing                           | Emissions from sewage processing                                                                                                 | 7,330                 |
|                                                            | Efficiency improvement of facilities, expansion of sewage gas power generation                                                   | 7,330                 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific efficiency and biogas energy measures.,Resource Efficiency,False,direct,
sub,Main measures by emission source and estimated reduction of greenhouse gas emissions,"Improve water supply facility efficiency (lighting, voltage transformation facilities).","| Emissions from water supply                                | Emissions from water supply                                                                                                      | 180                   |
|                                                            | Efficiency improvement of facilities (lighting, voltage transformation facility, etc.)                                           | 180                   |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific efficiency upgrades for municipal water supply.,Resource Efficiency,False,direct,
sub,Main measures by emission source and estimated reduction of greenhouse gas emissions,Introduce LED lighting (change ~50% of straight tube fluorescents with >15 years of use).,"|                                                            | Introduction of LED lighting (Basically 50% of straight tube type fluorescents with more than 15 years of use are to be changed) | 5,970                 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific technology intervention with implementation rule-of-thumb.,Resource Efficiency,False,direct,
sub,Main measures by emission source and estimated reduction of greenhouse gas emissions,Introduce next generation vehicles by renewing >50% of public cars (excluding special-purpose vehicles) and conduct eco-drive thoroughly.,"|                                                            | Introduction of the next generation vehicles (renewal of basically more than 50%ofpublic cars except special-purpose vehicles)   | 410                   |
|                                                            | Thorough conduct of eco-drive                                                                                                    | 240                   |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Fleet electrification/clean vehicles plus eco-driving explicitly listed.,Mitigation,False,direct,Resource Efficiency
sub,Main measures by emission source and estimated reduction of greenhouse gas emissions,Introduce solar power and woody biomass in municipal operations.,"|                                                            | Introduction of solar power and woody biomass, etc.                                                                              | 530                   |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Renewable/biomass energy deployment for municipal emissions.,Mitigation,False,direct,
sub,Main measures by emission source and estimated reduction of greenhouse gas emissions,Reduce emissions from waste processing through waste reduction/recycling and efficiency improvement of waste power generation.,"| Emissions from waste processing                            | Emissions from waste processing                                                                                                  | 17,200                |
|                                                            | Waste reduction and recycle, efficiency improvement of waste power generation                                                    | 17,200                |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Concrete waste reduction/recycling and energy recovery efficiency actions.,Resource Efficiency,False,direct,
sub,Main measures by emission source and estimated reduction of greenhouse gas emissions,Renew facilities using ESCO projects.,|                                                            | Facility renewal byESCO project                                                                                                  | 380                   |,## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,ESCO-based facility renewal is a concrete efficiency intervention.,Resource Efficiency,False,direct,
sub,Main measures by emission source and estimated reduction of greenhouse gas emissions,Use eco-friendly (green) power contracts based on eco-friendly contract laws.,"|                                                            | Power contract based on eco-friendly contract laws                                                                               | 8,770                 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Procurement mechanism to reduce emissions from electricity.,Mitigation,False,direct,
individual,,Promote energy management and energy-saving actions and thoroughly manage devices using chlorofluorocarbons with high greenhouse effect (business activities).,"- 1)
- Promotion of development of environmentally-friendly people and offices (Change of Values) Take measures to promote energy management and energy saving actions, as well as thorough management of devices using chlorofluorocarbons that have an extremely high greenhouse effect. - Promotion of large-scale introduction of innovative technology (Change of Action)",## ◆ Business activities,Specific intervention described in measures section.,Mitigation,False,direct,
individual,,Conserve and plant trees on green lands to create and preserve healthy forests.,"- 1) Promotion of development of environmentally-friendly people and offices (Change of Values) Education and promotion of tree planting on private lands and creation of forests by citizens
- 2) Promotion of large-scale introduction of innovative technology (Change of Action) Promotion of tree planting on private lands as well as the introduction of woody biomass
- 3) Promotion of development of low-carbon city (Change of Social System) Conservation and tree planting on green lands, creating and preserving healthy forests
- 4) Countermeasures against heat-island phenomenon Promote to increase greenery on the top and sides of buildings in the city, utilizing the network of rich water and greenery from our forests, green land, rivers, coasts, etc., which are the city's characteristics, under the three pillars of measure directions.",## ◆ Source of forest absorption /planting trees,Specific intervention described in measures section.,Nature-Based Solutions,False,direct,Mitigation
individual,,Educate and promote tree planting on private lands and creation of forests by citizens.,"- 1) Promotion of development of environmentally-friendly people and offices (Change of Values) Education and promotion of tree planting on private lands and creation of forests by citizens
- 2) Promotion of large-scale introduction of innovative technology (Change of Action) Promotion of tree planting on private lands as well as the introduction of woody biomass
- 3) Promotion of development of low-carbon city (Change of Social System) Conservation and tree planting on green lands, creating and preserving healthy forests
- 4) Countermeasures against heat-island phenomenon Promote to increase greenery on the top and sides of buildings in the city, utilizing the network of rich water and greenery from our forests, green land, rivers, coasts, etc., which are the city's characteristics, under the three pillars of measure directions.",## ◆ Source of forest absorption /planting trees,Specific intervention described in measures section.,Nature-Based Solutions,False,indirect,Mitigation
individual,,Increase rooftop and wall greenery and create water/green networks as heat-island countermeasures.,"- 1) Promotion of development of environmentally-friendly people and offices (Change of Values) Education and promotion of tree planting on private lands and creation of forests by citizens
- 2) Promotion of large-scale introduction of innovative technology (Change of Action) Promotion of tree planting on private lands as well as the introduction of woody biomass
- 3) Promotion of development of low-carbon city (Change of Social System) Conservation and tree planting on green lands, creating and preserving healthy forests
- 4) Countermeasures against heat-island phenomenon Promote to increase greenery on the top and sides of buildings in the city, utilizing the network of rich water and greenery from our forests, green land, rivers, coasts, etc., which are the city's characteristics, under the three pillars of measure directions.",## ◆ Source of forest absorption /planting trees,Specific intervention described in measures section.,Nature-Based Solutions,False,direct,Adaptation
individual,,Promote tree planting on private lands and introduce woody biomass.,"- 1) Promotion of development of environmentally-friendly people and offices (Change of Values) Education and promotion of tree planting on private lands and creation of forests by citizens
- 2) Promotion of large-scale introduction of innovative technology (Change of Action) Promotion of tree planting on private lands as well as the introduction of woody biomass
- 3) Promotion of development of low-carbon city (Change of Social System) Conservation and tree planting on green lands, creating and preserving healthy forests
- 4) Countermeasures against heat-island phenomenon Promote to increase greenery on the top and sides of buildings in the city, utilizing the network of rich water and greenery from our forests, green land, rivers, coasts, etc., which are the city's characteristics, under the three pillars of measure directions.",## ◆ Source of forest absorption /planting trees,Specific intervention described in measures section.,Nature-Based Solutions,False,direct,Mitigation
individual,,"Promote eco-driving, use of public transport, and local food production for local consumption to reduce food miles (transport).","- 1)
- Promotion of development of environmentally-friendly people and offices (Change of Values) Promote the eco-driving and use of public transport, etc., as well as local food production for local consumption for food miles reduction, etc.",## ◆ Transport,Specific intervention described in measures section.,Resource Efficiency,False,direct,
individual,,Construct a resource circulation system by shifting from petroleum-derived plastic to biomass plastic made from carbon-free plants.,- 1) Promotion of development of environmentally-friendly people and offices (Change of Values) Promote educational activities to make citizens and business operators take initiatives in waste reduction and recycling. Increase the efficiency of waste power generation and the recycling rate of construction by-product produced - 2) Promotion of large-scale introduction of innovative technology (Change of Action) at construction sites.,## ◆ Waste,Specific intervention described in measures section.,Resource Efficiency,False,direct,Mitigation
individual,,Increase efficiency of waste power generation and recycling rate of construction by-products at construction sites.,- 1) Promotion of development of environmentally-friendly people and offices (Change of Values) Promote educational activities to make citizens and business operators take initiatives in waste reduction and recycling. Increase the efficiency of waste power generation and the recycling rate of construction by-product produced - 2) Promotion of large-scale introduction of innovative technology (Change of Action) at construction sites.,## ◆ Waste,Specific intervention described in measures section.,Resource Efficiency,False,direct,
individual,,Promote educational activities for citizens and business operators to take initiative in waste reduction and recycling.,- 1) Promotion of development of environmentally-friendly people and offices (Change of Values) Promote educational activities to make citizens and business operators take initiatives in waste reduction and recycling. Increase the efficiency of waste power generation and the recycling rate of construction by-product produced - 2) Promotion of large-scale introduction of innovative technology (Change of Action) at construction sites.,## ◆ Waste,Specific intervention described in measures section.,Resource Efficiency,False,direct,
sub,Creating an environment to promote understanding of climate change and its effect,Conduct publicity/education via city PR magazine and website; prepare sub-readings for school education; deliver lectures by the city and the regional council.,"- -New Publicity and  education  using  the  city's  PR  magazine  'Hiroshima  Citizens  and  Municipal Government' and the city website,
- -New Preparation of sub-readings available for school education,
- -New Delivery lecture by the city and Hiroshima City Global Warming Countermeasure Regional Council, etc.",## ◇ Main measures,"Specific interventions (publicity, educational materials, lectures) for adaptation awareness.",Adaptation,False,direct,
sub,Building resilience against climate change,"Implement measures against short-duration heavy rain (city renovation, disaster info sharing/delivery systems); health impacts from heat (heat disorder publicity and prevention info); heat countermeasures via water/green networks and rooftop/wall greening.","【 Measures against increase of heavy rain in short time 】 - -City renovation for disaster prevention, construction of disaster information sharing system, enhancement of disaster information delivery system 【 Measures against the effect of climate change on health due to the temperature rises, etc.",## ◇ Main measures,Lists concrete hazard-specific actions; includes explicit green/water network and greening actions for heat.,Adaptation,False,direct,Nature-Based Solutions
