role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
sub,Promotion of low-carbon city network,"Share Hiroshima City's achievements with neighboring towns and promote introduction of next-generation energy (woody biomass, small hydro, hydrogen) across the greater Hiroshima area.","- Measures in greater Hiroshima city area We will share Hiroshima City's achievements with neighboring towns and consider a system to promote the introduction of eco-friendly energy. For example, we utilize the resources in the greater Hiroshima city area effectively, considering not only the circulation of energy in the area, but also the circulation of 'people, objects and money' so that it would have an effect on the whole city area cooperating with municipalities in the area, and plan measures to promote the introduction of the next generation energy such as woody biomass, small

hydroelectric generation and hydrogen, etc. - 2) Cooperation with domestic and international cities

Hiroshima City is an executive board member city of the Japan Bureau of 'ICLEI', an international network in which more than 1,500 municipalities participate, as well as a member city of 'Compact of Mayors'",## ◆ Promotion of low-carbon city network,Specific inter-municipal cooperation to promote eco-friendly/next-generation energy.,Mitigation,False,direct,
sub,Promotion of low-carbon city network,Cooperate with domestic and international cities via ICLEI and Compact of Mayors to share measures and create synergy for low-carbon city development.,"- 2) Cooperation with domestic and international cities

Hiroshima City is an executive board member city of the Japan Bureau of 'ICLEI', an international network in which more than 1,500 municipalities participate, as well as a member city of 'Compact of Mayors' participated by more than 7,100 municipalities (as of January 2017); the city aims to achieve 'Compact of Mayors' for the first time in Japan, share our achievements and leading measures by other cities, build the system to cooperate with domestic and international cities for creating synergy, and create a low-carbon city from a global viewpoint. ## ◇ Organization of measures

<!-- image -->",## ◆ Promotion of low-carbon city network,Cooperation mechanism through named networks.,Mitigation,False,direct,
individual,,Promote household energy-saving actions and environment-related learning/education through global warming prevention campaigns.,"global warming prevention campaign, etc.",## ◆ Household,Specific action to promote energy saving and education.,Resource Efficiency,False,direct,
individual,,Promote introduction of low-carbon houses/buildings (ZEH/ZEB) and Top Runner energy-saving devices.,"Net Zero Energy House (hereinafter called 'ZEH') and Net Zero Energy Building (hereinafter called 'ZEB'), and energy saving devices based on the state's Top Runner Program.",## ◆ Household,Named building/device efficiency mechanisms.,Resource Efficiency,False,direct,Mitigation
individual,,Target ZEH adoption at 50% by FY2020 and almost 100% by FY2030.,"## ◇ Key Performance Indicator (KPI)

|                                                                                         | ZEH                                                                                     | 4.3% (FY2015)    | 50%                  | Almost100%          |",## ◆ Household,Quantified KPI for ZEH adoption.,Resource Efficiency,False,indirect,
individual,,Target low-carbon house adoption at 50% by FY2020.,"## ◇ Key Performance Indicator (KPI)

|                                                                                         | Low-carbon house                                                                        | 1.3% (FY2015)    | 50%                  | -                   |",## ◆ Household,Quantified KPI for low-carbon housing.,Resource Efficiency,False,indirect,
individual,,Target newly-built apartment buildings to achieve almost 100% ZEB by FY2030.,"## ◇ Key Performance Indicator (KPI)

| Newly-built apartment buildings                                                         | ZEB                                                                                     | -                | -                    | Almost100%          |",## ◆ Household,Quantified KPI for ZEB in new apartment buildings.,Resource Efficiency,False,indirect,
individual,,Target newly-built apartment buildings low-carbon house rate to 50% by FY2020.,"## ◇ Key Performance Indicator (KPI)

| Newly-built apartment buildings                                                         | Low-carbon house                                                                        | 0%(FY2015)       | 50%                  | -                   |",## ◆ Household,Quantified KPI for low-carbon apartment buildings.,Resource Efficiency,False,indirect,
individual,,"Increase the total number of introduced household fuel cells to 15,000 by FY2020 and 56,000 by FY2030.","## ◇ Key Performance Indicator (KPI)

| Number of introduced household fuel cells (Total)                                       | Number of introduced household fuel cells (Total)                                       | 822 (FY2015)     | 15,000               | 56,000              |",## ◆ Household,Quantified KPI for household fuel cell deployment.,Mitigation,False,direct,Resource Efficiency
individual,,Increase the share of citizens who have introduced LED lighting for more than 80% of household lighting to 50% by FY2020 and almost 100% by FY2030.,"## ◇ Key Performance Indicator (KPI)

| Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | 12.5% (FY2016)   | 50%                  | Almost100%          |",## ◆ Household,Quantified KPI for household LED adoption.,Resource Efficiency,False,indirect,
individual,,"Promote energy management and energy saving actions, and thoroughly manage devices using high-GWP chlorofluorocarbons.","Take measures to promote energy management and energy saving actions, as well as thorough management of devices using chlorofluorocarbons that have an extremely high greenhouse effect.",## ◆ Business activities,Specific measures including refrigerant management and energy savings.,Mitigation,False,direct,Resource Efficiency
individual,,Promote introduction of ZEB and Top Runner energy-saving devices in business activities.,"innovative technology such as ZEB, and energy saving devices based on the state's Top Runner Program.",## ◆ Business activities,Named efficiency interventions for commercial buildings/devices.,Resource Efficiency,False,direct,Mitigation
individual,,"Increase Eco Action 21 and ISO14001 introductions to 500 by FY2020 and 1,000 by FY2030.","## ◇ Key Performance Indicator (KPI)

| No. of introductions of Eco Action 21 and ISO14001 (total)              | 370 (FY2015)     | 500                   | 1,000               |",## ◆ Business activities,Quantified KPI for environmental management systems.,Mitigation,False,indirect,
individual,,Raise office LED lighting usage to 88.1% by FY2020 and almost 100% by FY2030.,"## ◇ Key Performance Indicator (KPI)

| Rate of offices that use LED lights for lighting                        | 52.5% (FY2016)   | 88.1%                 | Almost100%          |",## ◆ Business activities,Quantified KPI for office lighting efficiency.,Resource Efficiency,False,indirect,
individual,,Increase BEMS adoption in offices to 13% by FY2020 and 47% by FY2030.,"## ◇ Key Performance Indicator (KPI)

| Rate of offices that introduce Business Energy Management System (BEMS) | 2.8% (FY2016)    | 13%                   | 47%                 |",## ◆ Business activities,Quantified KPI for BEMS adoption.,Resource Efficiency,False,indirect,
individual,,"Promote eco-driving, use of public transport, and local food production for local consumption for food miles reduction.","eco-driving and use of public transport, etc., as well as local food production for local consumption for food miles reduction, etc.",## ◆ Transport,Behavioral and modal shift measures; climate benefit substantial.,Resource Efficiency,False,indirect,
individual,,Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,## ◆ Transport,Vehicle technology shift with direct mitigation intent.,Mitigation,False,direct,
individual,,"Enhance public transport and build bicycle/pedestrian networks to make transport smart and low-carbon, including road improvements to alleviate congestion.","Make  transport smart and  low-carbon by enhancing  public transport as well as by preparing the bicycle/pedestrian network as well as promoting road improvement for alleviating traffic congestion, etc.",## ◆ Transport,Transport system/infrastructure changes explicitly framed as low-carbon.,Resource Efficiency,False,direct,Mitigation
individual,,Increase the rate of owned next generation vehicles to 19% by FY2020 and 38% by FY2030.,"## ◇ Key Performance Indicator (KPI)

| Rate of No. of owned next generation vehicles | 14.2% (FY2015)              | 19%                   | 38%                 |",## ◆ Transport,Quantified KPI for next-generation vehicle ownership.,Mitigation,False,direct,
individual,,"Increase public transport users in the city to 598,000 people/day by FY2020.","## ◇ Key Performance Indicator (KPI)

| No. of public transport users in the city     | 567,000people /day (FY2014) | 598,000people /day    | -                   |",## ◆ Transport,Quantified KPI supporting modal shift.,Resource Efficiency,False,indirect,
individual,,Promote educational activities to increase citizen and business initiatives in waste reduction and recycling.,Promote educational activities to make citizens and business operators take initiatives in waste reduction and recycling.,## ◆ Waste,Specific education measure to support waste reduction/recycling.,Resource Efficiency,False,indirect,
individual,,Increase efficiency of waste power generation and the recycling rate of construction by-products produced at construction sites.,"Increase the efficiency of waste power generation and the recycling rate of construction by-product produced

- 2) Promotion of large-scale introduction of innovative technology (Change of Action) at construction sites. Construct the circulating system of resources and for a sustainable circulating society by promoting the shift from using petroleum-derived plastic that emits a large amount of greenhouse effect gases at burning to using

- 3) Pr",## ◆ Waste,Operational improvements affecting waste-sector emissions and resource recovery.,Mitigation,False,indirect,Resource Efficiency
individual,,Promote shifting from petroleum-derived plastic to biomass plastic to reduce greenhouse gases emitted when plastics are burned.,"petroleum-derived plastic that emits a large amount of greenhouse effect gases at burning to using

- 3) Promotion of development of low-carbon city (Change of Social System) biomass plastic whose raw materials are carbon-free plants, etc. ## ◇ Key Performance Indicator (KPI)",## ◆ Waste,Explicit GHG rationale for plastic substitution.,Mitigation,False,direct,Resource Efficiency
individual,,Reduce waste generation to 826 g/person/day by FY2020.,"## ◇ Key Performance Indicator (KPI)

| Waste amount per day per person | 859 g/person/day (FY2013) | 826 g/ person/day     | -                   |",## ◆ Waste,Quantified KPI for waste reduction.,Resource Efficiency,False,indirect,
individual,,"Reduce waste incineration to 295,000 ton/year by FY2020.","## ◇ Key Performance Indicator (KPI)

| Incineration amount of waste    | 304,000 ton/year (FY2013) | 295,000 ton/year      | -                   |",## ◆ Waste,Quantified KPI affecting incineration emissions.,Mitigation,False,indirect,
individual,,Promote education and tree planting on private lands and creation of forests by citizens.,"Education and promotion of tree planting on private lands and creation of forests by citizens
- 2) Promotion of large-scale introduction of innovative technology (Change of Action) Promotion of tree planting on private lands as well as the introducti",## ◆ Source of forest absorption /planting trees,Specific NBS action: tree planting/forest creation.,Nature-Based Solutions,False,indirect,
individual,,Promote tree planting on private lands and introduce woody biomass.,"introduction of woody biomass
- 3) Promotion of development of low-carbon city (Change of Social System) Conservation and tree planting on green lands, creating and preserving healthy forests
- 4) Countermeasures against heat-island phenomenon Promot",## ◆ Source of forest absorption /planting trees,Combines biomass energy (mitigation) with tree planting (NBS) explicitly.,Mitigation,False,direct,Nature-Based Solutions
individual,,"Conserve and plant trees on green lands, creating and preserving healthy forests.","creating and preserving healthy forests
- 4) Countermeasures against heat-island phenomenon Promote to increase greenery on the top and sides of buildings in the city, utilizing the network of rich water and greenery from our forests, green land, riv",## ◆ Source of forest absorption /planting trees,Explicit conservation and forest health/planting measure.,Nature-Based Solutions,False,indirect,
individual,,Counter the heat-island phenomenon by increasing greenery on roofs and walls and leveraging the city’s water and green network.,"Countermeasures against heat-island phenomenon Promote to increase greenery on the top and sides of buildings in the city, utilizing the network of rich water and greenery from our forests, green land, rivers, coasts, etc., which are the city's characteristics, under the three pillars of measure directions. ## ◇ Key Performance Indicator (KPI)",## ◆ Source of forest absorption /planting trees,Explicit heat-island countermeasure using green infrastructure.,Nature-Based Solutions,False,direct,Adaptation
individual,,Increase introduced biomass boilers in city facilities to 3 by FY2020 and 9 by FY2030.,"## ◇ Key Performance Indicator (KPI)

| No. of introduced biomass boilers in the city facilities (cumulative total) | 1 (FY2016)        | 3                     | 9                   |",## ◆ Source of forest absorption /planting trees,Quantified KPI for biomass boiler installations.,Mitigation,False,direct,
individual,,"Expand park and green space area to 1,000 ha by FY2020.","## ◇ Key Performance Indicator (KPI)

| Area of park and green spaces                                               | 975.71ha (FY2015) | 1,000ha               | -                   |",## ◆ Source of forest absorption /planting trees,Quantified KPI for green space expansion.,Nature-Based Solutions,False,indirect,
individual,,"Promote understanding of climate change and its effects via publicity/education, school sub-readings, and delivery lectures.","## 1) Creating an environment to promote understanding of climate change and its effect

Promote the creation of an environment for more accurate understanding of climate change and its effect. ## ◇ Main measures

- -New Publicity and  education  using  the  city's  PR  magazine  'Hiroshima  Citizens  and  Municipal Government' and the city website,
- -New Preparation of sub-readings available for school education,
- -New Delivery lecture by the city and Hiroshima City Global Warming Countermeasure Regional Council, etc. ## 2)    Building resilience against climate change

The  city  will  advance  measures  in  7  areas  in  which  'the  state's  adaptation  plan'  will  be  adopted  according  to natural/economic/social conditions; particularly, the city will focus on the items of 'natural disaster/coast area', 'health' and 'people's life/city life' whose damage by climate change has",## 1) Creating an environment to promote understanding of climate change and its effect,Concrete adaptation capacity-building measures.,Adaptation,False,direct,
individual,,"Build resilience against climate change by advancing measures in seven adaptation areas, focusing on natural disaster/coast area, health, and people's life/city life.","## 2)    Building resilience against climate change

The  city  will  advance  measures  in  7  areas  in  which  'the  state's  adaptation  plan'  will  be  adopted  according  to natural/economic/social conditions; particularly, the city will focus on the items of 'natural disaster/coast area', 'health' and 'people's life/city life' whose damage by climate change has become obvious in the city. There  are  many  measures  that  have  already  been  implemented  from  the  viewpoints  of  disaster  prevention  and healthcare; however, they will be advanced with the additional 'adaptation' viewpoint. We choose the effective measures for adaptation from the 'City creation of prevention of disaster / decrease disaster' in the comprehensive creation strategy 'Hiroshima, the 'city' we can be proud of in the world' prepared in FY2015; based on these measures, the city will conduct the steady promotion.",## 2)    Building resilience against climate change,Explicit commitment to advance adaptation measures and prioritize specific areas.,Adaptation,False,direct,
individual,,Implement measures against increased short-time heavy rain (disaster-prevention renovation and enhanced disaster information systems).,"【 Measures against increase of heavy rain in short time 】

- -City renovation for disaster prevention, construction of disaster information sharing system, enhancement of disaster information delivery system

【 Measures against the effect of climate change on health due to the temperature rises, etc. 】

- -Publicity on heat disorder, information provision of heat disorder prevention

【 Countermeasures against heat (heat island phenomenon, etc.) 】

- -Creation of water and green network by the co",## 2)    Building resilience against climate change,Hazard-specific adaptation actions for heavy rain.,Adaptation,False,direct,
individual,,Implement heat-disorder (heatstroke) prevention information and publicity in response to temperature rise impacts on health.,"【 Measures against the effect of climate change on health due to the temperature rises, etc. 】

- -Publicity on heat disorder, information provision of heat disorder prevention

【 Countermeasures against heat (heat island phenomenon, etc.) 】

- -Creation of water and green network by the conservation and creation of public open space such as rivers and roads through which the wind passes; promotion of greenery increase on roof and walls of buildi",## 2)    Building resilience against climate change,Health adaptation actions explicitly tied to temperature rises.,Adaptation,False,direct,
individual,,Counter heat (heat island phenomenon) through water and green networks and rooftop/wall greening.,"【 Countermeasures against heat (heat island phenomenon, etc.) 】

- -Creation of water and green network by the conservation and creation of public open space such as rivers and roads through which the wind passes; promotion of greenery increase on roof and walls of buildings (including those by the green promotion system).",## 2)    Building resilience against climate change,Explicit heat-island adaptation using green-blue infrastructure.,Nature-Based Solutions,False,direct,Adaptation
individual,,Cooperate with the state and universities to consider a system to learn and evaluate climate change effects for timely adaptation measures.,"## 3)    Building of a system to learn and evaluate the effects of climate change

In order to prepare for the estimated effects and advance 'adaptation measures' appropriately at a suitable time, the city will cooperate with the state and universities and consider a system to learn and evaluate.",## 3)    Building of a system to learn and evaluate the effects of climate change,Institutional adaptation monitoring/evaluation commitment.,Adaptation,False,direct,
individual,,"Set government operations GHG reduction targets (vs FY2013): city office -5.1% by FY2020 and -30% by FY2030; plus FY2020 targets by emission type (offices -9.1%, waste processing -1.1%, sewage processing -4.1%, water supply -2.4%).",## 3. Reduction target,## 3. Reduction target,Quantified municipal operations targets with target years.,Mitigation,False,direct,
individual,,"Introduce green contracting, promote procurement under Hiroshima City Green Purchase Policy, and thoroughly apply energy-saving specifications for city-owned buildings.","## 4. Policy direction

-  In order to reduce greenhouse gas emissions, each staff member will continuously take actions. The city will also change the 'system' of administration as follows for achieving targets effectively and efficiently in the limited budget.",## 4. Policy direction,Specific procurement and building-specification commitments to achieve reductions.,Resource Efficiency,False,direct,Mitigation
individual,,Use power contracts based on eco-friendly contract laws (green contracts).,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions

|                                                            | Power contract based on eco-friendly contract laws                                                                               | 8,770                 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific procurement measure listed in main measures table.,Mitigation,False,direct,
individual,,Replace (basically) 50% of straight tube fluorescent lights older than 15 years with LED lighting.,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions

|                                                            | Introduction of LED lighting (Basically 50% of straight tube type fluorescents with more than 15 years of use are to be changed) | 5,970                 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Operational retrofit with explicit scope condition.,Resource Efficiency,False,direct,
individual,,Implement a carbon management promotion project (facility renewal and operation improvement).,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions

|                                                            | Carbon management promotion project (facility renewal and operation improvement)                                                 | 1,050                 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Named emissions-management project in table.,Mitigation,False,direct,
individual,,Renew facilities through ESCO projects.,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions

|                                                            | Facility renewal byESCO project                                                                                                  | 380                   |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,ESCO implementation mechanism in table.,Resource Efficiency,False,direct,
individual,,Introduce next generation vehicles in city operations.,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions

|                                                            | Introduction of the next generation vehicles (renewal of basically more than 50%ofpublic cars except special-purpose vehicles)   | 410                   |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Fleet renewal action in table.,Mitigation,False,direct,
individual,,Reduce waste-processing emissions through waste reduction/recycling and improving waste power generation efficiency.,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions

|                                                            | Waste reduction and recycle, efficiency improvement of waste power generation                                                    | 17,200                |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Waste operations measures listed in table.,Resource Efficiency,False,direct,Mitigation
individual,,Reduce sewage-processing emissions by improving facilities efficiency and expanding sewage gas power generation.,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions

|                                                            | Efficiency improvement of facilities, expansion of sewage gas power generation                                                   | 7,330                 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Energy recovery/efficiency measures in table.,Mitigation,False,direct,Resource Efficiency
individual,,"Reduce water-supply emissions by improving facilities efficiency (lighting, voltage transformation facility, etc.).","## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions

|                                                            | Efficiency improvement of facilities (lighting, voltage transformation facility, etc.)                                           | 180                   |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Efficiency improvements for water supply operations in table.,Resource Efficiency,False,direct,
individual,,"Promote adaptation in government operations through staff training, resilient infrastructure/lifelines, adaptation-oriented facility operations, and promoting voluntary actions by citizens and businesses.","## 〇 Adapting to the effects of climate change (adaptation)

## 1. Purpose

Adaptation measures by the city promote the measures by all the city organizations as well as promoting voluntary actions by citizens and business operators in order to firmly advance the measures stated in Chapter 6 'Adaptation to the effect of climate change due to global warming (Adaptation Measures).'

## 2. Policy direction

-  Promote publicity and education of city staff by training, etc.",## 〇 Adapting to the effects of climate change (adaptation),Government operations adaptation policy direction.,Adaptation,False,direct,
individual,,Manage progress using the Hiroshima City Environment Management System and publish annual conduct status on the city website.,"## 〇 Progress management, etc. -  In  order  to  progress  the  city  measures,  progress  is  managed  based  on  the  'Hiroshima  City  Environment Management System' that has been uniquely developed by the city.","## 〇 Progress management, etc.",Governance commitment for progress tracking and disclosure.,Mitigation,False,indirect,
individual,,Establish a 'Low-carbon City Development Citizens Conference (tentative)' and manage progress annually using the PDCA cycle.,"## 1. Plan promotion system and progress management

-  For advancing this plan, each agent including citizens, business operators and administrators (the city) becomes conscious of its role, cooperates with others and takes actions together. -  By  preparing  this  plan,  'Low-carbon  City  Development  Citizens  Conference  (tentative)'  representing  citizens, business operators and administrators, etc., is established as a system to take actions together.",## 1. Plan promotion system and progress management,Creates a plan promotion system and annual progress management commitment.,Mitigation,False,indirect,
individual,,"Evaluate measures in FY2020 and revise directions and GHG reduction targets, then amend the plan or prepare the next plan.","## 2. Revision of plan

In the short-term target year in this plan (FY2020), the achievement status of measures will be evaluated, and directions of  measures  and  reduction  target  of  greenhouse  effect  gases,  etc.",## 2. Revision of plan,Commits to a revision point and updating targets/directions.,Mitigation,False,indirect,
