role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,"Increase introductions of Eco Action 21 and ISO14001 to 500 by FY2020 and 1,000 by FY2030.","| No. of introductions of Eco Action 21 and ISO14001 (total) | 370 (FY2015) | 500 | 1,000 |",## ◇ Key Performance Indicator (KPI),Quantified target for environmental management system adoption in businesses.,Mitigation,False,indirect,
individual,,Increase the rate of offices using LED lights for lighting to 88.1% by FY2020 and almost 100% by FY2030.,| Rate of offices that use LED lights for lighting | 52.5% (FY2016) | 88.1% | Almost100% |,## ◇ Key Performance Indicator (KPI),Quantified efficiency target for office lighting.,Resource Efficiency,False,direct,
individual,,Increase the rate of offices introducing BEMS to 13% by FY2020 and 47% by FY2030.,| Rate of offices that introduce Business Energy Management System (BEMS) | 2.8% (FY2016) | 13% | 47% |,## ◇ Key Performance Indicator (KPI),Quantified target for energy management systems in offices.,Resource Efficiency,False,direct,
individual,,"Promote eco-driving and use of public transport, and promote local food production for local consumption to reduce food miles.","Promote the eco-driving and use of public transport, etc., as well as local food production for local consumption for food miles reduction, etc.",## ◆ Transport,"Specific transport and consumption measures aimed at reducing emissions (eco-driving, modal shift, food miles).",Mitigation,False,direct,Resource Efficiency
individual,,Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,## ◆ Transport,Named technology shift in transport to reduce emissions.,Mitigation,False,direct,
individual,,"Make transport smart and low-carbon by enhancing public transport, preparing bicycle/pedestrian networks, and improving roads to alleviate traffic congestion.","Make transport smart and low-carbon by enhancing public transport as well as by preparing the bicycle/pedestrian network as well as promoting road improvement for alleviating traffic congestion, etc.",## ◆ Transport,Concrete urban transport system interventions to reduce emissions.,Resource Efficiency,False,direct,
individual,,Increase the rate of owned next generation vehicles to 19% by FY2020 and 38% by FY2030.,| Rate of No. of owned next generation vehicles | 14.2% (FY2015) | 19% | 38% |,## ◇ Key Performance Indicator (KPI),Quantified target for next-generation vehicle uptake.,Mitigation,False,direct,
individual,,"Increase public transport users in the city to 598,000 people/day by FY2020.","| No. of public transport users in the city | 567,000people /day (FY2014) | 598,000people /day | - |",## ◇ Key Performance Indicator (KPI),Quantified modal shift target supporting lower-emission transport.,Resource Efficiency,False,indirect,
individual,,Promote educational activities so citizens and businesses take initiatives in waste reduction and recycling.,Promote educational activities to make citizens and business operators take initiatives in waste reduction and recycling.,## ◆ Waste,Specific intervention (education) tied to waste reduction/recycling with emissions implications.,Resource Efficiency,False,indirect,
individual,,Increase efficiency of waste power generation and the recycling rate of construction by-products produced at construction sites.,Increase the efficiency of waste power generation and the recycling rate of construction by-product produced at construction sites.,## ◆ Waste,Specific operational improvements in waste-to-energy and construction waste recycling.,Resource Efficiency,False,indirect,
individual,,Promote a resource-circulating system by shifting from petroleum-derived plastics to biomass plastics made from carbon-free plants.,"Construct the circulating system of resources and for a sustainable circulating society by promoting the shift from using petroleum-derived plastic that emits a large amount of greenhouse effect gases at burning to using

- 3) Promotion of development of low-carbon city (Change of Social System) biomass plastic whose raw materials are carbon-free plants, etc.",## ◆ Waste,Named material substitution (biomass plastics) explicitly linked to reducing GHGs from burning plastics.,Mitigation,False,direct,Resource Efficiency
individual,,"Reduce waste amount per person per day to 826 g/person/day by FY2020 and reduce waste incineration to 295,000 tons/year by FY2020.","| Waste amount per day per person | 859 g/person/day (FY2013) | 826 g/ person/day | - |
| Incineration amount of waste    | 304,000 ton/year (FY2013) | 295,000 ton/year      | - |",## ◇ Key Performance Indicator (KPI),Quantified waste reduction targets; supports emissions reduction from waste sector.,Resource Efficiency,False,indirect,
individual,,Educate and promote tree planting on private lands and creation of forests by citizens.,Education and promotion of tree planting on private lands and creation of forests by citizens,## ◆ Source of forest absorption /planting trees,Specific nature-based intervention (tree planting/forest creation) contributing to carbon sinks.,Nature-Based Solutions,False,direct,
individual,,Promote tree planting on private lands and introduce woody biomass.,Promotion of tree planting on private lands as well as the introduction of woody biomass,## ◆ Source of forest absorption /planting trees,Combines NBS (tree planting) with biomass energy introduction; explicit mitigation actions.,Mitigation,False,direct,Nature-Based Solutions
individual,,Conserve and plant trees on green lands to create and preserve healthy forests.,"Conservation and tree planting on green lands, creating and preserving healthy forests",## ◆ Source of forest absorption /planting trees,Specific forest conservation/afforestation commitment (carbon sink).,Nature-Based Solutions,False,direct,
individual,,Implement heat-island countermeasures by increasing greenery on roofs and walls and utilizing the city's water and green network.,"Countermeasures against heat-island phenomenon Promote to increase greenery on the top and sides of buildings in the city, utilizing the network of rich water and greenery from our forests, green land, rivers, coasts, etc., which are the city's characteristics, under the three pillars of measure directions.",## ◆ Source of forest absorption /planting trees,Explicit heat-island countermeasure using greening and water/green networks (adaptation via ecosystems).,Nature-Based Solutions,False,direct,Adaptation
individual,,Increase introduced biomass boilers in city facilities to 3 by FY2020 and 9 by FY2030.,| No. of introduced biomass boilers in the city facilities (cumulative total) | 1 (FY2016) | 3 | 9 |,## ◇ Key Performance Indicator (KPI),Quantified deployment target for biomass boilers (renewable heat).,Mitigation,False,direct,
individual,,"Increase area of park and green spaces to 1,000 ha by FY2020.","| Area of park and green spaces | 975.71ha (FY2015) | 1,000ha | - |",## ◇ Key Performance Indicator (KPI),Quantified greenspace expansion target; supports ecosystem-based climate functions though not explicitly framed here beyond the section context.,Nature-Based Solutions,False,indirect,
individual,,Conduct a citywide campaign aligned with 'COOL CHOICE' to reduce greenhouse gas emissions through energy saving and environmentally-friendly actions.,"In response to the statewide movement 'COOL CHOICE', citizens, business operators and administrations, etc., cooperate under the same target; conduct 'Breaking Free from Global Warming! All citizens Campaign (tentative)' that aims to reduce greenhouse gas emissions by saving energy, etc., foster the values, and act in an environmentally-friendly way.",## ◆ Cross-sectional measures,Named campaign with explicit aim to reduce GHG emissions; concrete cross-sector measure.,Mitigation,False,direct,Resource Efficiency
individual,,Educate and promote understanding of smart communities as beneficial systems for regional and economic development alongside global warming countermeasures.,"Further, educate people and promote the meaning and necessity of, not only global warming countermeasures, but also the smart community that is a beneficial system for regional development as well as economic development.",## ◆ Cross-sectional measures,Education/awareness intervention supporting smart community uptake; somewhat broad but still a stated action.,Mitigation,False,indirect,
individual,,"Promote and expand dispersed power systems for effective community energy use and emergency power during disasters, building the foundation of a smart community.","Promote and expand the use of the dispersed power system whose energy can be effectively used in a community as well as an emergency power source at the time of disaster, and build the foundation of a smart community.",## ◆ Cross-sectional measures,Specific infrastructure/energy system measure with explicit disaster-emergency function (dual mitigation/resilience).,Mitigation,False,direct,Adaptation
individual,,"Promote construction of a sustainable low-carbon city by promoting smart communities, supporting innovation with new energies (e.g., hydrogen), and promoting eco-friendly city creation.","Promote the construction of a sustainable low-carbon city by promoting smart community, supporting innovation with new energies, e.g., hydrogen, etc., and promoting the building of a city with little effect on the environment.",## ◆ Cross-sectional measures,Explicit commitment to promote smart community and new energy innovation for low-carbon development; broad but action-oriented.,Mitigation,False,direct,
individual,,"Introduce dispersed power in city facilities (cumulative) to 1 by FY2020 and 8 by FY2030, and increase smart communities (cumulative) to 3 by FY2020 and 10 by FY2030.","| Introduction no. of dispersed power in the city facilities (cumulative total) | 0 (FY2016) | 1 | 8 |
| Introduction no. of smart communities (cumulative total) | 1 (FY2016) | 3 | 10 |",## ◇ Key Performance Indicator (KPI),Quantified deployment targets for distributed power and smart communities.,Mitigation,False,direct,
parent,,Promote a low-carbon city network through cooperation in the greater Hiroshima area and with domestic/international cities to share achievements and create synergy.,"The fourth pillar is, therefore, the 'Promotion of a low-carbon city network' that will solve global warming issues from a global viewpoint as a leading city in the Chugoku and Shikoku regions as well as the President City of Mayors for Peace whose members include more than 7,000 domestic and international cities.

## ◆ Promotion of low-carbon city network",## THE FOURTH PILLAR: PROMOTION OF LOW-CARBON CITY NETWORK (CREATION OF SYNERGY),Named umbrella initiative with sub-actions listed under the network promotion section.,Mitigation,False,direct,
sub,Promotion of low-carbon city network,"Share Hiroshima City's achievements with neighboring towns and develop systems and measures to promote introduction of eco-friendly and next-generation energy (e.g., woody biomass, small hydro, hydrogen) across the greater Hiroshima area.","We will share Hiroshima City's achievements with neighboring towns and consider a system to promote the introduction of eco-friendly energy. For example, we utilize the resources in the greater Hiroshima city area effectively, considering not only the circulation of energy in the area, but also the circulation of 'people, objects and money' so that it would have an effect on the whole city area cooperating with municipalities in the area, and plan measures to promote the introduction of the next generation energy such as woody biomass, small

hydroelectric generation and hydrogen, etc.",## ◆ Promotion of low-carbon city network,Concrete cooperative regional energy-system promotion with examples of technologies; explicit mitigation intent.,Mitigation,False,direct,
sub,Promotion of low-carbon city network,"Cooperate with domestic and international cities via networks (ICLEI, Compact of Mayors) to share achievements, lead measures by other cities, and build cooperation systems to create synergy for a low-carbon city.","Hiroshima City is an executive board member city of the Japan Bureau of 'ICLEI', an international network in which more than 1,500 municipalities participate, as well as a member city of 'Compact of Mayors' participated by more than 7,100 municipalities (as of January 2017); the city aims to achieve 'Compact of Mayors' for the first time in Japan, share our achievements and leading measures by other cities, build the system to cooperate with domestic and international cities for creating synergy, and create a low-carbon city from a global viewpoint.",## ◆ Promotion of low-carbon city network,Explicit commitment to international/ domestic cooperation mechanisms for low-carbon action.,Mitigation,False,direct,
parent,,Implement an adaptation program with two pillars (improve understanding; improve regional capacity to deal with climate risks) and three measures (promote understanding environment; build resilient city; build learning/evaluation system).,"Adaptation measures will have 2 pillars as the directions of measures; under those pillars, there are 3 measures that will be comprehensively developed in line with the plan.

<<First Pillar>>

Improvement of acknowledgement and understanding of climate change and its effect

<<Second Pillar>>

Improvement of regions' comprehensive ability to deal with climate change risks",## 2. Direction and structure of measures,Defines a structured adaptation policy framework that governs subsequent concrete measures.,Adaptation,False,direct,
individual,,"Create an environment to promote accurate understanding of climate change and its effects through publicity/education, school sub-readings, and delivery lectures.","## 1) Creating an environment to promote understanding of climate change and its effect

Promote the creation of an environment for more accurate understanding of climate change and its effect.

- -New Publicity and education using the city's PR magazine 'Hiroshima Citizens and Municipal Government' and the city website,
- -New Preparation of sub-readings available for school education,
- -New Delivery lecture by the city and Hiroshima City Global Warming Countermeasure Regional Council, etc.",## 3. Concrete measures,"Specific adaptation capacity-building actions (publicity, curriculum materials, lectures).",Adaptation,False,direct,
individual,,"Advance adaptation measures across seven areas, focusing on natural disaster/coast area, health, and people's life/city life, adding an 'adaptation' viewpoint to existing disaster prevention and healthcare measures.","The city will advance measures in 7 areas in which 'the state's adaptation plan' will be adopted according to natural/economic/social conditions; particularly, the city will focus on the items of 'natural disaster/coast area', 'health' and 'people's life/city life' whose damage by climate change has become obvious in the city.

There are many measures that have already been implemented from the viewpoints of disaster prevention and healthcare; however, they will be advanced with the additional 'adaptation' viewpoint.",## 2)    Building resilience against climate change,Clear commitment to prioritize and advance adaptation actions in specified impact areas.,Adaptation,False,direct,
individual,,"Implement measures against increased short-time heavy rain, including city renovation for disaster prevention and construction/enhancement of disaster information sharing and delivery systems.","【 Measures against increase of heavy rain in short time 】

- -City renovation for disaster prevention, construction of disaster information sharing system, enhancement of disaster information delivery system",## 2)    Building resilience against climate change,Specific infrastructure and information-system interventions tied to a named climate hazard (heavy rain).,Adaptation,False,direct,
individual,,Implement health measures for temperature rise impacts by publicizing heat disorder risks and providing heat disorder prevention information.,"【 Measures against the effect of climate change on health due to the temperature rises, etc. 】

- -Publicity on heat disorder, information provision of heat disorder prevention",## 2)    Building resilience against climate change,Specific public health adaptation actions linked to temperature rise.,Adaptation,False,direct,
individual,,Implement heat countermeasures (heat island) by creating water and green networks via conservation/creation of public open spaces and promoting roof/wall greening (including via green promotion system).,"【 Countermeasures against heat (heat island phenomenon, etc.) 】

- -Creation of water and green network by the conservation and creation of public open space such as rivers and roads through which the wind passes; promotion of greenery increase on roof and walls of buildings (including those by the green promotion system).",## 2)    Building resilience against climate change,Explicit adaptation measure for heat using ecosystem/greening mechanisms.,Nature-Based Solutions,False,direct,Adaptation
individual,,Cooperate with the state and universities to consider a system to learn and evaluate climate change effects to time adaptation measures appropriately.,"In order to prepare for the estimated effects and advance 'adaptation measures' appropriately at a suitable time, the city will cooperate with the state and universities and consider a system to learn and evaluate.",## 3)    Building of a system to learn and evaluate the effects of climate change,Institutional commitment to monitoring/evaluation system for adaptation timing; concrete governance action though details are limited.,Adaptation,False,direct,
individual,,"Set government operations (city office) GHG reduction targets of 5.1% by FY2020 and 30% by FY2030 compared to FY2013, with emission-type sub-targets for offices, waste, sewage, and water supply.","## 3. Reduction target

| Segment           | Base Year | Target Year | Reduction target   |
| Short-term target | FY2013    | FY2020      | ▲ 5.1%             |
| Mid-term target   | FY2013    | FY2030      | ▲ 30%              |

| Short-term target | Target by emission type | Emissions from offices concerning municipal administration | ▲ 9.1% |
| Short-term target | Target by emission type | Emissions from waste processing | ▲ 1.1% |
| Short-term target | Target by emission type | Emissions from sewage processing | ▲ 4.1% |
| Short-term target | Target by emission type | Emissions from water supply | ▲ 2.4% |",## 3. Reduction target,"Quantified, time-bound targets for municipal operations emissions (mitigation).",Mitigation,False,direct,
parent,,"Change administrative systems to reduce GHG emissions through green contracting, green purchasing, and energy-saving specifications for city-owned buildings.","In order to reduce greenhouse gas emissions, each staff member will continuously take actions. The city will also change the 'system' of administration as follows for achieving targets effectively and efficiently in the limited budget.
1. Introduction of contract system based on the eco-friendly contract laws(*)
2. 'Promotion of procuring of environmental goods based on 'Hiroshima City Green Purchase Policy'
3. Thorough application of 'Energy saving specification of city-owned buildings'",## 4. Policy direction,Umbrella administrative policy direction with enumerated sub-actions (clear parent-child structure).,Mitigation,False,direct,
sub,"Change administrative systems to reduce GHG emissions through green contracting, green purchasing, and energy-saving specifications for city-owned buildings.",Introduce a contract system based on eco-friendly contract laws (Green Contract) for municipal procurement.,"1. Introduction of contract system based on the eco-friendly contract laws(*)

* Contract system based on the eco-friendly contract laws, also called the Green Contract, is a contract system that evaluates the environmental functions on top of prices, while maintaining certain competitive prices, and choses contract partners from those who have the products and services with the best environmental functions.",## 4. Policy direction,Specific procurement mechanism; functions as an economic/procurement instrument affecting emissions.,Mitigation,True,direct,
sub,"Change administrative systems to reduce GHG emissions through green contracting, green purchasing, and energy-saving specifications for city-owned buildings.",Promote procurement of environmental goods based on the Hiroshima City Green Purchase Policy.,2. 'Promotion of procuring of environmental goods based on 'Hiroshima City Green Purchase Policy',## 4. Policy direction,Specific procurement policy commitment; supports lower-carbon purchasing though details are limited.,Mitigation,False,indirect,
sub,"Change administrative systems to reduce GHG emissions through green contracting, green purchasing, and energy-saving specifications for city-owned buildings.",Thoroughly apply the energy-saving specification of city-owned buildings.,3. Thorough application of 'Energy saving specification of city-owned buildings',## 4. Policy direction,Operational/standards commitment for municipal buildings; concrete efficiency mechanism.,Resource Efficiency,False,direct,
individual,,Count surplus power from waste power generation after self-consumption as greenhouse gas emissions reductions to promote eco-friendly energy use.,"In order to promote the use of eco-friendly energy, surplus power from waste power generation, etc., after self-consumption is counted as the reduction of greenhouse gas emissions.",## 4. Policy direction,Accounting/management rule that incentivizes renewable/low-carbon energy utilization within municipal operations.,Mitigation,False,direct,
individual,,"Introduce high energy-saving facilities and efficient resource/energy use in waste, sewage, and water supply operations as planned.","For the emission of greenhouse effect gases from processing waste, sewage and water supply, the planned introduction of the facilities with a high-energy saving effect and efficient use of resource/energy are conducted.",## 4. Policy direction,Operational commitment to efficiency upgrades across municipal utilities; somewhat general but indicates planned facility introductions.,Resource Efficiency,False,direct,
individual,,"Implement municipal measures including LED retrofits, carbon management, ESCO projects, next-generation vehicles, eco-driving, and solar/woody biomass introduction to reduce emissions from municipal administration offices.","| Emissions from offices concerning municipal administration | Emissions from offices concerning municipal administration | 18,700 |
| Promotion by each staff member | 1,350 |
| Power contract based on eco-friendly contract laws | 8,770 |
| Introduction of LED lighting (Basically 50% of straight tube type fluorescents with more than 15 years of use are to be changed) | 5,970 |
| Carbon management promotion project (facility renewal and operation improvement) | 1,050 |
| Facility renewal byESCO project | 380 |
| Introduction of the next generation vehicles (renewal of basically more than 50%ofpublic cars except special-purpose vehicles) | 410 |
| Thorough conduct of eco-drive | 240 |
| Introduction of solar power and woody biomass, etc. | 530 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,"List of specific municipal interventions with quantified scope details (e.g., LED replacement rule; >50% fleet renewal).",Mitigation,False,direct,Resource Efficiency
individual,,Reduce emissions from waste processing through waste reduction/recycling and improving efficiency of waste power generation.,"| Emissions from waste processing | Emissions from waste processing | 17,200 |
| Waste reduction and recycle, efficiency improvement of waste power generation | 17,200 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific operational measures for municipal waste processing tied to emissions reductions.,Resource Efficiency,False,direct,
individual,,Reduce emissions from sewage processing by improving facility efficiency and expanding sewage gas power generation.,"| Emissions from sewage processing | Emissions from sewage processing | 7,330 |
| Efficiency improvement of facilities, expansion of sewage gas power generation | 7,330 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific measures including renewable energy recovery (sewage gas power) and efficiency upgrades.,Mitigation,False,direct,Resource Efficiency
individual,,"Reduce emissions from water supply by improving facility efficiency (e.g., lighting and voltage transformation facilities).","| Emissions from water supply | Emissions from water supply | 180 |
| Efficiency improvement of facilities (lighting, voltage transformation facility, etc.) | 180 |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific efficiency upgrades in municipal water supply operations.,Resource Efficiency,False,direct,
individual,,Manage progress of city measures using the Hiroshima City Environment Management System and publish annual conduct status on the city website.,"In order to progress the city measures, progress is managed based on the 'Hiroshima City Environment Management System' that has been uniquely developed by the city.

The conduct status of each year will be published on the city website.","## 〇 Progress management, etc.",Concrete governance/implementation commitments (monitoring and public reporting) supporting climate plan delivery.,Mitigation,False,indirect,
individual,,"Establish a 'Low-carbon City Development Citizens Conference (tentative)' as a system for citizens, businesses, and administrators to take actions together.","By preparing this plan, 'Low-carbon City Development Citizens Conference (tentative)' representing citizens, business operators and administrators, etc., is established as a system to take actions together.",## 1. Plan promotion system and progress management,Institutional mechanism creation to implement the plan; concrete governance action.,Mitigation,False,indirect,
individual,,"Evaluate achievement status in FY2020 and revise measures directions and GHG reduction targets based on domestic/international and socio-economic changes, then change the plan or prepare the next plan.","In the short-term target year in this plan (FY2020), the achievement status of measures will be evaluated, and directions of measures and reduction target of greenhouse effect gases, etc. will be revised based on the domestic and international changes concerning global warming as well as social economic changes, and then the plan will be changed or the next plan will be prepared.",## 2. Revision of plan,Time-bound commitment to review and revise targets/measures (policy cycle).,Mitigation,False,indirect,
