iteration,location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category
1,Seattle_US,individual,,Multiple zoning incentives are available to catalyze development that is more efficient than code:,"The Living Building Pilot Program provides additional height and floor area for up to 20 projects that meet more extensive green building criteria, which includes achieving Living Building Petal Certification (with no on-site combustion of fossil-fuels), plus energy efficiency 25 percent better than code, and greywater and/or rainwater used for all non-potable water needs (e.g. toilet flushing, irrigation). Legislation is currently being proposed that would create a companion pilot program for redevelopment of up to 20 existing buildings.",Zoning Incentives,"Describes concrete zoning incentive mechanisms (additional height/floor area) and capped pilots (up to 20 projects/buildings) linked to energy and fossil-fuel criteria, qualifying as a policy tool (though presented as a set of incentives).",Resource Efficiency,yes,indirect,
1,Seattle_US,individual,,"In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline).","In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline). The Office of Sustainability & Environment manages the dedicated funding and works with individual capital departments to prioritize, develop and implement energy efficiency projects.",Municipal Buildings,"A formally adopted plan (Resolution) with a quantified target and dedicated funding management, qualifying as a concrete municipal resource-efficiency policy.",Resource Efficiency,yes,indirect,
1,Seattle_US,individual,,"Announce that the City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.","Announce that the City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities. Research suggests that the most effective strategy for reducing GHG emissions and generating the revenue needed to support transportation alternatives is to put a price on the use of city streets through congestion pricing or some other method of pricing transportation externalities.",Improving mobility through pricing,"A concrete commitment to develop and release a pricing strategy to reduce transportation emissions, with an explicit mechanism (congestion pricing/road pricing) and linked investments.",Mitigation,yes,direct,
1,Seattle_US,individual,,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.","Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure. The most cost-effective time to build charging stations and provide the electrical infrastructure for future charging stations is during initial site development.",Electric vehicle readiness ordinance for new construction,"Time-bound legislative commitment (2018) to pass an EV-readiness ordinance for parking structures, a concrete mitigation policy.",Mitigation,no,direct,
1,Seattle_US,individual,,Release map of optimal distribution of charging infrastructure in 2018.,"Release map of optimal distribution of charging infrastructure in 2018. While Seattle is one of the top US markets for electric vehicles, charging availability and convenience is a significant barrier to widespread adoption.",Charging station network map &amp; strategy,"A specific deliverable with a deadline (2018) to guide charging infrastructure distribution and investment, supporting EV adoption and emissions reductions.",Mitigation,no,direct,
1,Seattle_US,individual,,"The city will work with these stakeholders to create recommendations on how to electrify shared vehicle fleets, determine a year after which all such vehicles must be electric, and prepare for the City to begin permitting only electric vehicles for for-hire use.","As people of color make up a significant number of the operators of these vehicles, it is critical that we work in collaboration with transportation services companies, drivers, and environmental and social justice organizations to ensure that policies meant to accelerate the use of electric vehicles in new mobility are just across the economy. The city will work with these stakeholders to create recommendations on how to electrify shared vehicle fleets, determine a year after which all such vehicles must be electric, and prepare for the City to begin permitting only electric vehicles for for-hire use.",Ride share and taxi fleet electrification,"Commits to developing recommendations and preparing a permitting shift to only electric for-hire vehicles, implying a future regulatory mechanism for fleet electrification.",Mitigation,no,direct,
1,Seattle_US,individual,,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.","Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles. The City is a leader in fleet electrification with over 200 plug-in electric vehicles, hundreds of conventional hybrid vehicles, and the largest government-owned electric vehicle charging hub.",Green Fleet Action Plan update,"Time-bound commitment (end of 2018) to create an updated plan to electrify municipal vehicles and phase out fossil fuels, clearly a mitigation action.",Mitigation,no,direct,
1,Seattle_US,individual,,"Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments.","City policies, plans and major investments have wide reaching and long-term climate impacts. However, the City lacks a systematic way to assess the GHG emissions associated with major City actions, and to consider the cost of those emissions during the planning process.",Assess GHG Emissions Impact of City decisions,Specifies an executive action mechanism (Executive Order) to require GHG impact assessment for City actions; concrete governance policy directly tied to emissions.,Mitigation,no,direct,
1,Seattle_US,individual,,Adopt a tiered state residential energy code that can be adopted by cities.,"State legislation would be required directing the State Building Code Council, which Seattle is a member of, to develop the tiered code. Legislation to allow for tiered energy codes will be a priority for the City of Seattle in the 2019 legislative session.",Washington State tiered residential energy code,"States a concrete legislative priority (2019 session) to enable tiered residential energy codes, a specific policy initiative to strengthen efficiency standards.",Resource Efficiency,no,indirect,
1,Seattle_US,individual,,"Create pilot program offering additional height and floor area incentives for significant upgrades in energy and water use, and transportation efficiency.","A new pilot will offer additional height and floor area incentives for up to 20 major renovations in urban centers outside the International District. Projects would receive the incentives in exchange for cutting energy and water use well below code, including no use of fossil fuels for heating.","Establish new 2030 Challenge pilot for 20 upgraded, high performing projects by 2025","Commits to creating a pilot program with defined incentives, scale (up to 20 renovations), and explicit fossil-fuel heating elimination, qualifying as a concrete climate/efficiency policy.",Resource Efficiency,yes,direct,Mitigation
1,Seattle_US,individual,,"Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030.","Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030. Leading up to 2030, the city will work with building owners through incentives, technical assistance and other programs to help them become voluntary early adopters of the standards, and would then phase in performance requirements beginning in 2030.",Incentive-driven 2030 performance standards for commercial and multifamily buildings,"Sets out a program-and-standard approach with a clear timeline (minimum performance standard beginning in 2030), qualifying as a concrete building decarbonization/efficiency policy.",Resource Efficiency,yes,direct,Mitigation
1,Seattle_US,individual,,Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale.,"Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale. Incentive payments are made over time based on measured energy savings and allow participants to bundle multiple projects and measures, across capital, operational & maintenance, and behavioral improvements.",City Light Whole Building Pay for Performance (P4P) Programs,"A defined utility program commitment with pilot scale (up to 30 buildings) and explicit incentive payment structure, qualifying as a concrete policy/program.",Resource Efficiency,yes,indirect,
1,Seattle_US,individual,,"Double existing budget allocation for reducing energy in municipal buildings from 2012-2015, with a goal of reducing energy use by 40 percent.","Double existing budget allocation for reducing energy in municipal buildings from 2012-2015, with a goal of reducing energy use by 40 percent. Building on existing efforts to reduce energy use 20 percent by 2020, the City will double its budget allocation from 2021 to 2025, and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025.",Improve municipal building energy efficiency and reduce carbon emissions by 2025,"Contains both committed funding (doubling budget allocation) and quantified targets/timeline (40% energy and carbon emissions reduction by 2025), meeting policy criteria.",Resource Efficiency,yes,direct,Mitigation
1,Seattle_US,individual,,"OSE will propose recommendations to the mayor aimed at accelerating the transition of 18,000 homes from heating with oil to an electric heat pump, and adequately serving those unable to finance the switch alone.","OSE will propose recommendations to the mayor aimed at accelerating the transition of 18,000 homes from heating with oil to an electric heat pump, and adequately serving those unable to finance the switch alone. Recommendations will include a financing plan to support low-income residents, as well as a combination of public and private incentives to spur action.",Oil to heat pump conversion,"A quantified conversion goal (18,000 homes) plus a commitment to develop recommendations including financing and incentives, qualifying as a concrete mitigation policy initiative.",Mitigation,yes,direct,
1,Seattle_US,individual,,"The 2017 New Mobility Playbook sets out a course for how Seattle will ensure that future of transportation in Seattle aligns with our city's goals and values and will position Seattle to encourage and guide innovation in transportation technology, reorganizing our streets to grow healthy communities and vibrant public spaces.","As transportation becomes increasingly shared, active, self-driving, electric, and data-driven, Seattle is planning ahead to ensure the fast-paced changes in mobility help us create a safe, equitable, sustainable city serving our diverse needs. The 2017 New Mobility Playbook sets out a course for how Seattle will ensure that future of transportation in Seattle aligns with our city's goals and values and will position Seattle to encourage and guide innovation in transportation technology, reorganizing our streets to grow healthy communities and vibrant public spaces.",New Mobility Playbook,A named City planning instrument intended to guide transportation-system change toward sustainability; somewhat less specific than ordinances/targets but still a concrete policy plan referenced as setting the City's course.,Mitigation,no,indirect,
2,Seattle_US,individual,,Adopt a community climate protection goal to become carbon neutral by 2050 (Resolution 31312).,"## | Background In 2011, the Mayor and City Council adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312). The resulting 2013 Climate Action Plan (CAP) provided a coordinated strategy aimed at reducing GHG emissions while also supporting other community goals, including building vibrant neighborhoods, fostering economic prosperity, and enhancing racial and social justice. The 2013 CAP included a slate of near-term actions - many of which were completed by 2015 - and more broadly defined longer-term strategies to achieve carbon neutrality by 2050.",| Background,Quantified long-term mitigation goal adopted by Mayor and City Council via a named resolution.,Mitigation,no,direct,
2,Seattle_US,individual,,Adopt Resolution 31757 affirming commitment to Paris Agreement goals and directing OSE to identify actions consistent with limiting warming to 1.5°C.,"In response to the Trump administration's withdrawal of support for the international Paris Climate Agreement last year, the City Council adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the Office of Sustainability &amp; Environment (OSE) to identify the actions necessary to do our part to limit warming to 1.5 degrees Celsius. The resulting actions, developed under the leadership of Mayor Durkan, reflect a tipping point in the transition to Seattle's zero emissions future.",| Background,Named City Council resolution with a binding directive to OSE to identify actions aligned with Paris/1.5°C goals.,Mitigation,no,direct,
2,Seattle_US,individual,,Set a 2030 goal to reduce passenger transportation emissions by 82%.,"To achieve the 2030 goal of reducing passenger transportation emissions 82 percent, Seattle would have needed to reduce emissions from passenger vehicles an average of 7.5 percent each year from 2008 onwards. Building emissions declined an average of 2.3 percent per year since 2008, which is on track to meet the goal of reducing emissions 39 percent by 2030 (2.2 percent per year).",|Greenhouse Gas Emissions,Quantified sectoral emissions-reduction goal with deadline (2030).,Mitigation,no,direct,
2,Seattle_US,individual,,Set a 2030 goal to reduce building emissions by 39%.,"Building emissions declined an average of 2.3 percent per year since 2008, which is on track to meet the goal of reducing emissions 39 percent by 2030 (2.2 percent per year). However, between 2012 and 2014 the pace of building emissions reductions has slowed to an average of 2.1 percent, and an analysis of anticipated reductions based on a current business-as-usual approach shows emissions in 2050 only 12 percent below 2008 levels.",|Greenhouse Gas Emissions,Quantified sectoral emissions-reduction goal with deadline (2030).,Mitigation,no,direct,
2,Seattle_US,individual,,"Initiate a pilot (2017) to permit installation of publicly-available EV charging stations on non-residential streets in urban villages, urban centers, and commercial streets.","To meet that need, in 2017, a pilot program was initiated to permit the installation of publicly-available electric vehicle charging stations on non-residential streets in urban villages, urban centers, and commercial streets. To date, over 60 applications have been received from three applicants, including Seattle City Light, who installed the first station in February 2018.",Electric Vehicle Charging in the Right of Way,Specific implementable action (pilot permitting program) with a start year and defined siting scope.,Mitigation,no,direct,
2,Seattle_US,individual,,Seattle City Light is installing 20 public fast charging stations through the right-of-way charging pilot program.,"Through the right of way charging pilot program described above, City Light is installing 20 public fast charging stations to increase access, while also ensuring that charging is distributed more equitably around the city. The residential program will offer customers access to inhome charging at a manageable monthly cost and is expected to launch in the fall of 2018.",Seattle City Light Charging Program,Specific implementable deployment with quantified scale (20 fast chargers).,Mitigation,no,direct,
2,Seattle_US,individual,,Seattle City Light’s residential in-home charging program is expected to launch in fall 2018; pending legislation will determine if funding uses a lease or incentive model.,The residential program will offer customers access to inhome charging at a manageable monthly cost and is expected to launch in the fall of 2018. Pending legislation will determine if program funding will leverage a lease or incentive model.,Seattle City Light Charging Program,Program launch timeline plus explicit lease/incentive funding model (financial instrument).,Mitigation,yes,direct,
2,Seattle_US,individual,,Amend the Seattle Electrical Code (2017) to require new parking to have electrical capacity for one EV charging station per parking space and show conduit/equipment locations for future installation.,"## Electrical Code In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",Electrical Code,Binding code amendment with quantified requirement (1 EVSE capacity per parking space).,Mitigation,no,direct,
2,Seattle_US,individual,,"Reduce municipal fleet emissions by 50% by 2025 via electrification, cleaner fuels when electrification is not feasible, efficiency, and procurement standards (Green Fleet Action Plan).","The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement. The City's fleet includes over 200 electric vehicles and over 300 hybrid vehicles.",Municipal Fleet,Quantified municipal fleet emissions-reduction goal with deadline and described mechanisms.,Mitigation,no,direct,
2,Seattle_US,individual,,"Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (≥20,000 sq ft) to track energy performance and annually report to the City.","## Benchmarking Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",Benchmarking,Binding municipal code requirement with clear size threshold and annual reporting.,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,Update energy benchmarking policy (2016) to make reported data publicly available.,The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation. It is estimated that Seattle's benchmarked buildings represent about two-thirds of citywide commercial and industrial square footage.,Benchmarking,Concrete policy change (public disclosure) affecting energy transparency.,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,"Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings (≥50,000 sq ft) to identify O&M improvements to improve energy and water efficiency, with phased compliance beginning in early 2019.","## Tune Ups Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019.",Tune Ups,Binding ordinance with defined applicability threshold and compliance timeline.,Resource Efficiency,no,direct,
2,Seattle_US,individual,,City commits (Resolution 31652) to meet the Building Tune-Ups deadline one year earlier than required for private owners.,"Across the entire commercial building sector, the tune-up mandate is expected to reduce energy use 5-8 percent and GHG emissions by 6-9 percent. To demonstrate leadership, build capacity in the industry, and help reduce compliance costs, the city has committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.",Tune Ups,Formal City commitment via named resolution; accelerates municipal compliance.,Resource Efficiency,no,direct,
2,Seattle_US,individual,,"Implement Building Tune-Up Accelerator Program (Department of Energy grant-funded) providing incentives for early compliance for 50,000–100,000 sq ft buildings ahead of 2020–2021 deadlines.","## Tune-Up Accelerator With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance. The Accelerator is a voluntary program for owners of mid-size buildings, those 50,000-100,000 square feet, to conduct a tune-up that meets the Seattle Building Tune-Up requirements in advance of when their building is required to comply (2020 &amp; 2021).",Tune-Up Accelerator,Funded incentive program with defined eligible building sizes and compliance years.,Resource Efficiency,yes,direct,
2,Seattle_US,individual,,Oil Heated Home Conversion program provides incentives to replace oil heating systems with electric heat pumps and is converting 200 homes per year.,"By partnering with a heat pump distributor, who provides matching incentives, the program is converting 200 homes per year, while also influencing the home heating market so that electric heat pumps become a preferred heating system. Since its launch in July 2017, 135 homes have been converted with a GHG emissions savings of five MTCO2 per home.",Oil Heated Home Conversion,Incentive program with quantified annual conversion rate (200 homes/year).,Mitigation,yes,direct,
2,Seattle_US,individual,,2015 Seattle Energy Code criteria addressing emissions require either non-fossil fuel-based heating or more efficient windows.,"The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows. Seattle City Light provides an annual grant to Seattle Department of Construction and Inspections to help make possible the work to develop and implement Seattle's advanced code.",Energy Code,Code requirement explicitly tied to emissions and fossil heating.,Mitigation,no,direct,
2,Seattle_US,individual,,Seattle City Light provides an annual grant to Seattle Department of Construction and Inspections to help develop and implement Seattle's advanced energy code.,"The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows. Seattle City Light provides an annual grant to Seattle Department of Construction and Inspections to help make possible the work to develop and implement Seattle's advanced code.",Energy Code,Explicit ongoing funding support (annual grant) for advanced energy code development/implementation.,Resource Efficiency,yes,indirect,
2,Seattle_US,individual,,Director's Rule 20-2017 allows zoning incentives (additional height/floor area/density) for projects meeting Green Building Standard including 15% better-than-code energy efficiency.,"## Zoning Incentives Multiple zoning incentives are available to catalyze development that is more efficient than code: - Currently, developers can access additional height, floor area, or density In certain zones by meeting the City's Green Building Standard. Director's Rule 20-2017 identifies the requirements, which include <!-- image --> - adhering to one of the building industry's green building certification programs and demonstrating that the project is 15 percent more energy efficient than code.",Zoning Incentives,Regulatory incentive program with named rule and quantified efficiency requirement.,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,Living Building Pilot Program provides additional height and floor area for up to 20 projects meeting criteria including no on-site fossil-fuel combustion and 25% better-than-code energy efficiency.,"- The Living Building Pilot Program provides additional height and floor area for up to 20 projects that meet more extensive green building criteria, which includes achieving Living Building Petal Certification (with no on-site combustion of fossil-fuels), plus energy efficiency 25 percent better than code, and greywater and/or rainwater used for all non-potable water needs (e.g. toilet flushing, irrigation). - Legislation is currently being proposed that would create a companion pilot program for redevelopment of up to 20 existing buildings.",Zoning Incentives,Quantified cap (up to 20 projects) with explicit fossil-fuel restriction plus energy efficiency requirement.,Mitigation,no,direct,Resource Efficiency
2,Seattle_US,individual,,Sustainable Building Policy for City-owned buildings requires LEED Gold for new construction/major renovations and expects projects to be 15% more energy efficient than current code.,"## Municipal Buildings In 2011, the City updated its Sustainable Building Policy for City-owned buildings covering new construction and major renovations. In addition to the requirement to achieve LEED Gold certification, projects are expected to be 15 percent more energy efficient than the current code.",Municipal Buildings,Municipal requirement with explicit energy performance expectation.,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,Resource Conservation Management Plan (Resolution 31491) sets goal to achieve a 20% reduction in energy use across City-owned buildings by 2020 (2008 baseline).,"In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline). The Office of Sustainability &amp; Environment manages the dedicated funding and works with individual capital departments to prioritize, develop and implement energy efficiency projects.",Municipal Buildings,"Adopted resolution with quantified target, baseline, and deadline.",Resource Efficiency,no,direct,
2,Seattle_US,individual,,Pass a new electric vehicle readiness ordinance in 2018 to ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.,"## Electric vehicle readiness ordinance for new construction Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure. The most cost-effective time to build charging stations and provide the electrical infrastructure for future charging stations is during initial site development.",Electric vehicle readiness ordinance for new construction,Explicit commitment to pass an ordinance in a specified year with a defined regulatory scope.,Mitigation,no,direct,
2,Seattle_US,individual,,Make legislation to allow tiered energy codes a City priority for the 2019 legislative session.,Higher tiers could also be used as the base State code in the following code cycle. Legislation to allow for tiered energy codes will be a priority for the City of Seattle in the 2019 legislative session.,Washington State tiered residential energy code,Concrete commitment to pursue a specific legislative change on a defined timeline (2019 legislative session).,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,"Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments, and define the assessment system by October 2018.","## Assess GHG Emissions Impact of City decisions Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments. City policies, plans and major investments have wide reaching and long-term climate impacts. However, the City lacks a systematic way to assess the GHG emissions associated with major City actions, and to consider the cost of those emissions during the planning process.",Assess GHG Emissions Impact of City decisions,Binding mechanism (Executive Order) plus implementation step; the section also specifies a concrete deadline (by October 2018).,Mitigation,no,direct,
2,Seattle_US,individual,,"Offer additional height and floor area incentives for up to 20 major renovations in exchange for cutting energy and water use well below code, including no use of fossil fuels for heating.","A new pilot will offer additional height and floor area incentives for up to 20 major renovations in urban centers outside the International District. Projects would receive the incentives in exchange for cutting energy and water use well below code, including no use of fossil fuels for heating.","Establish new 2030 Challenge pilot for 20 upgraded, high performing projects by 2025",Specific pilot with quantified cap (up to 20 renovations) and explicit no-fossil-fuel-for-heating condition.,Mitigation,no,direct,Resource Efficiency
2,Seattle_US,individual,,"Provide programs and incentives for improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030.","Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030. Energy use in existing commercial and large multifamily buildings represents approximately 55 percent of the city's building emissions, making a reduction in energy use and emissions in these buildings is critical to meeting our climate goals.",Incentive-driven 2030 performance standards for commercial and multifamily buildings,Contains a dated minimum performance standard (beginning 2030) and explicitly commits to incentives/programs (financial instrument).,Resource Efficiency,yes,direct,Mitigation
2,Seattle_US,individual,,Scale Pay for Performance efforts and pilot Energy Efficiency as a Service in up to 30 buildings.,"Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale. To address the 'hard to reach' energy savings, Seattle City Light is developing programs specifically aimed at enabling greater levels of energy efficiency depth in buildings.",City Light Whole Building Pay for Performance (P4P) Programs,Quantified pilot scope (up to 30 buildings) and an incentive-based utility program mechanism.,Resource Efficiency,yes,direct,
