role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale
individual,,"Achieve business KPI targets for environmental management systems (Eco Action 21/ISO14001), office LED lighting, and BEMS adoption by FY2020 and FY2030.","| NameofIndex                                                             | Current Status   | Short-term (FY2020)   | Mid-term (FY2030)   |
|-------------------------------------------------------------------------|------------------|-----------------------|---------------------|
| No. of introductions of Eco Action 21 and ISO14001 (total)              | 370 (FY2015)     | 500                   | 1,000               |
| Rate of offices that use LED lights for lighting                        | 52.5% (FY2016)   | 88.1%                 | Almost100%          |
| Rate of offices that introduce Business Energy Management System (BEMS) | 2.8% (FY2016)    | 13%                   | 47%                 |",## ◇ Key Performance Indicator (KPI),"These are quantified targets with deadlines, indicating planned adoption of efficiency/management measures."
individual,,"Promote eco-driving and public transport use, and promote local food production for local consumption to reduce food miles.","Promote the eco-driving and use of public transport, etc., as well as local food production for local consumption for food miles reduction, etc.",## ◆ Transport,This is a specific set of behavioral and modal-shift interventions intended to reduce transport-related emissions.
individual,,Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,## ◆ Transport,This is a specific technology transition measure in the transport sector.
individual,,"Make transport smart and low-carbon by enhancing public transport, preparing bicycle/pedestrian networks, and improving roads to alleviate traffic congestion.","Make  transport smart and  low-carbon by enhancing  public transport as well as by preparing the bicycle/pedestrian network as well as promoting road improvement for alleviating traffic congestion, etc.",## ◆ Transport,This is a concrete infrastructure and planning commitment to reduce transport emissions.
individual,,"Achieve transport KPI targets for next generation vehicle ownership share (19% by FY2020; 38% by FY2030) and increase public transport users to 598,000 people/day by FY2020.","| NameofIndex                                   | Current Status              | Short-term (FY2020)   | Mid-term (FY2030)   |
|-----------------------------------------------|-----------------------------|-----------------------|---------------------|
| Rate of No. of owned next generation vehicles | 14.2% (FY2015)              | 19%                   | 38%                 |
| No. of public transport users in the city     | 567,000people /day (FY2014) | 598,000people /day    | -                   |",## ◇ Key Performance Indicator (KPI),"These are quantified targets with timeframes, indicating planned outcomes for transport decarbonization."
individual,,Promote educational activities so citizens and businesses take initiative in waste reduction and recycling.,Promote educational activities to make citizens and business operators take initiatives in waste reduction and recycling.,## ◆ Waste,This is a specific intervention (education/outreach) aimed at reducing waste-related emissions.
individual,,Increase efficiency of waste power generation and increase recycling of construction by-products at construction sites.,"Increase the efficiency of waste power generation and the recycling rate of construction by-product produced

- 2) Promotion of large-scale introduction of innovative technology (Change of Action) at construction sites.",## ◆ Waste,This is a concrete operational/technology measure targeting emissions from waste processing and construction waste.
individual,,Promote a resource-circulating system by shifting from petroleum-derived plastics to biomass plastics made from carbon-free plants.,"Construct the circulating system of resources and for a sustainable circulating society by promoting the shift from using petroleum-derived plastic that emits a large amount of greenhouse effect gases at burning to using

- 3) Promotion of development of low-carbon city (Change of Social System) biomass plastic whose raw materials are carbon-free plants, etc.",## ◆ Waste,This is a specific material substitution policy (petroleum plastics to biomass plastics) framed as reducing GHGs.
individual,,"Reduce waste generation and incineration via KPI targets (waste per person per day to 826 g by FY2020; incineration to 295,000 tons/year by FY2020).","| NameofIndex                     | Current Status            | Short-term (FY2020)   | Mid-term (FY2030)   |
|---------------------------------|---------------------------|-----------------------|---------------------|
| Waste amount per day per person | 859 g/person/day (FY2013) | 826 g/ person/day     | -                   |
| Incineration amount of waste    | 304,000 ton/year (FY2013) | 295,000 ton/year      | -                   |",## ◇ Key Performance Indicator (KPI),"These are quantified waste-reduction targets with a deadline, supporting emissions reduction from waste."
individual,,"Promote tree planting on private lands, citizen forest creation, conservation/tree planting on green lands, and creation/preservation of healthy forests.","- 1) Promotion of development of environmentally-friendly people and offices (Change of Values) Education and promotion of tree planting on private lands and creation of forests by citizens
- 3) Promotion of development of low-carbon city (Change of Social System) Conservation and tree planting on green lands, creating and preserving healthy forests",## ◆ Source of forest absorption /planting trees,"This is a set of concrete nature-based interventions (tree planting, forest conservation) that increase carbon sinks."
individual,,"Promote heat-island countermeasures by increasing greenery on roofs and building sides and utilizing networks of water and greenery (forests, rivers, coasts).","- 4) Countermeasures against heat-island phenomenon Promote to increase greenery on the top and sides of buildings in the city, utilizing the network of rich water and greenery from our forests, green land, rivers, coasts, etc., which are the city's characteristics, under the three pillars of measure directions.",## ◆ Source of forest absorption /planting trees,This is a specific adaptation-oriented urban greening measure (heat-island countermeasures) using ecosystem-based infrastructure.
individual,,Expand woody biomass use by introducing biomass boilers in city facilities (KPI: 3 by FY2020; 9 by FY2030).,"| NameofIndex                                                                 | Current Status    | Short-term (FY2020)   | Mid-term (FY2030)   |
|-----------------------------------------------------------------------------|-------------------|-----------------------|---------------------|
| No. of introduced biomass boilers in the city facilities (cumulative total) | 1 (FY2016)        | 3                     | 9                   |",## ◇ Key Performance Indicator (KPI),This is a quantified technology deployment target (biomass boilers) with deadlines.
individual,,"Increase area of parks and green spaces to 1,000 ha by FY2020.","| NameofIndex                   | Current Status    | Short-term (FY2020)   | Mid-term (FY2030)   |
|-------------------------------|-------------------|-----------------------|---------------------|
| Area of park and green spaces | 975.71ha (FY2015) | 1,000ha               | -                   |",## ◇ Key Performance Indicator (KPI),"This is a quantified land/greenspace expansion target with a deadline, supporting nature-based climate measures."
individual,,"Conduct a citywide campaign aligned with 'COOL CHOICE' (tentatively 'Breaking Free from Global Warming! All citizens Campaign') to reduce GHG emissions through energy saving and environmentally-friendly actions, and educate on smart communities.","In response to the statewide movement 'COOL CHOICE', citizens, business operators and administrations, etc., cooperate  under  the  same  target;  conduct  'Breaking  Free  from  Global  Warming!  All  citizens  Campaign (tentative)' that aims to reduce greenhouse gas emissions by saving energy, etc., foster the values, and act in an environmentally-friendly way.

Further, educate people and promote the meaning and necessity of, not only global warming countermeasures, but  also  the  smart  community  that  is  a  beneficial  system  for  regional  development  as  well  as  economic development.",## ◆ Cross-sectional measures,This is a named campaign intervention explicitly aiming to reduce GHG emissions and promote smart-community understanding.
individual,,Promote and expand dispersed power systems usable as emergency power sources and build the foundation of smart communities.,"Promote  and  expand  the  use  of  the  dispersed  power  system  whose  energy  can  be  effectively  used  in  a community as well as an emergency power source at the time of disaster, and build the foundation of a smart community.",## ◆ Cross-sectional measures,This is a concrete infrastructure/energy-system measure with explicit resilience co-function (emergency power).
individual,,"Promote construction of a sustainable low-carbon city by promoting smart communities, supporting innovation with new energies (e.g., hydrogen), and promoting eco-friendly city creation.","Promote  the  construction  of  a  sustainable  low-carbon  city  by  promoting  smart  community,  supporting innovation with new energies, e.g., hydrogen, etc., and promoting the building of a city with little effect on the environment.",## ◆ Cross-sectional measures,"This is a concrete policy direction naming specific interventions (smart community, hydrogen/new energies)."
individual,,Introduce dispersed power in city facilities (KPI: 1 by FY2020; 8 by FY2030) and increase smart communities (KPI: 3 by FY2020; 10 by FY2030).,"| NameofIndex                                                                   | Current Status   |   Short-term (FY2020) |   Mid-term (FY2030) |
|-------------------------------------------------------------------------------|------------------|-----------------------|---------------------|
| Introduction no. of dispersed power in the city facilities (cumulative total) | 0 (FY2016)       |                     1 |                   8 |
| Introduction no. of smart communities (cumulative total)                      | 1 (FY2016)       |                     3 |                  10 |",## ◇ Key Performance Indicator (KPI),These are quantified deployment targets with deadlines for distributed energy and smart-community initiatives.
individual,,"Share Hiroshima City's achievements with neighboring towns and consider a system to promote eco-friendly energy introduction, including next generation energy such as woody biomass, small hydroelectric generation, and hydrogen.","We will share Hiroshima City's achievements with neighboring towns and consider a system to promote the introduction of eco-friendly energy. For example, we utilize the resources in the greater Hiroshima city area effectively, considering not only the circulation of energy in the area, but also the circulation of 'people, objects and money' so that it would have an effect on the whole city area cooperating with municipalities in the area, and plan measures to promote the introduction of the next generation energy such as woody biomass, small

hydroelectric generation and hydrogen, etc.",## ◆ Promotion of low-carbon city network,This is a concrete inter-municipal cooperation commitment to promote specific clean energy technologies.
individual,,"Cooperate with domestic and international cities through networks (ICLEI, Compact of Mayors) to share achievements, build cooperation systems, and create a low-carbon city from a global viewpoint.","Hiroshima City is an executive board member city of the Japan Bureau of 'ICLEI', an international network in which more than 1,500 municipalities participate, as well as a member city of 'Compact of Mayors' participated by more than 7,100 municipalities (as of January 2017); the city aims to achieve 'Compact of Mayors' for the first time in Japan, share our achievements and leading measures by other cities, build the system to cooperate with domestic and international cities for creating synergy, and create a low-carbon city from a global viewpoint.",## ◆ Promotion of low-carbon city network,This is an institutional cooperation commitment to implement and diffuse mitigation actions via city networks.
individual,,"Create an environment for accurate understanding of climate change impacts through publicity/education, school sub-readings, and delivery lectures.","Promote the creation of an environment for more accurate understanding of climate change and its effect.

## ◇ Main measures

- -New Publicity and  education  using  the  city's  PR  magazine  'Hiroshima  Citizens  and  Municipal Government' and the city website,
- -New Preparation of sub-readings available for school education,
- -New Delivery lecture by the city and Hiroshima City Global Warming Countermeasure Regional Council, etc.",## 1) Creating an environment to promote understanding of climate change and its effect,"This is a defined adaptation measure with specific instruments (publicity, curriculum materials, lectures)."
individual,,"Advance resilience measures against short-time heavy rain increases, including city renovation for disaster prevention, disaster information sharing systems, and enhanced disaster information delivery.","【 Measures against increase of heavy rain in short time 】

- -City renovation for disaster prevention, construction of disaster information sharing system, enhancement of disaster information delivery system",## 2)    Building resilience against climate change,This is a concrete adaptation commitment addressing a named hazard (heavy rain) with specific infrastructure and information-system actions.
individual,,Implement health adaptation measures for temperature rise impacts by publicizing heat disorder risks and providing heat disorder prevention information.,"【 Measures against the effect of climate change on health due to the temperature rises, etc. 】

- -Publicity on heat disorder, information provision of heat disorder prevention",## 2)    Building resilience against climate change,This is a concrete adaptation measure addressing heat-related health impacts with specific outreach actions.
individual,,Implement heat/heat-island countermeasures by creating water and green networks via conservation/creation of public open spaces (rivers/roads for wind paths) and promoting rooftop/wall greening (including via the green promotion system).,"【 Countermeasures against heat (heat island phenomenon, etc.) 】

- -Creation of water and green network by the conservation and creation of public open space such as rivers and roads through which the wind passes; promotion of greenery increase on roof and walls of buildings (including those by the green promotion system).",## 2)    Building resilience against climate change,This is a specific adaptation intervention for heat hazards using nature-based and urban-design measures.
individual,,Cooperate with the state and universities to consider a system to learn and evaluate climate change effects to time adaptation measures appropriately.,"In order to prepare for the estimated effects and advance 'adaptation measures' appropriately at a suitable time, the city will cooperate with the state and universities and consider a system to learn and evaluate.",## 3)    Building of a system to learn and evaluate the effects of climate change,This is an institutional commitment to establish an evaluation/learning system supporting adaptation decision-making (though details are somewhat open-ended).
individual,,"Set government-operations (city office) GHG reduction targets: 5.1% by FY2020 and 30% by FY2030 compared to FY2013, including emission-type targets (e.g., 9.1% for municipal administration offices).","| Segment           |                         | Target Year                                                | Reduction target                                           | Reduction target   |
|-------------------|-------------------------|------------------------------------------------------------|------------------------------------------------------------|--------------------|
| Segment           | Base Year               |                                                            | City area                                                  | City office        |
| Short-term target | FY2013                  | FY2020                                                     | ▲ 5%                                                       | ▲ 5.1%             |
| Mid-term target   | FY2013                  | FY2030                                                     | ▲ 30%                                                      | ▲ 30%              |",## 3. Reduction target,"This is a quantified, time-bound emissions reduction commitment for municipal operations."
individual,,"Change administrative systems to reduce GHGs via (1) eco-friendly (green) contract system, (2) green procurement under Hiroshima City Green Purchase Policy, and (3) thorough application of energy-saving specifications for city-owned buildings.","In order to reduce greenhouse gas emissions, each staff member will continuously take actions. The city will also change the 'system' of administration as follows for achieving targets effectively and efficiently in the limited budget.
1. Introduction of contract system based on the eco-friendly contract laws(*)
2. 'Promotion of procuring of environmental goods based on 'Hiroshima City Green Purchase Policy'
3. Thorough application of 'Energy saving specification of city-owned buildings'",## 4. Policy direction,"This is a concrete set of administrative/procurement policy mechanisms (contracting, procurement, building specs) to drive emissions reductions."
individual,,Count surplus power from waste power generation (after self-consumption) as GHG emissions reductions to promote eco-friendly energy use.,"In  order  to  promote  the  use  of  eco-friendly  energy,  surplus  power  from  waste  power  generation,  etc.,  after self-consumption is counted as the reduction of greenhouse gas emissions.",## 4. Policy direction,This is a defined accounting/implementation rule tied to promoting low-carbon energy use in municipal operations.
individual,,"Implement planned introduction of high energy-saving facilities and efficient resource/energy use for waste, sewage, and water supply operations.","For  the  emission  of  greenhouse  effect  gases  from  processing  waste,  sewage  and  water  supply,  the  planned introduction of the facilities with a high-energy saving effect and efficient use of resource/energy are conducted.",## 4. Policy direction,This is a concrete operational commitment to deploy efficient facilities in key municipal utility services.
individual,,"Implement municipal measures by emission source including eco-friendly power contracts, LED retrofits, ESCO projects, next generation vehicles and eco-driving, solar/woody biomass introduction, waste reduction and waste-to-energy efficiency, sewage facility efficiency and sewage gas power generation, and water-supply facility efficiency improvements.","| Main measures by emission source                           | Main measures by emission source                                                                                                 | Estimated reduction   |
|------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------|-----------------------|
| Emissions from offices concerning municipal administration | Power contract based on eco-friendly contract laws                                                                               | 8,770                 |
|                                                            | Introduction of LED lighting (Basically 50% of straight tube type fluorescents with more than 15 years of use are to be changed) | 5,970                 |
|                                                            | Facility renewal byESCO project                                                                                                  | 380                   |
|                                                            | Introduction of the next generation vehicles (renewal of basically more than 50%ofpublic cars except special-purpose vehicles)   | 410                   |
|                                                            | Introduction of solar power and woody biomass, etc.                                                                              | 530                   |",## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions,"This is a concrete package of municipal operational measures with specified actions and estimated reductions (resource allocation not explicit, but interventions are specific and implementation-oriented)."
individual,,Promote adaptation measures across city organizations and encourage voluntary adaptation actions by citizens and businesses to advance Chapter 6 measures.,Adaptation measures by the city promote the measures by all the city organizations as well as promoting voluntary actions by citizens and business operators in order to firmly advance the measures stated in Chapter 6 'Adaptation to the effect of climate change due to global warming (Adaptation Measures).',"## 〇 Adapting to the effects of climate change (adaptation)

## 1. Purpose","This is an implementation commitment for adaptation governance across municipal departments and stakeholders, though it is broad."
individual,,"Establish a 'Low-carbon City Development Citizens Conference (tentative)' as a system for citizens, businesses, and administrators to take actions together to advance the plan.","For advancing this plan, each agent including citizens, business operators and administrators (the city) becomes conscious of its role, cooperates with others and takes actions together.

By  preparing  this  plan,  'Low-carbon  City  Development  Citizens  Conference  (tentative)'  representing  citizens, business operators and administrators, etc., is established as a system to take actions together.",## 1. Plan promotion system and progress management,This is a concrete governance/implementation mechanism (establishing a conference body) to deliver climate actions.
individual,,"Evaluate achievement status in FY2020 and revise directions and GHG reduction targets based on domestic/international changes and socio-economic changes, then change the plan or prepare the next plan.","In the short-term target year in this plan (FY2020), the achievement status of measures will be evaluated, and directions of  measures  and  reduction  target  of  greenhouse  effect  gases,  etc.  will  be  revised  based  on  the  domestic  and international changes concerning global warming as well as social economic changes, and then the plan will be changed or the next plan will be prepared.",## 2. Revision of plan,"This is a time-bound commitment to review and revise the plan and targets (a governance policy), anchored to FY2020."
