iteration,location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category
2,Seattle_US,individual,,"The Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 sq ft or larger to identify low/no-cost O&M improvements to improve energy and water efficiency, with phased compliance beginning in early 2019.","the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019.",The overall approach to reducing GHG emissions has been to increase building efficiency and promote clean fuels through a coordinated strategy of:,Binding ordinance requiring tune-ups with stated compliance timeline.,Resource Efficiency,no,indirect,Mitigation
2,Seattle_US,individual,,The City committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.,the city has committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.,The overall approach to reducing GHG emissions has been to increase building efficiency and promote clean fuels through a coordinated strategy of:,Explicit commitment to accelerated compliance for City buildings.,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,"With DOE grant funding, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance.","With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance.",The overall approach to reducing GHG emissions has been to increase building efficiency and promote clean fuels through a coordinated strategy of:,Implementation of an incentive program with explicit grant funding.,Resource Efficiency,yes,indirect,
2,Seattle_US,individual,,Seattle City Light offers energy efficiency programs that contribute to the City's carbon reduction goals and defer new generating capacity.,"Seattle City Light offers a diverse set of energy efficiency programs to address residential, commercial, and industrial facilities. These programs contribute to the City's carbon reduction goals and preserve and extend the benefits of Seattle City Light's carbon-neutral hydro system by deferring the need for new generating capacity.",The overall approach to reducing GHG emissions has been to increase building efficiency and promote clean fuels through a coordinated strategy of:,Describes active utility efficiency programs contributing to carbon reduction goals.,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,"The Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating systems with electric heat pumps, converting 200 homes per year.","The Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating systems with clean, efficient, electric heat pumps. By partnering with a heat pump distributor, who provides matching incentives, the program is converting 200 homes per year.",The overall approach to reducing GHG emissions has been to increase building efficiency and promote clean fuels through a coordinated strategy of:,Incentive program with quantified annual conversion rate.,Mitigation,yes,direct,
2,Seattle_US,individual,,Seattle's commercial energy code includes emissions-related criteria by requiring either non-fossil fuel-based heating or more efficient windows.,"The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows.",The overall approach to reducing GHG emissions has been to increase building efficiency and promote clean fuels through a coordinated strategy of:,Code requirement explicitly addressing emissions via heating fuel choice or efficiency.,Mitigation,no,indirect,Resource Efficiency
2,Seattle_US,individual,,Seattle Department of Construction and Inspections provides expedited permitting (Priority Green) for projects meeting green building certification and minimum energy efficiency and water conservation criteria.,"Seattle Department of Construction and Inspections provides expedited permitting for projects achieving green building certification and meeting minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.",The overall approach to reducing GHG emissions has been to increase building efficiency and promote clean fuels through a coordinated strategy of:,Permitting program tied to energy and water efficiency criteria.,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,"Developers can access additional height, floor area, or density in certain zones by meeting the City's Green Building Standard under Director's Rule 20-2017, including demonstrating 15% better energy efficiency than code.","Currently, developers can access additional height, floor area, or density In certain zones by meeting the City's Green Building Standard. Director's Rule 20-2017 identifies the requirements, which include

- adhering to one of the building industry's green building certification programs and demonstrating that the project is 15 percent more energy efficient than code.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Zoning incentive tied to explicit energy-efficiency threshold.,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,The Living Building Pilot Program provides additional height and floor area for up to 20 projects meeting criteria including no on-site combustion of fossil fuels and 25% better energy efficiency than code.,"The Living Building Pilot Program provides additional height and floor area for up to 20 projects that meet more extensive green building criteria, which includes achieving Living Building Petal Certification (with no on-site combustion of fossil-fuels), plus energy efficiency 25 percent better than code, and greywater and/or rainwater used for all non-potable water needs (e.g. toilet flushing, irrigation).",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Pilot incentive program with fossil-fuel combustion restriction and efficiency requirement.,Mitigation,no,indirect,Resource Efficiency
2,Seattle_US,individual,,Legislation is being proposed to create a companion pilot for redevelopment of up to 20 existing buildings with added height/floor area incentives if standards include 25% better energy efficiency than code and no fossil fuel for space or water heating.,"Legislation is currently being proposed that would create a companion pilot program for redevelopment of up to 20 existing buildings. Projects would receive additional height and floor area if they meet standards consistent with the goals of the Seattle 2030 District, including 25 percent more energy efficient than code, no fossil-fuel for space or water heating.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Proposed pilot legislation with quantified cap and explicit fossil-fuel restrictions.,Mitigation,no,indirect,Resource Efficiency
2,Seattle_US,individual,,The City updated its Sustainable Building Policy for City-owned buildings to require LEED Gold certification and expects projects to be 15% more energy efficient than current code.,"In addition to the requirement to achieve LEED Gold certification, projects are expected to be 15 percent more energy efficient than the current code.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Municipal building policy with LEED Gold requirement and efficiency expectation.,Resource Efficiency,no,indirect,
2,Seattle_US,individual,,The City adopted a Resource Conservation Management Plan (Resolution 31491) with a goal to achieve a 20% reduction in energy use across City-owned buildings by 2020 (2008 baseline) and manages dedicated funding to implement projects.,"In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline). The Office of Sustainability & Environment manages the dedicated funding and works with individual capital departments to prioritize, develop and implement energy efficiency projects.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Quantified municipal energy reduction target with dedicated funding.,Resource Efficiency,yes,indirect,
2,Seattle_US,individual,,"The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50% by 2025 through electrification, cleaner fuels, efficiency, and procurement standards.","The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement.","Smart growth is the foundation of effective transportation policy, and Seattle's nationally recognized urban village strategy, adopted in 1994, provides the essential foundation for Seattle's climate-friendly transportation policies. The passage of the 2015 Levy to Move Seattle and the 2016 regional Sound Transit 3 levy, are accelerating and expanding investments in transit, bicycling, and pedestrian infrastructure and service. And, King County has committed to an all-electric bus fleet by 2040. The overall approach to reducing GHG emissions from transportation is to leverage changes in technology and our increasingly dense city to fundamentally change how people get around. The future of transportation is smart, shared, electric, and ultimately autonomous, and our policies are driving these changes in Seattle in ways that align with our goals to improve connectivity, health, and safety.  We are implementing a coordinated strategy of:",Quantified municipal fleet emissions reduction goal with stated measures.,Mitigation,no,direct,
3,Seattle_US,individual,,Adopt a climate protection goal for the community to become carbon neutral by 2050 and direct the creation of a plan to meet the goal (Resolution 31312).,"In 2011, the Mayor and City Council adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312).",Background,Formal action by Mayor and City Council via Resolution 31312 that sets a quantified target with a deadline (carbon neutral by 2050) and includes a directive to create an implementing plan.,Mitigation,no,direct,
3,Seattle_US,individual,,Direct the Office of Sustainability & Environment (OSE) to identify actions necessary to limit warming to 1.5°C as part of upholding Paris Agreement goals (Resolution 31757).,"the City Council adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the Office of Sustainability &amp; Environment (OSE) to identify the actions necessary to do our part to limit warming to 1.5 degrees Celsius.",Background,"Formal directive in an adopted resolution; however, it is partly process-oriented (identify actions). Included because it is an official direction tied to Paris/1.5°C and leads to the strategy’s action agenda.",Mitigation,no,direct,
3,Seattle_US,individual,,Install 20 public fast charging stations through the right-of-way charging pilot program to increase access to EV charging.,"Through the right of way charging pilot program described above, City Light is installing 20 public fast charging stations to increase access, while also ensuring that charging is distributed more equitably around the city.",Seattle City Light Charging Program,Specific implementation action with a quantified deployment (20 stations).,Mitigation,no,direct,
3,Seattle_US,individual,,Amend the Seattle Electrical Code to require EV-ready electrical capacity and documentation for new parking so each parking space can be served by an EV charging station in the future.,"In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",Electrical Code,Binding code amendment with explicit technical requirements for new parking.,Mitigation,no,direct,
3,Seattle_US,individual,,"Reduce municipal fleet emissions by 50 percent by 2025 through fleet electrification, cleaner fuels where electrification is not feasible, efficiency in vehicle use, and procurement standards.","The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement.",Municipal Fleet,Quantified municipal target with a deadline and specified measures.,Mitigation,no,direct,Resource Efficiency
3,Seattle_US,individual,,"Require owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City under Seattle's Energy Benchmarking Program (SMC 22.920), and make reported data publicly available (2016 update).","Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",Benchmarking,Municipal code requirement with ongoing annual reporting and disclosure update.,Resource Efficiency,no,direct,Mitigation
3,Seattle_US,individual,,"Require commercial buildings 50,000 square feet or larger to identify operational and maintenance improvements to improve energy and water efficiency under the Building Tune-Ups Ordinance (SMC 22.930), with phased compliance deadlines beginning in early 2019 and use of a Qualified Tune-Ups Specialist to assess, report, and monitor implementation.","Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019.  A Qualified Tune-Ups Specialist is required to complete the assessment, report to the City, and monitor implementation of operational and maintenance improvements.",Tune Ups,Adopted ordinance with mandatory requirements and explicit compliance timeline.,Resource Efficiency,no,direct,Mitigation
3,Seattle_US,individual,,Meet the Building Tune-Ups deadline one year earlier than required for private owners (Resolution 31652).,the city has committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.,Tune Ups,City commitment tied to a formal resolution accelerating compliance for municipal leadership.,Resource Efficiency,no,direct,Mitigation
3,Seattle_US,individual,,"Implement the Building Tune-Up Accelerator Program, funded by a U.S. Department of Energy grant, providing incentives for early compliance with the Tune-Ups Ordinance.","With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance.",Tune-Up Accelerator,Funded program implementation with incentives (financial instrument) tied to an enforceable ordinance.,Resource Efficiency,yes,direct,Mitigation
3,Seattle_US,individual,,"Provide incentives for homeowners to replace oil heating systems with electric heat pumps through the Oil Heated Home Conversion program, converting 200 homes per year.","The Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating systems with clean, efficient, electric heat pumps. By partnering with a heat pump distributor, who provides matching incentives, the program is converting 200 homes per year",Oil Heated Home Conversion,Concrete incentive program with an explicit scale (200 homes/year).,Mitigation,yes,direct,Resource Efficiency
3,Seattle_US,individual,,Require either non-fossil fuel-based heating or more efficient windows under the 2015 Seattle Energy Code criteria addressing emissions.,"The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows.",Energy Code,Explicit code requirement affecting building energy systems/envelope to reduce emissions.,Mitigation,no,direct,Resource Efficiency
3,Seattle_US,individual,,Provide an annual grant from Seattle City Light to the Seattle Department of Construction and Inspections to support developing and implementing Seattle's advanced energy code.,Seattle City Light provides an annual grant to Seattle Department of Construction and Inspections to help make possible the work to develop and implement Seattle's advanced code.,Energy Code,Ongoing dedicated funding (annual grant) supporting code development/implementation.,Resource Efficiency,yes,direct,Mitigation
3,Seattle_US,individual,,"Provide expedited permitting for projects meeting Priority Green criteria including green building certification and minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.","Seattle Department of Construction and Inspections provides expedited permitting for projects achieving green building certification and meeting minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.",Priority Green,Concrete administrative policy (expedited permitting) with defined performance criteria.,Resource Efficiency,no,direct,Mitigation
3,Seattle_US,individual,,"Provide additional height and floor area for up to 20 projects that meet Living Building Pilot Program criteria including no on-site combustion of fossil fuels, energy efficiency 25 percent better than code, and use of greywater and/or rainwater for all non-potable water needs.","The Living Building Pilot Program provides additional height and floor area for up to 20 projects that meet more extensive green building criteria, which includes achieving Living Building Petal Certification (with no on-site combustion of fossil-fuels), plus energy efficiency 25 percent better than code, and greywater and/or rainwater used for all non-potable water needs (e.g. toilet flushing, irrigation).",Zoning Incentives,Concrete zoning incentive program with a cap (up to 20 projects) and explicit performance requirements including fossil-fuel-free on-site combustion.,Mitigation,no,direct,Resource Efficiency
3,Seattle_US,individual,,Update the Sustainable Building Policy for City-owned buildings to require LEED Gold certification and expect projects to be 15 percent more energy efficient than the current code.,"In 2011, the City updated its Sustainable Building Policy for City-owned buildings covering new construction and major renovations. In addition to the requirement to achieve LEED Gold certification, projects are expected to be 15 percent more energy efficient than the current code.",Municipal Buildings,Policy update establishing clear requirements/expectations for municipal building projects (LEED Gold; energy performance).,Resource Efficiency,no,direct,Mitigation
3,Seattle_US,individual,,Adopt the Resource Conservation Management Plan (Resolution 31491) with a goal to reduce energy use across City-owned buildings by 20 percent by 2020 (2008 baseline).,"In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline).",Municipal Buildings,Formally adopted plan with quantified municipal energy-use reduction target and deadline.,Resource Efficiency,no,direct,Mitigation
3,Seattle_US,individual,,Pass a new electric vehicle readiness ordinance in 2018 to ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.",Electric vehicle readiness ordinance for new construction,Explicit commitment to pass an ordinance in a specified year (2018) with a concrete EV-infrastructure requirement.,Mitigation,no,direct,
3,Seattle_US,individual,,"Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments.","Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments.",Assess GHG Emissions Impact of City decisions,"Formal instrument (Executive Order) directing implementation of emissions impact assessment; although procedural, it is a concrete mandated requirement for city decision-making.",Mitigation,no,direct,
3,Seattle_US,individual,,Create a new Green Fleet Action Plan by the end of 2018 to accelerate electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.",Green Fleet Action Plan update,"Time-bound commitment (by end of 2018) to produce an updated plan with clear intended implementation direction (accelerate electrification; phase out fossil fuels). Some uncertainty because this is a plan-creation step, but includes explicit phase-out intent for municipal vehicles.",Mitigation,no,direct,
3,Seattle_US,individual,,Pilot Energy Efficiency as a Service (EEaS) in up to 30 buildings as part of City Light whole-building Pay for Performance programs.,Seattle City Light will pilot Energy Efficiency as a Service (EEaS),City Light Whole Building Pay for Performance (P4P) Programs,"Concrete implementation commitment ('will pilot') with a defined scope ('in up to 30 buildings' in the section description), though the quoted sentence alone does not carry the quantity; kept as a pilot commitment with some uncertainty due to truncation of the verbatim quantified limit in the immediate quote.",Resource Efficiency,no,direct,Mitigation
3,Seattle_US,individual,,Double the City's budget allocation from 2021 to 2025 for reducing energy in municipal buildings and set a new target of a 40 percent energy and carbon emissions reduction in municipal buildings by 2025.,"Building on existing efforts to reduce energy use 20 percent by 2020, the City will double its budget allocation from 2021 to 2025, and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025.",Improve municipal building energy efficiency and reduce carbon emissions by 2025,Budget/funding commitment plus quantified target and deadline; strong policy anchor.,Resource Efficiency,yes,direct,Mitigation
