role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
sub,Adaptation 2) Building resilience against climate change,"City renovation for disaster prevention, construction of disaster information sharing system, enhancement of disaster information delivery system.","City renovation for disaster prevention, construction of disaster information sharing system, enhancement of disaster information delivery system. 【 Measures against the effect of climate change on health due to the temperature rises, etc.",3. Concrete measures,Specific adaptation action listed under a concrete adaptation measure.,Adaptation,False,direct,
sub,Adaptation 2) Building resilience against climate change,"Publicity on heat disorder, information provision of heat disorder prevention.","Publicity on heat disorder, information provision of heat disorder prevention. 【 Countermeasures against heat (heat island phenomenon, etc.) 】 - -Creation of water and green network by the conservation and creation of public open space such as rivers and roads through which the wind passes; promotion of greenery increase on roof and walls of buildings (including those by the green promotion system).",3. Concrete measures,Specific adaptation action listed under a concrete adaptation measure.,Adaptation,False,direct,
sub,Adaptation 2) Building resilience against climate change,Creation of water and green network by the conservation and creation of public open space such as rivers and roads through which the wind passes; promotion of greenery increase on roof and walls of buildings (including those by the green promotion system).,Creation of water and green network by the conservation and creation of public open space such as rivers and roads through which the wind passes. promotion of greenery increase on roof and walls of buildings (including those by the green promotion system)...,3. Concrete measures,Specific adaptation action listed under a concrete adaptation measure.,Adaptation,False,direct,
parent,,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions.,## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions (unit: ton-CO2),5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Umbrella government-operations mitigation initiative listing concrete measures with estimated reductions.,Mitigation,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,Promotion by each staff member.,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Promotion by each staff member | 1,350 |",5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Mitigation,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,Power contract based on eco-friendly contract laws.,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Power contract based on eco-friendly contract laws | 8,770 |",5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Mitigation,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,Introduction of LED lighting (Basically 50% of straight tube type fluorescents with more than 15 years of use are to be changed).,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Introduction of LED lighting (Basically 50% of straight tube type fluorescents with more than 15 years of use are to be changed) | 5,970 |",5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Resource Efficiency,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,Carbon management promotion project (facility renewal and operation improvement).,"## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Carbon management promotion project (facility renewal and operation improvement) | 1,050 |",5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Mitigation,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,Facility renewal byESCO project.,## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Facility renewal byESCO project | 380 |,5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Resource Efficiency,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,Introduction of the next generation vehicles (renewal of basically more than 50%ofpublic cars except special-purpose vehicles).,## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Introduction of the next generation vehicles (renewal of basically more than 50%ofpublic cars except special-purpose vehicles) | 410 |,5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Mitigation,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,Thorough conduct of eco-drive.,## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Thorough conduct of eco-drive | 240 |,5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Resource Efficiency,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,"Introduction of solar power and woody biomass, etc.","## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Introduction of solar power and woody biomass, etc.",5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Mitigation,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,"Waste reduction and recycle, efficiency improvement of waste power generation.","## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Waste reduction and recycle, efficiency improvement of waste power generation | 17,200 |",5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Resource Efficiency,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,"Efficiency improvement of facilities, expansion of sewage gas power generation.","## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Efficiency improvement of facilities, expansion of sewage gas power generation | 7,330 |",5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Resource Efficiency,False,direct,
sub,Government operations: implement main measures by emission source and estimated reduction of greenhouse gas emissions,"Efficiency improvement of facilities (lighting, voltage transformation facility, etc.).","## 5. Main measures by emission source and estimated reduction of greenhouse gas emissions. | | Efficiency improvement of facilities (lighting, voltage transformation facility, etc.) | 180 |",5. Main measures by emission source and estimated reduction of greenhouse gas emissions,Specific government-operations mitigation measure listed in the main-measures table (with estimated reduction).,Resource Efficiency,False,direct,
individual,," By preparing this plan, 'Low-carbon City Development Citizens Conference (tentative)' representing citizens, business operators and administrators, etc., is established as a system to take actions together."," By preparing this plan, 'Low-carbon City Development Citizens Conference (tentative)' representing citizens, business operators and administrators, etc., is established as a system to take actions together.. Disclose -  For appropriately advancing this plan, progression is managed every year using the PDCA cycle as below.",1. Plan promotion system and progress management,Concrete governance/progress-management commitment supporting implementation and accountability.,Mitigation,False,indirect,
individual,," For appropriately advancing this plan, progression is managed every year using the PDCA cycle as below."," For appropriately advancing this plan, progression is managed every year using the PDCA cycle as below.. proposal • Index revision Opinion <!-- image -->",1. Plan promotion system and progress management,Concrete governance/progress-management commitment supporting implementation and accountability.,Mitigation,False,indirect,
